	ranges_bin	norm_signal	pre_signal	post_signal	surround_signal	enrichment_factor1	enrichment_factor2
0	[3146775, 3146916)	1.25	0.0	1.1	1.1	1.1363636363636362	1.6554515418146647
1	[3168649, 3168734)	2.0	0.8571428571428571	1.0	1.8571428571428572	1.0769230769230769	2.6487224669034632
2	[3171958, 3172019)	2.0	1.75	0.2	1.95	1.0256410256410258	2.6487224669034632
3	[3172337, 3172526)	1.7058823529411764	0.0	2.5	2.5	0.6823529411764706	2.259204457064719
4	[3177988, 3178080)	1.6	0.42857142857142855	4.5	4.928571428571429	0.32463768115942027	2.118977973522771
5	[3201350, 3201405)	4.2	1.0	0.125	1.125	3.7333333333333334	5.562317180497273
6	[3201776, 3201915)	2.25	0.0	4.0	4.0	0.5625	2.9798127752663963
7	[3220639, 3220734)	1.8571428571428572	1.4444444444444444	1.0	2.4444444444444446	0.7597402597402597	2.4595280049817876
8	[3221998, 3222191)	1.9090909090909092	0.14285714285714285	0.6	0.7428571428571429	2.56993006993007	2.5283259911351244
9	[3222369, 3222627)	2.037037037037037	0.2	1.0	1.2	1.697530864197531	2.6977728829572314
10	[3225006, 3225116)	1.8461538461538463	0.0	3.0	3.0	0.6153846153846154	2.4449745848339663
11	[3226387, 3226524)	2.4285714285714284	0.125	1.3	1.425	1.7042606516290726	3.216305852668491
12	[3236998, 3237164)	2.1538461538461537	0.3333333333333333	1.6666666666666667	2.0	1.0769230769230769	2.8524703489729606
13	[3240989, 3241101)	0.5	0.0	2.111111111111111	2.111111111111111	0.23684210526315788	0.6621806167258658
14	[3244964, 3245088)	1.4444444444444444	1.0	0.4	1.4	1.0317460317460319	1.9129662260969458
15	[3246728, 3246831)	2.5	0.0	0.8571428571428571	0.8571428571428571	2.916666666666667	3.3109030836293294
16	[3257797, 3258018)	2.4705882352941178	0.0	1.5	1.5	1.647058823529412	3.271951282645455
17	[3260264, 3260344)	2.75	0.25	0.875	1.125	2.4444444444444446	3.6419933919922625
18	[3267880, 3267941)	2.6666666666666665	0.16666666666666666	0.4	0.5666666666666667	4.705882352941177	3.5316299558712845
19	[3269479, 3269649)	2.272727272727273	1.0	0.3333333333333333	1.3333333333333333	1.7045454545454548	3.0099118942084813
20	[3270697, 3270831)	1.3636363636363635	0.0	0.8	0.8	1.7045454545454544	1.8059471365250885
21	[3272113, 3272167)	2.5	0.0	8.0	8.0	0.3125	3.3109030836293294
22	[3274632, 3274735)	2.2857142857142856	0.3333333333333333	1.8333333333333333	2.1666666666666665	1.054945054945055	3.027111390746815
23	[3275389, 3275511)	1.6363636363636365	0.0	1.8333333333333333	1.8333333333333333	0.8925619834710745	2.1671365638301068
24	[3276625, 3276697)	1.0	0.0	5.0	5.0	0.2	1.3243612334517316
25	[3277344, 3277522)	1.8181818181818181	0.0	0.7	0.7	2.5974025974025974	2.407929515366785
26	[3280738, 3281242)	2.977777777777778	0.0	1.7142857142857142	1.7142857142857142	1.7370370370370372	3.9436534507229344
27	[3284633, 3284696)	3.2	0.0	1.6666666666666667	1.6666666666666667	1.92	4.237955947045542
28	[3284808, 3284858)	2.5	0.0	2.0	2.0	1.25	3.3109030836293294
29	[3285249, 3285467)	1.6	0.0	0.6666666666666666	0.6666666666666666	2.4000000000000004	2.118977973522771
30	[3290217, 3290407)	1.125	0.0	2.0	2.0	0.5625	1.4899063876331982
31	[3293393, 3293514)	2.0	1.0	1.0	2.0	1.0	2.6487224669034632
32	[3293606, 3293875)	1.8235294117647058	1.0	2.2	3.2	0.5698529411764706	2.4150116610002166
33	[3300666, 3300825)	2.0	0.0	0.6	0.6	3.3333333333333335	2.6487224669034632
34	[3309865, 3310026)	1.6923076923076923	0.0	0.3333333333333333	0.3333333333333333	5.0769230769230775	2.241226702764469
35	[3312037, 3312102)	0.5	0.0	2.0	2.0	0.25	0.6621806167258658
36	[3313328, 3313535)	2.6363636363636362	0.4	4.0	4.4	0.5991735537190082	3.491497797281838
37	[3319352, 3319455)	1.5	1.125	0.7	1.825	0.8219178082191781	1.9865418501775975
38	[3320639, 3320789)	1.6666666666666667	0.0	1.75	1.75	0.9523809523809524	2.207268722419553
39	[3328248, 3328309)	1.7142857142857142	0.5	1.5	2.0	0.8571428571428571	2.2703335430601115
40	[3331571, 3331858)	1.368421052631579	0.0	0.8	0.8	1.7105263157894737	1.812283793144475
41	[3336663, 3336819)	3.7142857142857144	0.0	2.3636363636363638	2.3636363636363638	1.5714285714285714	4.919056009963575
42	[3345593, 3345740)	1.7272727272727273	0.0	0.5	0.5	3.4545454545454546	2.2875330395984457
43	[3352073, 3352419)	1.90625	1.2	1.0	2.2	0.8664772727272727	2.5245636012673636
44	[3357219, 3357376)	1.6666666666666667	0.3333333333333333	1.2307692307692308	1.564102564102564	1.0655737704918034	2.207268722419553
45	[3357465, 3357515)	0.5	1.1538461538461537	1.0	2.1538461538461537	0.23214285714285715	0.6621806167258658
46	[3359176, 3359358)	1.4166666666666667	0.0	0.375	0.375	3.777777777777778	1.87617841405662
47	[3359483, 3359594)	4.142857142857143	0.2	0.5	0.7	5.918367346938776	5.486639395728603
48	[3359883, 3360282)	2.484848484848485	0.4444444444444444	2.0	2.4444444444444446	1.0165289256198347	3.2908370043346062
49	[3360363, 3360425)	3.75	0.8571428571428571	0.5	1.3571428571428572	2.763157894736842	4.966354625443994
50	[3368201, 3368363)	1.3333333333333333	1.5555555555555556	1.1666666666666667	2.7222222222222223	0.48979591836734687	1.7658149779356422
51	[3368576, 3368657)	1.6666666666666667	1.75	0.5555555555555556	2.3055555555555554	0.7228915662650603	2.207268722419553
52	[3373128, 3373207)	1.0	1.3076923076923077	0.7	2.0076923076923077	0.49808429118773945	1.3243612334517316
53	[3374004, 3374121)	2.111111111111111	0.0	1.0	1.0	2.111111111111111	2.7958737150647672
54	[3374816, 3374982)	2.230769230769231	1.4	0.75	2.15	1.0375670840787121	2.9543442900077093
55	[3376585, 3376852)	1.65	0.0	0.6666666666666666	0.6666666666666666	2.475	2.185196035195357
56	[3382720, 3382791)	3.2857142857142856	14.0	1.0	15.0	0.21904761904761905	4.351472624198547
57	[3382934, 3383057)	4.0	0.625	0.4444444444444444	1.0694444444444444	3.74025974025974	5.2974449338069265
58	[3383422, 3383890)	3.090909090909091	0.25	2.8	3.05	1.0134128166915053	4.093480176123534
59	[3386167, 3386368)	1.7142857142857142	0.0	0.16666666666666666	0.16666666666666666	10.285714285714286	2.2703335430601115
60	[3395120, 3395232)	1.5714285714285714	0.0	4.0	4.0	0.39285714285714285	2.0811390811384354
61	[3406014, 3406127)	3.2857142857142856	0.0	0.25	0.25	13.142857142857142	4.351472624198547
62	[3413389, 3413514)	2.5	0.2	0.75	0.95	2.6315789473684212	3.3109030836293294
63	[3414902, 3415063)	2.0833333333333335	0.0	1.6	1.6	1.3020833333333333	2.7590859030244412
