	Length
count	12000.0
mean	107.29583333333333
std	84.93701788613434
min	5.0
25%	65.0
50%	90.0
75%	120.0
max	1015.0
mode	95.0
ATACseq_overlap	0.4195731361514636
ATACseq_ranges_overlap	0.17927769795347753
ATACseq_Jaccard	0.14356260452538555
DNAseq_overlap	0.37553341219939795
DNAseq_ranges_overlap	0.25986252961050055
DNAseq_Jaccard	0.18136531625341903
genes_overlap	0.6947675818414819
percentage_open	0.014281698768663666
percentage_open_adj	0.014773301844493578
model_name	k-means
boxplot_json	"{""mean"":107.2958333333,""iqr"":55.0,""cilo"":89.2117359527,""cihi"":90.7882640473,""whishi"":200,""whislo"":5,""fliers"":[245,405,525,250,550,325,425,220,495,225,270,495,595,255,225,340,355,365,275,315,320,205,215,275,255,220,620,205,325,230,270,450,380,260,255,215,245,220,410,225,760,470,280,260,220,230,235,235,215,250,720,320,235,205,300,205,220,235,325,205,290,210,375,305,235,265,340,310,530,295,275,240,415,375,250,230,355,350,215,320,400,210,490,205,285,205,275,320,915,205,205,225,240,230,245,205,215,370,315,345,710,205,250,260,225,405,455,325,225,650,335,295,375,235,220,300,255,235,310,260,540,230,220,235,745,570,485,325,230,370,250,225,370,575,290,260,310,625,205,590,215,205,355,320,225,230,215,350,480,245,305,215,275,470,225,550,215,325,215,295,310,395,225,245,400,250,325,245,285,235,405,260,290,290,455,210,245,225,245,210,285,240,205,225,250,265,360,455,410,215,455,475,305,250,360,320,360,275,315,205,280,220,335,310,340,330,270,320,320,205,505,245,325,635,435,250,415,240,220,265,680,245,570,275,500,255,230,330,325,255,260,210,225,370,230,215,670,215,550,250,370,270,340,225,265,330,410,310,320,535,350,595,270,485,210,365,615,210,245,355,235,235,335,210,295,305,330,530,285,265,280,375,395,405,215,210,235,390,305,490,260,210,220,215,265,205,285,345,375,310,565,470,205,220,440,460,245,295,670,375,310,215,205,230,375,695,220,480,210,205,205,315,270,225,555,305,500,335,205,210,420,215,290,315,315,210,395,430,230,285,345,480,320,270,355,375,390,265,235,205,270,245,215,225,220,215,310,385,265,255,240,240,400,470,205,330,490,350,280,250,235,225,520,280,285,300,285,215,295,300,660,600,340,370,325,890,250,420,220,745,230,405,225,475,435,220,245,240,240,245,350,300,255,245,220,590,325,580,245,230,210,220,280,240,480,255,210,215,760,380,265,345,285,775,340,500,515,325,865,755,355,390,315,290,295,380,260,290,385,355,345,205,240,265,220,250,240,385,255,380,580,250,335,265,530,235,255,295,645,255,240,290,290,225,395,310,205,205,635,305,295,210,250,250,410,500,215,225,275,220,215,240,230,245,210,230,410,275,230,215,270,240,350,215,365,265,285,405,270,285,290,250,225,205,250,215,375,215,295,215,285,235,210,380,205,265,240,255,330,490,290,250,245,295,240,375,935,630,510,315,220,580,210,235,360,285,235,320,325,275,225,255,375,225,660,295,250,295,220,210,255,595,425,210,335,310,500,240,530,265,280,480,205,205,375,380,425,205,480,335,245,520,225,435,490,550,230,390,355,1015,350,295,395,205,220,300,290,255,400,205,240,290,300,380,505,235,390,335,290,235,490,370,245,505,360,235,220,205,325,660,335,325,245,370,275,310,245,335,395,330,250,205,250,205,315,205,590,270,300,320,245,345,490,400,250,250,330,370,215,260,225,205,270,380,280,205,225,205,235,220,385,375,205,210,345,295,285,340,660,225,320,245,670,450,345,245,220,290,225,220,205,450,250,230,270,315,280,365,750,235,245,240,520,215,220,435,255,375,450,265,215,285,375,215,390,420,215,240,225,260,305,265,235,320,220,275,205,265,210,300,525,275,235,245,310,260,285,510,375,290,205,505,365,350,260,235,330,275,370,365,255,220,390,275,250,230,230,235,260,335,540,320,225,205,395,305,235,280,275,265,705,355,340,250,220,580,235,290,335,210,360,240,550,375,245,215,720,325,215,215,300,225,365,245,245,310,230,300,225,215,300,375,220,235,575,335,255,300,355,375,350,225,225,245,260,310,235,290,260,205,290,285,230,225,485,240,235,430,440,495,275,410,225,205,255,650,220,290,255,235,220,275,445,415,315,205,420,225,250,355,260,220,205,300,305,400,300,280,205,440,340,370,430,365,310,360,335,310,330,295,305,315,475,305,370,265,215,310,330,260,260,350,205,310,240,265,755,315,205,290,480,230,220,240,420,295,250,425,205,285,240,345,220,475,235,710,405,295,270,280,320,220,220,230,325,265,525,260,215,275,220,205,295,210,265,300,405,240,325,255,330,225,285,215,220,390,255,245,260,400,235,305,275,245,310,245,205,210,260,280,360,555,265,455,315,210,220,305,240,315,290,230,215,205,220,305,290,235,215,350,245,310,235,385,205,275,205,215,505,280,400,395,790,300,275,205,210,260,420,235,220,345,275,205,355,380,360,270,270,215,405,205,205,265,245,285,255,225,230,275,375,295,250,365,220,240,250,325,290,525,585,230,350,210,210,485,280,260,270,210,400,410,205,235,220,455,235,210,360,295,325,405,430,880,325,240,280,245,205,240,280,545,255,220,205,380,320,210,430,255,340,220,280,210,235,210,220,315,230,215,215,360,355,310,285,280,240,230,485,245,845,215,225,425,245,205,210,210,250,225,245,300,235,335,295,315,305,415,305,245,215,545,240,295,290,220,240,220,515,325,205,225,320,300,305,365,430,290,370,210,260,375,405,220,235,350,260,310,275,325,220,230,240,310,285,350,245,295,235,245,240,305,385,480],""q1"":65.0,""med"":90.0,""q3"":120.0}"
