	Length
count	10410.0
mean	117.15946205571566
std	82.91329099668637
min	5.0
25%	75.0
50%	95.0
75%	125.0
max	1035.0
mode	95.0
ATACseq_overlap	0.41065196527505127
ATACseq_ranges_overlap	0.1852373260743012
ATACseq_Jaccard	0.14624516930884704
DNAseq_overlap	0.3691773610995755
DNAseq_ranges_overlap	0.26969080786795996
DNAseq_Jaccard	0.1845247879291416
genes_overlap	0.6955527496043882
percentage_open	0.013528319886004635
percentage_open_adj	0.013993990236184771
model_name	k-prototypes
boxplot_json	"{""mean"":117.1594620557,""iqr"":50.0,""cilo"":94.2306139778,""cihi"":95.7693860222,""whishi"":200,""whislo"":5,""fliers"":[245,415,340,250,550,320,425,295,225,260,500,565,225,255,220,370,370,370,325,260,310,375,205,250,275,220,645,225,240,315,230,285,460,350,250,260,205,245,210,415,220,255,225,500,395,270,285,215,235,250,220,220,250,720,300,240,210,230,225,315,210,415,305,215,290,215,300,705,275,265,210,430,330,240,250,340,255,350,240,315,405,215,485,205,265,240,315,725,215,220,230,270,235,325,345,705,210,240,240,220,385,470,530,340,330,305,400,250,205,230,300,260,245,320,290,300,530,245,225,230,730,575,495,345,230,360,250,225,390,595,270,255,315,625,210,595,225,250,290,305,235,235,225,205,480,295,235,315,225,250,440,230,455,215,325,215,315,315,230,230,235,410,325,210,500,335,270,275,225,215,445,215,265,230,240,215,260,205,210,235,230,425,310,450,400,230,450,470,315,245,360,345,370,315,275,225,340,320,350,335,205,340,335,215,210,460,275,395,440,220,405,245,235,255,665,240,585,285,500,255,330,325,250,240,210,215,370,230,220,335,265,210,535,275,370,305,355,225,235,325,385,275,325,530,300,560,275,210,500,350,620,220,240,375,215,235,255,370,270,315,320,210,345,255,285,265,410,410,220,395,245,475,225,210,210,250,205,295,350,270,255,555,465,210,455,465,270,295,680,305,215,240,260,710,215,455,220,220,220,330,240,540,295,520,210,350,230,410,225,290,205,305,340,205,410,425,205,290,210,325,430,295,270,375,385,375,255,205,210,205,245,245,205,225,210,285,375,240,310,280,240,215,400,455,220,370,295,325,295,240,210,320,230,520,280,300,320,285,230,220,655,600,390,330,875,225,430,235,900,235,400,260,485,445,220,220,235,205,220,245,285,270,270,220,240,210,590,330,565,255,240,205,215,210,300,205,245,340,210,740,355,265,230,245,530,365,525,550,590,840,775,275,365,315,215,210,310,270,370,360,325,205,205,235,275,210,250,220,310,255,370,495,250,350,235,325,205,260,285,600,260,250,305,275,220,410,310,210,630,305,285,215,255,250,510,205,240,225,230,215,250,220,280,215,265,275,300,345,225,360,225,395,245,310,270,240,230,225,210,395,220,315,260,290,230,210,385,305,235,260,325,485,285,240,220,285,205,320,210,355,215,930,640,240,240,315,220,205,365,215,235,210,330,295,325,315,285,255,360,250,665,300,250,260,205,220,235,215,275,205,580,425,210,335,495,235,535,210,290,235,485,220,355,225,420,210,490,270,520,255,435,480,420,235,220,365,1035,305,300,390,205,205,305,205,305,405,210,240,285,290,500,230,395,310,265,355,220,370,220,470,375,255,325,655,325,370,320,250,215,380,275,205,250,320,595,275,305,330,275,320,495,405,260,255,330,215,285,230,205,250,380,270,235,220,390,380,310,370,205,310,315,215,305,330,645,205,335,270,250,300,430,280,220,285,215,215,425,255,230,265,315,270,230,760,205,240,245,515,215,430,365,400,295,280,375,225,385,435,250,230,205,290,265,220,300,235,210,255,215,310,525,255,220,255,310,260,265,515,350,300,495,360,350,245,230,290,375,365,245,225,410,285,240,205,225,245,230,270,255,355,205,510,225,390,235,305,280,210,440,545,375,345,455,225,590,205,225,305,405,205,365,225,310,205,385,715,335,220,310,220,405,210,305,240,305,205,220,350,590,205,335,240,315,365,400,370,335,235,235,230,270,240,295,245,295,255,215,280,230,465,250,255,465,435,495,230,425,235,225,240,630,330,295,250,295,440,430,215,265,425,235,285,260,365,280,225,205,305,290,375,280,285,420,350,450,210,325,325,375,290,300,340,260,310,315,470,320,375,235,320,330,245,295,265,370,210,310,235,260,415,285,215,260,480,240,310,210,310,205,250,415,235,245,335,460,225,715,280,210,275,250,280,280,220,235,220,325,240,535,240,215,275,220,315,210,275,310,370,225,310,270,350,210,300,220,375,245,245,400,230,335,310,285,255,285,230,210,220,275,215,270,400,270,440,275,215,245,265,225,280,250,225,205,245,310,285,205,240,205,330,250,510,685,215,295,220,230,215,425,260,405,395,425,350,210,220,275,290,360,225,250,275,210,235,225,330,310,205,340,205,205,375,360,255,370,270,415,300,255,235,390,360,230,250,220,340,215,260,205,255,210,330,295,370,605,250,340,205,455,265,415,410,360,445,225,220,330,300,325,395,440,290,295,905,350,265,210,240,210,545,270,220,215,390,215,330,430,295,490,300,205,225,320,355,270,255,300,300,250,225,235,240,250,480,215,220,230,230,265,205,205,250,240,240,330,270,210,335,265,305,420,290,245,230,530,260,300,295,255,670,355,250,330,315,220,315,360,325,290,210,265,355,215,210,325,280,205,265,315,225,245,250,325,290,375,275,225,255,220,370,465],""q1"":75.0,""med"":95.0,""q3"":125.0}"
