	Length
count	8400.0
mean	106.6577380952381
std	77.69302169025403
min	5.0
25%	65.0
50%	90.0
75%	120.0
max	1010.0
mode	95.0
ATACseq_overlap	0.3517337026858032
ATACseq_ranges_overlap	0.21598571308982337
ATACseq_Jaccard	0.15437273884029182
DNAseq_overlap	0.31628397170698636
DNAseq_ranges_overlap	0.3145319083628652
DNAseq_Jaccard	0.18712552085927253
genes_overlap	0.7036705081340514
percentage_open	0.009937735209751074
percentage_open_adj	0.010279810846202407
model_name	k-prototypes 2
boxplot_json	"{""mean"":106.6577380952,""iqr"":55.0,""cilo"":89.0578442589,""cihi"":90.9421557411,""whishi"":200,""whislo"":5,""fliers"":[405,335,225,270,330,410,270,215,250,470,555,235,215,330,340,240,245,305,215,270,250,285,290,230,250,445,355,245,225,220,390,205,760,385,250,220,225,220,220,715,295,215,215,225,290,345,260,295,320,260,240,410,235,310,340,205,300,245,470,260,235,315,365,325,210,215,215,220,305,335,670,205,215,365,450,220,235,330,305,270,360,215,295,245,225,290,255,515,225,205,215,615,545,335,320,225,360,355,560,210,310,445,590,205,270,305,215,225,445,240,290,210,210,440,450,205,300,205,255,280,235,215,375,315,230,245,270,240,205,260,220,220,260,415,370,215,455,290,250,310,340,250,305,310,325,315,435,240,385,250,360,235,210,245,655,215,565,260,480,230,300,225,215,205,365,215,205,340,260,320,250,265,335,235,310,350,235,510,260,555,225,430,355,600,205,245,340,235,230,285,295,340,265,265,375,205,220,210,420,215,210,240,275,315,240,235,285,210,410,415,455,245,280,325,265,300,225,225,690,425,310,205,480,270,500,325,370,255,260,290,375,395,310,460,270,350,260,375,250,235,205,245,365,230,245,235,395,450,315,270,290,270,230,205,510,280,275,285,215,245,630,585,360,320,840,215,265,210,745,380,205,260,410,220,245,235,270,225,225,205,590,310,310,235,245,260,240,340,385,260,360,215,485,325,320,510,230,385,250,590,215,365,285,260,360,345,325,230,225,240,245,355,450,250,330,235,305,220,240,255,600,250,210,290,265,210,295,205,505,300,265,220,235,480,225,235,240,215,265,245,205,360,240,275,240,235,220,345,205,295,265,370,230,235,225,325,460,275,235,205,275,340,915,440,225,300,210,335,235,290,280,295,245,360,210,495,255,235,220,250,545,425,465,230,485,250,240,470,350,405,460,320,215,420,460,370,230,365,350,1010,280,280,375,290,285,365,250,295,485,225,365,285,225,345,460,230,650,285,325,300,225,335,235,220,260,545,235,280,310,240,490,370,240,330,215,250,220,245,375,230,370,340,340,295,285,325,640,310,240,405,260,415,235,220,265,280,270,745,235,225,270,215,225,350,395,245,275,370,205,405,235,215,285,270,215,215,270,395,250,240,300,320,320,280,265,340,205,335,320,215,390,245,210,210,230,210,255,400,205,355,265,250,235,530,340,310,215,210,560,210,285,305,205,340,290,335,440,210,310,295,205,365,215,225,275,285,355,315,295,345,365,215,215,245,215,275,205,270,205,280,210,475,240,430,475,220,400,215,630,265,220,265,445,400,240,415,220,240,335,240,270,345,280,235,260,410,270,345,260,250,280,300,280,295,345,205,305,300,245,205,320,260,220,255,385,225,250,480,240,275,205,215,320,455,215,520,235,265,260,255,240,220,225,310,230,510,230,210,275,265,275,205,220,320,280,360,230,385,205,295,205,230,220,235,225,230,380,250,445,220,235,255,215,285,230,285,305,210,365,245,205,215,380,390,350,265,260,220,240,220,285,230,360,245,375,235,280,220,320,210,310,290,355,410,220,320,455,265,380,385,355,305,400,415,875,315,225,530,215,210,205,290,425,205,220,265,315,350,230,255,255,220,230,230,435,225,220,225,325,225,255,295,240,205,520,225,280,245,505,320,205,320,275,315,250,240,315,305,220,255,285,215,225,235,300,345,220,215,210,370,465],""q1"":65.0,""med"":90.0,""q3"":120.0}"
