	Length
count	36100.0
mean	203.65529085872575
std	170.3425035168128
min	50.0
25%	93.0
50%	152.0
75%	253.0
max	2790.0
mode	50.0
ATACseq_overlap	0.45088084747487966
ATACseq_ranges_overlap	0.03373972858379457
ATACseq_Jaccard	0.03240280940259243
DNAseq_overlap	0.5050877590738999
DNAseq_ranges_overlap	0.06121010517473173
DNAseq_Jaccard	0.057738887213800445
genes_overlap	0.6384052080833998
percentage_open	0.08154900466193116
percentage_open_adj	0.08435607559740253
model_name	seed-extend
