	gene_id	gene_name	open_S0	open_S1	open_S2
0	ENSMUSG00000090733	Rps27	0.28	0.2775	0.31
1	ENSMUSG00000037894	H2az1	0.195	0.295	0.3575
2	ENSMUSG00000028081	Rps3a1	0.3975	0.482	0.412
3	ENSMUSG00000062006	Rpl34	0.335	0.51	0.57
4	ENSMUSG00000053931	Cnn3	0.1575	0.1675	0.31
5	ENSMUSG00000001416	Cct3	0.4525	0.64	0.5875
6	ENSMUSG00000004897	Hdgf	0.117	0.247	0.392
7	ENSMUSG00000103034	Gm8797	0.0	0.0	0.0
8	ENSMUSG00000004885	Crabp2	0.465	0.4505	0.5955
9	ENSMUSG00000033161	Atp1a1	0.3125	0.3785	0.466
10	ENSMUSG00000005779	Psmb4	0.1825	0.3025	0.3625
11	ENSMUSG00000068744	Psrc1	0.284	0.3375	0.3575
12	ENSMUSG00000000563	Atp5pb	0.436	0.486	0.57
13	ENSMUSG00000068823	Csde1	0.292	0.4445	0.497
14	ENSMUSG00000055436	Srsf11	0.2725	0.2825	0.44
15	ENSMUSG00000041355	Ssr2	0.19	0.0	0.0
16	ENSMUSG00000027940	Tpm3	0.05	0.041	0.0
17	ENSMUSG00000038393	Txnip	0.385	0.335	0.4825
18	ENSMUSG00000068739	Sars	0.3835	0.416	0.376
19	ENSMUSG00000005625	Psmd4	0.2	0.3225	0.2325
20	ENSMUSG00000027500	Stmn2	0.16	0.22	0.344
21	ENSMUSG00000028034	Fubp1	0.2625	0.5125	0.5275
22	ENSMUSG00000039221	Rpl22l1	0.1975	0.31	0.335
23	ENSMUSG00000028138	Adh5	0.2925	0.5375	0.59
24	ENSMUSG00000053398	Phgdh	0.1775	0.4325	0.485
25	ENSMUSG00000059743	Fdps	0.4975	0.425	0.455
26	ENSMUSG00000001016	Ilf2	0.2225	0.2875	0.26
27	ENSMUSG00000027673	Ndufb5	0.5025	0.625	0.72
28	ENSMUSG00000027828	Ssr3	0.345	0.4925	0.5125
29	ENSMUSG00000008604	Ubqln4	0.3395	0.597	0.537
30	ENSMUSG00000027680	Fxr1	0.1375	0.1225	0.1625
31	ENSMUSG00000037072	Selenof	0.3915	0.569	0.569
32	ENSMUSG00000078578	Ube2d3	0.2725	0.3425	0.474
33	ENSMUSG00000001017	Chtop	0.3275	0.3	0.37
34	ENSMUSG00000028029	Aimp1	0.2475	0.4725	0.423
35	ENSMUSG00000041959	S100a10	0.3415	0.1175	0.349
36	ENSMUSG00000028134	Ptbp2	0.1375	0.045	0.1875
37	ENSMUSG00000028044	Cks1b	0.33	0.55	0.635
38	ENSMUSG00000068749	Psma5	0.29	0.4475	0.4625
39	ENSMUSG00000074637	Sox2	0.565	0.601	0.7485
40	ENSMUSG00000027893	Ahcyl1	0.33	0.41	0.6425
41	ENSMUSG00000028059	Arhgef2	0.083	0.0	0.1795
42	ENSMUSG00000042520	Ubap2l	0.2125	0.3615	0.5215
43	ENSMUSG00000001415	Smg5	0.415	0.491	0.4975
44	ENSMUSG00000027715	Ccna2	0.125	0.3675	0.475
45	ENSMUSG00000028062	Lamtor2	0.345	0.5575	0.459
46	ENSMUSG00000027671	Actl6a	0.06	0.0	0.0
