	gene_id	gene_name	open_S0	open_S1	open_S2
0	ENSMUSG00000000562	Adora3	0.0	0.0525	0.0
1	ENSMUSG00000001023	S100a5	0.0	0.0	0.0
2	ENSMUSG00000001865	Cpa3	0.0	0.0	0.0
3	ENSMUSG00000011008	Mcoln2	0.243	0.3405	0.373
4	ENSMUSG00000011463	Cpb1	0.0	0.0	0.0
5	ENSMUSG00000012042	4930579F01Rik	0.0425	0.0	0.0
6	ENSMUSG00000015852	Fcrls	0.0	0.0	0.0
7	ENSMUSG00000015854	Cd5l	0.0	0.0	0.0
8	ENSMUSG00000023057	Fabp2	0.0	0.0	0.0
9	ENSMUSG00000027528	Fabp9	0.0	0.0	0.0
10	ENSMUSG00000027530	Fabp12	0.1575	0.0625	0.2125
11	ENSMUSG00000027556	Car1	0.0	0.0	0.0
12	ENSMUSG00000027564	Cypt12	0.0	0.0	0.0
13	ENSMUSG00000027606	Dnajc5b	0.0	0.0	0.05
14	ENSMUSG00000027761	Aadac	0.0	0.0	0.0
15	ENSMUSG00000027762	Sucnr1	0.0	0.0	0.06
16	ENSMUSG00000027776	Il12a	0.065	0.18	0.2075
17	ENSMUSG00000027788	Otol1	0.0	0.0	0.0
18	ENSMUSG00000027790	Sis	0.0	0.0	0.0
19	ENSMUSG00000027801	Tm4sf4	0.0	0.0	0.1075
20	ENSMUSG00000027869	Hsd3b6	0.0	0.05	0.1025
21	ENSMUSG00000027870	Hao2	0.0	0.0	0.0
22	ENSMUSG00000027876	Reg4	0.0	0.0	0.0
23	ENSMUSG00000027880	Slc25a54	0.085	0.09	0.125
24	ENSMUSG00000027902	Chil6	0.0	0.0	0.0
25	ENSMUSG00000027908	Tchhl1	0.0	0.0	0.0675
26	ENSMUSG00000027912	Lce1m	0.0	0.0	0.04
27	ENSMUSG00000027919	Lce1g	0.0425	0.0	0.0
28	ENSMUSG00000027923	Lce1b	0.0	0.0	0.0
29	ENSMUSG00000027925	Sprr2j-ps	0.0	0.0	0.0
30	ENSMUSG00000027927	Lelp1	0.0	0.0425	0.0475
31	ENSMUSG00000027973	1700006A11Rik	0.0	0.0	0.0
32	ENSMUSG00000028004	Npy2r	0.2225	0.3575	0.385
33	ENSMUSG00000028008	Asic5	0.0	0.0	0.0
34	ENSMUSG00000028011	Tdo2	0.0	0.0	0.045
35	ENSMUSG00000028116	Myoz2	0.065	0.085	0.0475
36	ENSMUSG00000028148	Them5	0.0	0.05	0.1175
37	ENSMUSG00000028174	Rpe65	0.0	0.0	0.0
38	ENSMUSG00000028185	Dnase2b	0.0	0.0	0.045
39	ENSMUSG00000034139	Serpini2	0.0	0.0	0.0
40	ENSMUSG00000036951	Aadacl2fm1	0.0	0.0	0.0
41	ENSMUSG00000037797	Adh4	0.0	0.0	0.045
42	ENSMUSG00000038997	Asb17	0.0575	0.1	0.17
43	ENSMUSG00000039146	Ifi44l	0.0975	0.0425	0.12
44	ENSMUSG00000039174	1700003H04Rik	0.0	0.0	0.0
45	ENSMUSG00000039335	Spata16	0.0	0.0	0.0
46	ENSMUSG00000039710	Slc7a12	0.0	0.0	0.0
47	ENSMUSG00000040086	Tnni3k	0.0	0.0	0.0
48	ENSMUSG00000040600	Eps8l3	0.2325	0.1125	0.265
49	ENSMUSG00000040747	Cd53	0.0	0.0	0.0
50	ENSMUSG00000040809	Chil3	0.0	0.0	0.0
51	ENSMUSG00000042031	Lce3b	0.0	0.0	0.0
52	ENSMUSG00000042092	Lce1c	0.0675	0.0	0.0
53	ENSMUSG00000042124	Lce1f	0.0	0.0	0.0
54	ENSMUSG00000042157	Sprr2i	0.0	0.0	0.0
55	ENSMUSG00000042212	Sprr2d	0.0	0.0	0.0
56	ENSMUSG00000042244	Pglyrp3	0.0	0.0	0.0
57	ENSMUSG00000042250	Pglyrp4	0.0	0.0	0.0
