	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length
count	7301.0	9716.0	7724.0	5674.0	4096.0	2894.0	9716.0	7724.0	5674.0	4096.0	2894.0	9716.0	7724.0	5674.0	4096.0	2894.0	8289.0	6636.0	4906.0	3562.0	2574.0	4839.0	3616.0	2515.0	1786.0	1291.0	66.0	142.0	142.0	142.0	142.0	45.0	66.0	66.0	66.0	66.0	18.0	27.0	27.0	27.0	27.0	4.0	4.0	4.0	4.0	4.0	2.0	1.0	1.0	1.0	1.0
mean	188.59060402684563	241.14862083161796	194.49766960124288	168.78745153330982	151.6845703125	141.4651002073255	241.14862083161796	194.49766960124288	168.78745153330982	151.6845703125	141.4651002073255	241.14862083161796	194.49766960124288	168.78745153330982	151.6845703125	141.4651002073255	243.1656412112438	196.08197709463533	170.7297187117815	153.95845030881526	142.8904428904429	629.6135565199421	179.7566371681416	160.5168986083499	147.20044792833147	137.18048024786987	45568.181818181816	111.26760563380282	111.26760563380282	111.26760563380282	111.26760563380282	66782.22222222222	112.12121212121212	112.12121212121212	112.12121212121212	112.12121212121212	166772.22222222222	107.4074074074074	107.4074074074074	107.4074074074074	107.4074074074074	750100.0	125.0	125.0	125.0	125.0	1500100.0	200.0	200.0	200.0	200.0
std	174.99886391624824	264.3102057386232	183.94589859803565	142.6513920317895	110.72893837481075	89.13337795139512	264.3102057386232	183.94589859803565	142.6513920317895	110.72893837481075	89.13337795139512	264.3102057386232	183.94589859803565	142.6513920317895	110.72893837481075	89.13337795139512	270.82103234542905	187.4422820601389	147.04481942897363	114.1851291097639	90.99547723456037	28753.101478655593	167.61130843906398	138.7082812377604	109.52150125840353	87.31719308264093	369260.2730862343	39.6770501028573	39.6770501028573	39.6770501028573	39.6770501028573	447195.9811825892	44.7734520074341	44.7734520074341	44.7734520074341	44.7734520074341	707080.438726787	26.688025634181187	26.688025634181187	26.688025634181187	26.688025634181187	1499933.334074107	50.0	50.0	50.0	50.0	2121178.9222034053				
min	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	200.0	200.0	200.0	200.0	200.0
25%	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	750150.0	200.0	200.0	200.0	200.0
50%	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	150.0	100.0	100.0	100.0	100.0	1500100.0	200.0	200.0	200.0	200.0
75%	200.0	300.0	200.0	200.0	200.0	200.0	300.0	200.0	200.0	200.0	200.0	300.0	200.0	200.0	200.0	200.0	300.0	200.0	200.0	200.0	200.0	200.0	200.0	200.0	200.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	750150.0	125.0	125.0	125.0	125.0	2250050.0	200.0	200.0	200.0	200.0
max	2400.0	3200.0	2400.0	2000.0	1700.0	1000.0	3200.0	2400.0	2000.0	1700.0	1000.0	3200.0	2400.0	2000.0	1700.0	1000.0	3100.0	2200.0	2000.0	1700.0	1000.0	2000300.0	2200.0	2000.0	1700.0	1000.0	3000000.0	400.0	400.0	400.0	400.0	3000000.0	400.0	400.0	400.0	400.0	3000000.0	200.0	200.0	200.0	200.0	3000000.0	200.0	200.0	200.0	200.0	3000000.0	200.0	200.0	200.0	200.0
ATACseq_overlap	0.6979494087711421	0.8292920221523724	0.71942822930699	0.626889687172579	0.5273162700194581	0.436162251160006	0.8292920221523724	0.71942822930699	0.626889687172579	0.5273162700194581	0.436162251160006	0.8292920221523724	0.71942822930699	0.626889687172579	0.5273162700194581	0.436162251160006	0.7236940577757821	0.6302200269420746	0.55148929800928	0.4631417452477174	0.3902484657985332	0.7733872174824128	0.33939530010477476	0.28292920221523726	0.22983086364316718	0.20307588684328692	0.5321059721598563	0.04853315371950307	0.04853315371950307	0.04853315371950307	0.04853315371950307	0.5199071995210298	0.028850471486304447	0.028850471486304447	0.028850471486304447	0.028850471486304447	0.5160155665319563	0.02316270019458165	0.02316270019458165	0.02316270019458165	0.02316270019458165	0.5078206855261188	0.0074839095943721	0.0074839095943721	0.0074839095943721	0.0074839095943721	0.5040787307289328	0.0	0.0	0.0	0.0
DNAseq_overlap	0.5953294223826715	0.7396397412755716	0.6054452466907341	0.5236349277978339	0.4321412454873646	0.3518539410348977	0.7396397412755716	0.6054452466907341	0.5236349277978339	0.4321412454873646	0.3518539410348977	0.7396397412755716	0.6054452466907341	0.5236349277978339	0.4321412454873646	0.3518539410348977	0.6013086642599278	0.5010529482551144	0.43922984356197353	0.3625526474127557	0.30234657039711194	0.6648240072202166	0.2675804753309266	0.22177722623345367	0.16828369434416365	0.14816486161251505	0.5233716907340553	0.04061371841155235	0.04061371841155235	0.04061371841155235	0.04061371841155235	0.5158506317689531	0.0246690734055355	0.0246690734055355	0.0246690734055355	0.0246690734055355	0.5115072202166066	0.01667794825511432	0.01667794825511432	0.01667794825511432	0.01667794825511432	0.5077466907340553	0.007276624548736462	0.007276624548736462	0.007276624548736462	0.007276624548736462	0.5058664259927798	0.003516095066185319	0.003516095066185319	0.003516095066185319	0.003516095066185319
