	count	mean	std	min	25%	50%	75%	max	mode	ATACseq_overlap	ATACseq_ranges_overlap	ATACseq_Jaccard	DNAseq_overlap	DNAseq_ranges_overlap	DNAseq_Jaccard	genes_overlap	percentage_open	percentage_open_adj	model_name
Length	15211.0	152.29767931102492	119.94607491746102	100.0	100.0	100.0	200.0	2600.0	100.0	0.8122102744660894	0.02579081412414746	0.025637933860678832	0.7307460169162209	0.03815203315203315	0.03762313944608427	0.5832793749460417	0.12685558324737478	0.15179163070248153	test run
Length	13026.0	129.5539689851067	113.60339758638864	5.0	80.0	95.0	140.0	1985.0	95.0	0.789127390872881	0.034397980528215126	0.034084677073681714	0.6969466469338316	0.04995052057099854	0.04888865947811885	0.5969701997546768	0.09241028948492286	0.11057541320235982	k-means 5 features n_clusters=2, threshold=1
Length	12963.0	130.25341356167553	113.62622851637137	5.0	80.0	95.0	140.0	1985.0	95.0	0.7885564361550278	0.03435466915411836	0.03404108732891283	0.6976328865885622	0.04997290454404122	0.04891347824927567	0.5965590251558359	0.09245984672520555	0.11063471192712272	k-means 5 features n_clusters=2, threshold=1.5
Length	13200.0	130.00416666666666	114.17245399623141	5.0	80.0	95.0	140.0	1985.0	95.0	0.7897663163904787	0.03385439277878623	0.03355202365551654	0.7000388593539426	0.04933932770220069	0.04831781594272785	0.5967087301980415	0.09397011046774313	0.11244184875470385	k-means 5 features n_clusters=2, threshold=2
Length	12667.0	128.66069313965423	111.21611240527912	5.0	80.0	95.0	135.0	1985.0	95.0	0.7829012656162913	0.035337430088756214	0.03499451606140796	0.6903818965018313	0.05123562275079844	0.050084783225457404	0.5972204240540698	0.08924382824807599	0.10678651954554767	k-means 5 features n_clusters=2, threshold=2.5
0																			k-means 5 features n_clusters=2, threshold=3
Length	24155.0	182.07832746843303	183.5796115723741	5.0	95.0	125.0	215.0	4915.0	95.0	0.9175242315901089	0.015346165232184246	0.015325024993364241	0.8758319622320151	0.024085616932031137	0.02400365274454354	0.5632049916077435	0.24083734541631943	0.28817882870406863	k-means 5 features n_clusters=4, threshold=1
Length	19274.0	129.78286811248313	133.66189361891114	5.0	55.0	100.0	155.0	2165.0	95.0	0.85039626976251	0.02500804538195076	0.0248985050389263	0.7780800171973311	0.037621605198615994	0.037222202006426515	0.5846588058454447	0.13697703353207155	0.16390265809646112	k-means 5 features n_clusters=4, threshold=1.5
Length	9876.0	114.2041312272175	103.94735496732653	5.0	65.0	95.0	125.0	1500.0	95.0	0.737999755305121	0.048132780082987554	0.047324114568850016	0.6383682378523179	0.06845586409901763	0.0659002627987426	0.6093937298294145	0.061762011237610756	0.07390259191777383	k-means 5 features n_clusters=4, threshold=2
Length	5316.0	97.50846501128669	95.47763241436886	5.0	45.0	80.0	115.0	1265.0	50.0	0.6336645776974212	0.0899248584464315	0.08548091611452716	0.5258332024241622	0.12269390668557263	0.11047150884567616	0.6427216868748251	0.028384799211859175	0.033964409364061476	k-means 5 features n_clusters=4, threshold=2.5
Length	1703.0	102.36054022313564	87.46952005069167	5.0	55.0	85.0	115.0	955.0	80.0	0.4572531640407281	0.1929554841670491	0.15699782958762165	0.36642717178314826	0.2542393299678752	0.17660490137477586	0.6889570904084442	0.009545655387931612	0.011422048288032711	k-means 5 features n_clusters=4, threshold=3
Length	21493.0	165.27287954217653	160.05067574117237	5.0	90.0	115.0	190.0	4035.0	95.0	0.8930139612022675	0.018492994502014238	0.01845211343565313	0.8418424294537367	0.02866384588748976	0.028510315038701172	0.5712652123607557	0.19451682265697887	0.23275306418788824	k-means 5 features n_clusters=8, threshold=1
Length	17257.0	135.11647447412645	127.98861574640439	5.0	75.0	100.0	150.0	2105.0	95.0	0.8336210763855848	0.02629921023457084	0.026161887826671625	0.7572695929689374	0.03928069802998235	0.03879227280254699	0.5858545570730431	0.1276827237053527	0.15278136245667343	k-means 5 features n_clusters=8, threshold=1.5
Length	9741.0	118.52222564418437	102.37046828060599	5.0	70.0	95.0	125.0	1480.0	95.0	0.7407457756147959	0.047196899157662245	0.046429946932334466	0.6400383632770837	0.067050951690089	0.06461435217876871	0.6093415040817652	0.06322107495841983	0.07564846431700875	k-means 5 features n_clusters=8, threshold=2
Length	5380.0	105.30204460966543	94.73314952235688	5.0	60.0	90.0	115.0	1265.0	95.0	0.6422832751050149	0.08339790830060456	0.07969617383471735	0.5328857617673565	0.1137672653457482	0.10345060046033687	0.6382577997440536	0.031022558620054826	0.03712067408431466	k-means 5 features n_clusters=8, threshold=2.5
Length	2839.0	100.94223318069743	89.2496805083312	5.0	55.0	85.0	110.0	1080.0	95.0	0.5293158059297726	0.1358701910494635	0.12122391414668165	0.4351255487850251	0.18364477012998343	0.14829133041792525	0.6695873680537381	0.015692669761338353	0.018777383479480117	k-means 5 features n_clusters=8, threshold=3
Length	23075.0	167.84884073672805	161.14097394876327	5.0	95.0	110.0	195.0	2595.0	95.0	0.899389622218295	0.01708187111552674	0.017049292194099078	0.8494737451322458	0.026527247340123395	0.026403136418046532	0.5668880734665045	0.21208921770802308	0.25377967123083384	k-means 5 features n_clusters=16, threshold=1
Length	15542.0	136.12115557843262	120.79866050647524	5.0	80.0	95.0	150.0	1990.0	95.0	0.8162069574910619	0.028380195642360658	0.028199979803815202	0.7373024994005738	0.04215173509107367	0.04152804735844066	0.589700297079545	0.11584867376337299	0.13862108907710283	k-means 5 features n_clusters=16, threshold=1.5
Length	11250.0	122.89733333333334	105.65049232530967	5.0	75.0	95.0	130.0	1585.0	95.0	0.7603485542610894	0.04045436299133152	0.039945037365450096	0.6600054568454472	0.05773708135788137	0.05606942952848073	0.6014234103262344	0.0757100471034724	0.09059239819178859	k-means 5 features n_clusters=16, threshold=2
Length	5675.0	109.8396475770925	94.55599456640051	5.0	65.0	90.0	115.0	1465.0	95.0	0.6484958062016558	0.07652966278435525	0.07348154720369934	0.5442376538871756	0.10560047486123143	0.09702062305442882	0.6310520743093657	0.03413371288155858	0.04084338905382234	k-means 5 features n_clusters=16, threshold=2.5
