	count	mean	std	min	25%	50%	75%	max	mode	ATACseq_overlap	ATACseq_ranges_overlap	ATACseq_Jaccard	DNAseq_overlap	DNAseq_ranges_overlap	DNAseq_Jaccard	genes_overlap	percentage_open	percentage_open_adj	model_name
Length	11283.0	141.68217672604803	103.9406476887425	100.0	100.0	100.0	100.0	1900.0	100.0	0.7616128111363358	0.03504629050419117	0.03466601820638857	0.6593109492430694	0.049883022644814215	0.048629533005733604	0.5974727886901039	0.08753834731039167	0.10474579160881765	test run
Length	23269.0	168.36249946280458	165.06247681740305	5.0	90.0	115.0	195.0	2565.0	95.0	0.9022987724473566	0.01694239905943062	0.016911374653677855	0.8541285996577069	0.026369534414583114	0.026251311854078627	0.5669317165723026	0.21452683157673452	0.2566964477311882	k-means 5 features n_clusters=10, scale=1, threshold=1
Length	16465.0	141.29000911023383	127.06232406270517	5.0	85.0	100.0	155.0	2105.0	95.0	0.8302905071981077	0.026254545767170748	0.026114406214405188	0.7549793714706199	0.03925221592716456	0.03875847579027791	0.5862694189155497	0.12738893962345588	0.15242982913252648	k-means 5 features n_clusters=10, scale=1, threshold=1.5
Length	9668.0	119.11512205213074	103.87132712372446	5.0	75.0	95.0	125.0	1485.0	95.0	0.7395630836992428	0.04724102448322124	0.04646798711609438	0.6403608132353306	0.06725483130066298	0.064806966428835	0.6085020471429006	0.06306117756435857	0.07545713583490082	k-means 5 features n_clusters=10, scale=1, threshold=2
Length	5621.0	108.40064045543498	94.94985730228865	5.0	65.0	90.0	115.0	1460.0	95.0	0.6481967346827803	0.07825444758090987	0.07506623908412954	0.5418730208600319	0.10756088754677345	0.09859491823747987	0.6327463401824985	0.03336598635253838	0.039924750245893134	k-means 5 features n_clusters=10, scale=1, threshold=2.5
Length	3483.0	104.10422049956934	88.43005778599309	5.0	65.0	85.0	110.0	1230.0	95.0	0.5619010073272522	0.11399495304678774	0.10469021483098713	0.46637839089202887	0.1555675064465864	0.13206098291878934	0.6609881548283898	0.019855477945084115	0.02375847635956414	k-means 5 features n_clusters=10, scale=1, threshold=3
Length	21447.0	171.471767613186	158.6012484010496	5.0	95.0	115.0	200.0	2565.0	95.0	0.8956920107121981	0.017916251422480427	0.017878948059658725	0.8452653597797418	0.027799448274736883	0.027658693764254234	0.5692678967411772	0.20138063733458492	0.24096610137618252	k-means 5 features n_clusters=10, scale=2, threshold=1
Length	15427.0	136.7219809425034	122.56446946475081	5.0	80.0	100.0	150.0	1995.0	95.0	0.8229904433055559	0.028702689632611262	0.028526583581146445	0.7395348452653597	0.04240734682653695	0.04178327501164332	0.5904784255716595	0.1154990351123178	0.13820272183112364	k-means 5 features n_clusters=10, scale=2, threshold=1.5
Length	10113.0	118.66310689211906	104.75064820593255	5.0	70.0	95.0	130.0	1485.0	95.0	0.7456668615162926	0.04570847638412053	0.045006806159430694	0.6461318406931847	0.06512199593346889	0.06287937304882366	0.6069597680077331	0.06571344820865908	0.07863076427013983	k-means 5 features n_clusters=10, scale=2, threshold=2
Length	5878.0	108.86355903368492	94.86533318472708	5.0	65.0	90.0	115.0	1385.0	95.0	0.6548578730577344	0.07528051258009064	0.0724076303681558	0.5506949209997603	0.10408813877168308	0.09594047041165701	0.6313705266447882	0.035040528239659474	0.04192845743180434	k-means 5 features n_clusters=10, scale=2, threshold=2.5
