	count	mean	std	min	25%	50%	75%	max	mode	ATACseq_overlap	ATACseq_ranges_overlap	ATACseq_Jaccard	DNAseq_overlap	DNAseq_ranges_overlap	DNAseq_Jaccard	genes_overlap	percentage_open	percentage_open_adj	model_name
Length	15211.0	152.29767931102492	119.94607491746102	100.0	100.0	100.0	200.0	2600.0	100.0	0.8122102744660894	0.02579081412414746	0.025637933860678832	0.7307460169162209	0.03815203315203315	0.03762313944608427	0.5832793749460417	0.12685558324737478	0.15179163070248153	test run
Length	23216.0	180.8196933149552	170.6618858130745	5.0	95.0	115.0	210.0	5100.0	95.0	0.9059284131537092	0.015874804366934975	0.01584867878130626	0.8579731953137273	0.02471968193696387	0.024618940340035606	0.5636793070837631	0.22987495530949975	0.27506155764579737	DBSCAN eps=1e-05, threshold=1
Length	17067.0	142.48315462588621	124.78475876240917	5.0	90.0	95.0	155.0	2100.0	95.0	0.832275254550645	0.02517641543573379	0.025049322899490935	0.7614862462690887	0.037874214560647435	0.03743017985798632	0.5764812317004968	0.13316167362411988	0.1593373115242452	DBSCAN eps=1e-05, threshold=1.5
Length	11069.0	122.94290360466167	103.89892415103843	5.0	75.0	95.0	130.0	1985.0	95.0	0.7592202389853319	0.04103964052011419	0.040512358122601226	0.6594515043530744	0.0586102119623325	0.05688837154896708	0.5975258201645289	0.07451957814905734	0.08916791832842333	DBSCAN eps=1e-05, threshold=2
Length	6138.0	110.91642228739003	95.01860415300523	5.0	70.0	95.0	115.0	1470.0	95.0	0.6552113212164055	0.07079560226496574	0.06825288033442467	0.5539111526345816	0.09840556400143947	0.09117955683428172	0.6227245687091018	0.03728046074105543	0.04460869426763487	DBSCAN eps=1e-05, threshold=2.5
Length	3233.0	103.16115063408598	85.71092303139346	5.0	65.0	85.0	105.0	1075.0	95.0	0.5308383518440478	0.11708143439673782	0.10610218676636814	0.4443195065688844	0.16112976733029505	0.13410559255756385	0.6635733988966179	0.01826334892716241	0.02185338197008186	DBSCAN eps=1e-05, threshold=3
Length	23216.0	180.8196933149552	170.6618858130745	5.0	95.0	115.0	210.0	5100.0	95.0	0.9059284131537092	0.015874804366934975	0.01584867878130626	0.8579731953137273	0.02471968193696387	0.024618940340035606	0.5636793070837631	0.22987495530949975	0.27506155764579737	DBSCAN eps=2e-05, threshold=1
Length	17067.0	142.48315462588621	124.78475876240917	5.0	90.0	95.0	155.0	2100.0	95.0	0.832275254550645	0.02517641543573379	0.025049322899490935	0.7614862462690887	0.037874214560647435	0.03743017985798632	0.5764812317004968	0.13316167362411988	0.1593373115242452	DBSCAN eps=2e-05, threshold=1.5
Length	11069.0	122.94290360466167	103.89892415103843	5.0	75.0	95.0	130.0	1985.0	95.0	0.7592202389853319	0.04103964052011419	0.040512358122601226	0.6594515043530744	0.0586102119623325	0.05688837154896708	0.5975258201645289	0.07451957814905734	0.08916791832842333	DBSCAN eps=2e-05, threshold=2
Length	6138.0	110.91642228739003	95.01860415300523	5.0	70.0	95.0	115.0	1470.0	95.0	0.6552113212164055	0.07079560226496574	0.06825288033442467	0.5539111526345816	0.09840556400143947	0.09117955683428172	0.6227245687091018	0.03728046074105543	0.04460869426763487	DBSCAN eps=2e-05, threshold=2.5
