	count	mean	std	min	25%	50%	75%	max	mode	ATACseq_overlap	ATACseq_ranges_overlap	ATACseq_Jaccard	DNAseq_overlap	DNAseq_ranges_overlap	DNAseq_Jaccard	genes_overlap	percentage_open	percentage_open_adj	model_name
Length	11283.0	141.68217672604803	103.9406476887425	100.0	100.0	100.0	100.0	1900.0	100.0	0.7616128111363358	0.03504629050419117	0.03466601820638857	0.6593109492430694	0.049883022644814215	0.048629533005733604	0.5974727886901039	0.08753834731039167	0.10474579160881765	test run
Length	23181.0	167.27298218368492	166.9539360515457	5.0	90.0	115.0	195.0	4580.0	95.0	0.9003684017346149	0.017080866680163145	0.017048642893841875	0.8545419970400747	0.02665494106466575	0.026534550163434097	0.5673237387993207	0.21233251364015124	0.25407079193152066	k-means 5 features n_clusters=10, scale=1, threshold=1
Length	16822.0	142.0782308881227	128.27568603911783	5.0	85.0	100.0	160.0	2120.0	95.0	0.8344639143024157	0.025683252163143714	0.0255530620256205	0.7605850399755268	0.038489732389416074	0.03802898474036966	0.5846316379642181	0.13087711222677875	0.15660367307440168	k-means 5 features n_clusters=10, scale=1, threshold=1.5
Length	11051.0	119.45525291828794	106.0325957833637	5.0	70.0	95.0	130.0	1580.0	95.0	0.7562567121164747	0.042141504431482464	0.04157679573701636	0.659625131253669	0.06043557306264677	0.05860785679234361	0.6032558139534884	0.07228785955489056	0.0864975100105093	k-means 5 features n_clusters=10, scale=1, threshold=2
Length	5807.0	108.920268641295	94.2706652862584	5.0	65.0	90.0	115.0	1305.0	95.0	0.6537703402618236	0.07603478260869566	0.07309158942138612	0.548222804653201	0.10483320158102767	0.09649679396689476	0.6306719367588933	0.034635308816353516	0.041443583881256824	k-means 5 features n_clusters=10, scale=1, threshold=2.5
Length	2559.0	103.41539663931223	87.26403329207557	5.0	60.0	85.0	110.0	1085.0	95.0	0.5135329862291159	0.14274486094316807	0.12574186569027213	0.4212105928945258	0.19250680169286577	0.15223640644983924	0.6731257557436517	0.014491522727525368	0.01734012654282341	k-means 5 features n_clusters=10, scale=1, threshold=3
Length	23210.0	166.64799655320982	164.77629860147442	5.0	85.0	110.0	195.0	3005.0	95.0	0.902964886284852	0.01717288451097495	0.017141251259987646	0.8530620344111981	0.026675198428087594	0.026553193372986707	0.5676925463429768	0.21180381181150004	0.2534381629949617	k-means 5 features n_clusters=10, scale=2, threshold=1
Length	15201.0	135.84895730544042	120.60924541402434	5.0	85.0	100.0	150.0	2095.0	95.0	0.817389649406615	0.029117111532948513	0.028928930036618228	0.734028392132221	0.04299190330453647	0.04233245232115636	0.5913120326967032	0.11308031323023346	0.13530855092197722	k-means 5 features n_clusters=10, scale=2, threshold=1.5
Length	10020.0	119.72455089820359	103.29787084358685	5.0	75.0	95.0	130.0	1490.0	95.0	0.7442666630415573	0.04563785802407389	0.0449332431642773	0.6462889316984844	0.0651595478643593	0.06291587151215249	0.6067678636924411	0.06569154445604795	0.07860455488902915	k-means 5 features n_clusters=10, scale=2, threshold=2
Length	6518.0	108.03850874501381	95.45996587202416	5.0	65.0	90.0	115.0	1465.0	95.0	0.6670926170117317	0.069685243433992	0.06734332028698312	0.5610050517160126	0.09635541291829677	0.08959963871219914	0.6277096542860997	0.038561282674991405	0.04614128782808166	k-means 5 features n_clusters=10, scale=2, threshold=2.5
Length	3298.0	101.11885991510006	89.61908642232277	5.0	60.0	85.0	110.0	1100.0	95.0	0.5539756120770517	0.12219556808300099	0.11125034125034125	0.4568289113593333	0.16568112986896158	0.13841417284173294	0.6647035893130229	0.018261706145716577	0.02185141626649856	k-means 5 features n_clusters=10, scale=2, threshold=3
Length	23086.0	164.45560079701983	160.24126438265384	5.0	85.0	110.0	190.0	2595.0	95.0	0.8973912807058088	0.017387298498507356	0.01735279969086555	0.8493662618128301	0.027058263898802674	0.026929038457959322	0.5680144085979589	0.20790067261495923	0.24876778232794475	k-means 5 features n_clusters=10, scale=4, threshold=1
Length	16060.0	138.2733499377335	124.17049508504505	5.0	80.0	100.0	150.0	2105.0	95.0	0.82501597313794	0.027329139403873607	0.027171640381062904	0.746678352032675	0.0406679065327131	0.0401144400879666	0.5879095047890952	0.12160251577740991	0.14550596587761358	k-means 5 features n_clusters=10, scale=4, threshold=1.5
Length	10112.0	120.29914952531645	105.48838061385842	5.0	75.0	95.0	130.0	1490.0	95.0	0.7486847650249453	0.04527380565819814	0.044596065272172525	0.6503650298886308	0.06466359492463819	0.062491211540310135	0.6071148779455224	0.06661287105025372	0.07970698698199698	k-means 5 features n_clusters=10, scale=4, threshold=2
Length	5846.0	108.70082107423879	95.56867544121077	5.0	65.0	90.0	115.0	1445.0	95.0	0.651921534508775	0.07546599734053017	0.0725429984721739	0.5475448329461178	0.10421502364410314	0.09595197837114182	0.6320458247110384	0.03479767038258354	0.041637860918739715	k-means 5 features n_clusters=10, scale=4, threshold=2.5
Length	3138.0	102.45379222434671	90.43074374023311	5.0	60.0	85.0	110.0	1100.0	95.0	0.5481980940987752	0.1254307931570762	0.11367922533722356	0.4509007928961794	0.1696298600311042	0.1405882246792451	0.6656951788491446	0.017605141161197876	0.02106579006770604	k-means 5 features n_clusters=10, scale=4, threshold=3
Length	21182.0	162.82173543574734	151.87570222255417	5.0	90.0	110.0	185.0	2550.0	95.0	0.8831446010793763	0.018836495220201283	0.018789663935009426	0.8309370065068749	0.029140100148163612	0.02896835073434759	0.571006613722096	0.1888590833575233	0.22598318104700058	k-means 5 features n_clusters=10, scale=8, threshold=1
Length	16245.0	138.02770083102493	125.2485358634624	5.0	80.0	100.0	155.0	2105.0	95.0	0.8287815554437814	0.027189531990045757	0.02703765874080595	0.7487205351015718	0.040386485064176324	0.03984639971275849	0.5879273590038622	0.1227847708245958	0.14692061722306235	k-means 5 features n_clusters=10, scale=8, threshold=1.5
Length	10077.0	120.33938672223876	104.5472854954496	5.0	75.0	95.0	130.0	1580.0	95.0	0.7474341023096478	0.04533999637161282	0.04465583042772362	0.6485791531968019	0.06468837101908202	0.06249780905124749	0.6068964095459568	0.06640451160354033	0.07945767024418167	k-means 5 features n_clusters=10, scale=8, threshold=2
