	Length	Length	Length	Length	Length	Length	0	0	0	0	0
count	6456.0	1727.0	385.0	26.0	16.0	11.0					
mean	177.85006195786866	107.4116965836711	105.97402597402598	100.0	106.25	100.0					
std	157.25795159559544	29.920039089623046	24.804429851535392	0.0	25.0	0.0					
min	100.0	100.0	100.0	100.0	100.0	100.0					
25%	100.0	100.0	100.0	100.0	100.0	100.0					
50%	100.0	100.0	100.0	100.0	100.0	100.0					
75%	200.0	100.0	100.0	100.0	100.0	100.0					
max	2000.0	400.0	300.0	100.0	200.0	100.0					
ATACseq_overlap	0.6682757072294566	0.014369106421194431	0.00374195479718605	0.008456817841640473	0.0	0.0051264780721448884					
DNAseq_overlap	0.5538131768953068	0.01917870036101083	0.009739771359807461	0.007521058965102286	0.0	0.0018802647412755715					
genes_overlap	0.5508090924925971	0.3426684636118598	0.3404656862745098	0.34615384615384615	0.4576470588235294	0.5454545454545454					
percentage_open	0.11815681947609666	0.019089087278188407	0.004198570139892653	0.00026755594028727686	0.00017494042249552717	0.00011319674396769406					
percentage_open_adj	0.17092429223915587	0.027614053484030145	0.006073603138266469	0.00038704333724247104	0.0002530667974277695	0.00016374910421796852					
model_name	test run	DBSCAN eps=0.001	DBSCAN eps=0.002	DBSCAN eps=0.004	DBSCAN eps=0.008	DBSCAN eps=0.016	DBSCAN eps=0.032	DBSCAN eps=0.064	DBSCAN eps=0.128	DBSCAN eps=0.256	DBSCAN eps=0.512
min_open_signal	19.0	2.0	5.0	44.0	76.0	68.0					
max_open_signal	393.0	32.0	89.0	92.0	90.0	116.0					
min_closed_signal	0.0	0.0	0.0	0.0	0.0	0.0					
max_closed_signal	18.0	393.0	393.0	393.0	393.0	393.0					
no_clusters	2	67	33	3	2	2					
