	TT_S0	starting_nt	Chromosome	Start	End	genes	transcripts	exons	CDSs	labels
0	0.0	3000016	18	3000016	3000016	0	0	0	0	0
1	7.0	3000016	18	3000016	3000116	0	0	0	0	0
2	1.0	3000116	18	3000116	3000216	0	0	0	0	0
3	2.0	3000216	18	3000216	3000316	0	0	0	0	0
4	0.0	3000316	18	3000316	3000416	0	0	0	0	0
5	0.0	3000416	18	3000416	3000516	0	0	0	0	0
6	0.0	3000516	18	3000516	3000616	0	0	0	0	0
7	0.0	3000616	18	3000616	3000716	0	0	0	0	0
8	0.0	3000716	18	3000716	3000816	0	0	0	0	0
9	0.0	3000816	18	3000816	3000916	0	0	0	0	0
10	0.0	3000916	18	3000916	3001016	0	0	0	0	0
11	2.0	3001016	18	3001016	3001116	0	0	0	0	0
12	0.0	3001116	18	3001116	3001216	0	0	0	0	0
13	0.0	3001216	18	3001216	3001316	0	0	0	0	0
14	0.0	3001316	18	3001316	3001416	0	0	0	0	0
15	1.0	3001416	18	3001416	3001516	0	0	0	0	0
16	3.0	3001516	18	3001516	3001616	0	0	0	0	0
17	3.0	3001616	18	3001616	3001716	0	0	0	0	0
18	0.0	3001716	18	3001716	3001816	0	0	0	0	0
19	0.0	3001816	18	3001816	3001916	0	0	0	0	0
20	1.0	3001916	18	3001916	3002016	0	0	0	0	0
21	0.0	3002016	18	3002016	3002116	0	0	0	0	0
22	1.0	3002116	18	3002116	3002216	0	0	0	0	0
23	10.0	3002216	18	3002216	3002316	0	0	0	0	0
24	2.0	3002316	18	3002316	3002416	0	0	0	0	0
25	19.0	3002416	18	3002416	3002516	0	0	0	0	0
26	4.0	3002516	18	3002516	3002616	0	0	0	0	0
27	0.0	3002616	18	3002616	3002716	0	0	0	0	0
28	0.0	3002716	18	3002716	3002816	0	0	0	0	0
29	0.0	3002816	18	3002816	3002916	0	0	0	0	0
30	1.0	3002916	18	3002916	3003016	0	0	0	0	0
31	2.0	3003016	18	3003016	3003116	0	0	0	0	0
32	0.0	3003116	18	3003116	3003216	0	0	0	0	0
33	0.0	3003216	18	3003216	3003316	0	0	0	0	0
34	1.0	3003316	18	3003316	3003416	0	0	0	0	0
35	0.0	3003416	18	3003416	3003516	0	0	0	0	0
36	1.0	3003516	18	3003516	3003616	0	0	0	0	0
37	1.0	3003616	18	3003616	3003716	0	0	0	0	0
38	3.0	3003716	18	3003716	3003816	0	0	0	0	0
39	0.0	3003816	18	3003816	3003916	0	0	0	0	0
40	8.0	3003916	18	3003916	3004016	0	0	0	0	0
41	0.0	3004016	18	3004016	3004116	0	0	0	0	0
42	0.0	3004116	18	3004116	3004216	0	0	0	0	0
43	5.0	3004216	18	3004216	3004316	0	0	0	0	0
44	0.0	3004316	18	3004316	3004416	0	0	0	0	0
45	0.0	3004416	18	3004416	3004516	0	0	0	0	0
46	1.0	3004516	18	3004516	3004616	0	0	0	0	0
47	0.0	3004616	18	3004616	3004716	0	0	0	0	0
48	0.0	3004716	18	3004716	3004816	0	0	0	0	0
49	13.0	3004816	18	3004816	3004916	0	0	0	0	0
50	0.0	3004916	18	3004916	3005016	0	0	0	0	0
51	6.0	3005016	18	3005016	3005116	0	0	0	0	0
52	45.0	3005116	18	3005116	3005216	0	0	0	0	0
53	34.0	3005216	18	3005216	3005316	0	0	0	0	0
54	6.0	3005316	18	3005316	3005416	0	0	0	0	0
55	20.0	3005416	18	3005416	3005516	0	0	0	0	0
56	13.0	3005516	18	3005516	3005616	0	0	0	0	0
57	113.0	3005616	18	3005616	3005716	0	0	0	0	-1
58	115.0	3005716	18	3005716	3005816	0	0	0	0	-1
59	285.0	3005816	18	3005816	3005916	0	0	0	0	-1
60	393.0	3005916	18	3005916	3006016	0	0	0	0	-1
61	0.0	3006016	18	3006016	3006116	0	0	0	0	0
62	16.0	3006116	18	3006116	3006216	0	0	0	0	0
63	17.0	3006216	18	3006216	3006316	0	0	0	0	0
64	4.0	3006316	18	3006316	3006416	0	0	0	0	0
65	0.0	3006416	18	3006416	3006516	0	0	0	0	0
66	0.0	3006516	18	3006516	3006616	0	0	0	0	0
67	7.0	3006616	18	3006616	3006716	0	0	0	0	0
68	0.0	3006716	18	3006716	3006816	0	0	0	0	0
69	1.0	3006816	18	3006816	3006916	0	0	0	0	0
70	5.0	3006916	18	3006916	3007016	0	0	0	0	0
71	3.0	3007016	18	3007016	3007116	0	0	0	0	0
72	0.0	3007116	18	3007116	3007216	0	0	0	0	0
73	5.0	3007216	18	3007216	3007316	0	0	0	0	0
74	0.0	3007316	18	3007316	3007416	0	0	0	0	0
75	0.0	3007416	18	3007416	3007516	0	0	0	0	0
76	2.0	3007516	18	3007516	3007616	0	0	0	0	0
77	0.0	3007616	18	3007616	3007716	0	0	0	0	0
78	0.0	3007716	18	3007716	3007816	0	0	0	0	0
79	0.0	3007816	18	3007816	3007916	0	0	0	0	0
80	2.0	3007916	18	3007916	3008016	0	0	0	0	0
81	9.0	3008016	18	3008016	3008116	0	0	0	0	0
82	2.0	3008116	18	3008116	3008216	0	0	0	0	0
83	0.0	3008216	18	3008216	3008316	0	0	0	0	0
84	3.0	3008316	18	3008316	3008416	0	0	0	0	0
85	4.0	3008416	18	3008416	3008516	0	0	0	0	0
86	2.0	3008516	18	3008516	3008616	0	0	0	0	0
87	4.0	3008616	18	3008616	3008716	0	0	0	0	0
88	5.0	3008716	18	3008716	3008816	0	0	0	0	0
89	0.0	3008816	18	3008816	3008916	0	0	0	0	0
90	0.0	3008916	18	3008916	3009016	0	0	0	0	0
91	11.0	3009016	18	3009016	3009116	0	0	0	0	0
92	14.0	3009116	18	3009116	3009216	0	0	0	0	0
93	2.0	3009216	18	3009216	3009316	0	0	0	0	0
94	0.0	3009316	18	3009316	3009416	0	0	0	0	0
95	2.0	3009416	18	3009416	3009516	0	0	0	0	0
96	3.0	3009516	18	3009516	3009616	0	0	0	0	0
97	0.0	3009616	18	3009616	3009716	0	0	0	0	0
98	3.0	3009716	18	3009716	3009816	0	0	0	0	0
99	10.0	3009816	18	3009816	3009916	0	0	0	0	0
100	12.0	3009916	18	3009916	3010016	0	0	0	0	0
101	13.0	3010016	18	3010016	3010116	0	0	0	0	0
102	28.0	3010116	18	3010116	3010216	0	0	0	0	0
103	23.0	3010216	18	3010216	3010316	0	0	0	0	0
104	14.0	3010316	18	3010316	3010416	0	0	0	0	0
105	8.0	3010416	18	3010416	3010516	0	0	0	0	0
106	6.0	3010516	18	3010516	3010616	0	0	0	0	0
107	10.0	3010616	18	3010616	3010716	0	0	0	0	0
108	27.0	3010716	18	3010716	3010816	0	0	0	0	0
109	4.0	3010816	18	3010816	3010916	0	0	0	0	0
110	11.0	3010916	18	3010916	3011016	0	0	0	0	0
111	0.0	3011016	18	3011016	3011116	0	0	0	0	0
112	15.0	3011116	18	3011116	3011216	0	0	0	0	0
113	3.0	3011216	18	3011216	3011316	0	0	0	0	0
114	0.0	3011316	18	3011316	3011416	0	0	0	0	0
115	0.0	3011416	18	3011416	3011516	0	0	0	0	0
116	2.0	3011516	18	3011516	3011616	0	0	0	0	0
117	0.0	3011616	18	3011616	3011716	0	0	0	0	0
118	0.0	3011716	18	3011716	3011816	0	0	0	0	0
119	0.0	3011816	18	3011816	3011916	0	0	0	0	0
120	0.0	3011916	18	3011916	3012016	0	0	0	0	0
121	1.0	3012016	18	3012016	3012116	0	0	0	0	0
122	6.0	3012116	18	3012116	3012216	0	0	0	0	0
123	1.0	3012216	18	3012216	3012316	0	0	0	0	0
124	1.0	3012316	18	3012316	3012416	0	0	0	0	0
125	13.0	3012416	18	3012416	3012516	0	0	0	0	0
126	2.0	3012516	18	3012516	3012616	0	0	0	0	0
127	17.0	3012616	18	3012616	3012716	0	0	0	0	0
128	17.0	3012716	18	3012716	3012816	0	0	0	0	0
129	12.0	3012816	18	3012816	3012916	0	0	0	0	0
130	16.0	3012916	18	3012916	3013016	0	0	0	0	0
