Chromosome	Start	End
17	3029547	3029597
17	3054957	3054972
17	3084752	3084812
17	3097852	3097857
17	3101122	3101177
17	3102497	3102597
17	3130487	3130542
17	3191557	3191642
17	3224542	3224647
17	3230247	3230272
17	3230522	3230582
17	3241882	3241932
17	3246002	3246057
17	3263422	3263467
17	3273932	3274017
17	3288542	3288597
17	3300007	3300032
17	3308532	3308652
17	3314462	3314557
17	3326202	3326207
17	3326742	3326882
17	3346637	3346672
17	3350152	3350277
17	3351827	3351922
17	3357287	3357307
17	3396957	3397067
17	3402347	3402452
17	3416737	3416742
17	3446842	3446917
17	3448872	3448962
17	3453047	3453097
17	3454322	3454407
17	3486642	3486717
17	3498227	3498327
17	3506702	3506707
17	3510012	3510147
17	3516857	3516887
17	3557722	3557937
17	3562547	3562642
17	3570037	3570122
17	3612117	3612207
17	3616572	3616652
17	3659697	3659767
17	4163702	4163732
17	4233742	4233812
17	4474487	4474497
17	4498522	4498612
17	4639097	4639132
17	4778307	4778397
17	4791397	4791477
17	4840937	4840952
17	4865007	4865107
17	4908497	4908532
17	4913582	4913622
17	4921342	4921427
17	4947087	4947137
17	4948792	4948872
17	4964642	4964777
17	4974582	4974647
17	4986037	4986122
17	4991887	4991937
17	5000862	5000967
17	5004282	5004382
17	5004912	5004957
17	5008332	5008387
17	5009737	5009812
17	5020772	5020867
17	5021527	5021642
17	5021757	5021837
17	5022327	5022392
17	5023872	5023942
17	5042237	5042307
17	5052222	5052277
17	5052637	5052737
17	5053442	5053557
17	5057482	5057612
17	5058422	5058532
17	5071397	5071452
17	5073682	5073747
17	5081007	5081052
17	5081172	5081232
17	5089662	5089737
17	5091587	5091617
17	5091807	5091887
17	5092527	5092602
17	5092847	5092947
17	5095897	5095942
17	5097667	5097767
17	5104772	5104872
17	5105157	5105217
17	5130347	5130457
17	5133097	5133102
17	5134412	5134457
17	5150887	5150987
17	5151992	5152117
17	5153157	5153207
17	5163412	5163467
17	5165522	5165632
17	5170477	5170502
17	5173047	5173172
17	5189842	5189917
17	5190027	5190097
17	5190247	5190337
17	5198522	5198597
17	5202022	5202092
17	5203967	5204037
17	5204232	5204327
17	5206757	5206852
17	5217142	5217207
17	5217352	5217412
17	5218032	5218132
17	5223142	5223202
17	5239067	5239152
17	5246877	5246937
17	5247197	5247247
17	5247437	5247472
17	5247932	5247982
17	5258037	5258072
17	5262207	5262302
17	5269317	5269372
17	5269507	5269647
17	5270912	5271147
17	5271327	5271412
17	5271542	5271717
17	5277542	5277642
17	5277812	5277867
17	5278487	5278587
17	5278672	5278752
17	5286007	5286072
17	5287422	5287482
17	5288932	5289032
17	5295987	5296147
17	5297892	5297987
17	5303442	5303522
17	5303652	5303697
17	5305922	5305982
17	5306387	5306472
17	5306802	5306892
17	5310782	5310837
17	5314917	5315012
17	5316507	5316537
17	5316547	5316562
17	5320137	5320192
