	ranges_bin	norm_signal	pre_signal	post_signal	surround_signal	enrichment_factor1	enrichment_factor2
0	[3005068, 3005313)	6.0	0.0	1.4	1.4	4.285714285714286	7.94616740071039
1	[3005588, 3006003)	39.391304347826086	1.875	0.0	1.875	21.008695652173913	52.16831641335952
2	[3010158, 3010298)	4.777777777777778	1.25	3.0	4.25	1.1241830065359477	6.327503670936052
3	[3010708, 3010803)	4.5	1.8333333333333333	0.8	2.6333333333333333	1.7088607594936709	5.959625550532793
4	[3117968, 3118488)	5.26	1.625	2.2	3.825	1.3751633986928102	6.966140087956108
5	[3118543, 3118793)	2.923076923076923	1.8181818181818181	1.0	2.8181818181818183	1.0372208436724564	3.8712097593204464
6	[3222103, 3222193)	3.3636363636363638	0.6	0.2222222222222222	0.8222222222222222	4.090909090909091	4.4546696034285524
7	[3222378, 3222478)	2.230769230769231	0.8571428571428571	1.5	2.357142857142857	0.9463869463869464	2.9543442900077093
8	[3257943, 3258023)	6.0	1.1666666666666667	0.125	1.2916666666666667	4.64516129032258	7.94616740071039
9	[3280738, 3281068)	3.5	0.0	1.0	1.0	3.5	4.635264317081061
10	[3336653, 3337203)	2.6233766233766236	0.75	0.32	1.07	2.4517538536230123	3.4742983007435044
11	[3337483, 3337613)	1.4838709677419355	0.45454545454545453	1.0909090909090908	1.5454545454545454	0.9601518026565465	1.9651811851219245
12	[3360073, 3360268)	3.2222222222222223	1.4285714285714286	1.5714285714285714	3.0	1.0740740740740742	4.267386196677802
13	[3382673, 3382748)	7.75	0.0	1.6	1.6	4.84375	10.263799559250922
14	[3382913, 3383083)	3.0434782608695654	0.7142857142857143	0.47058823529411764	1.184873949579832	2.568609312365094	4.030664623548749
15	[3383448, 3383548)	6.416666666666667	0.5714285714285714	0.875	1.4464285714285714	4.436213991769548	8.49798458131528
16	[3383793, 3383903)	3.4	2.125	1.4	3.525	0.9645390070921985	4.502828193735888
17	[3441088, 3441203)	4.3	0.2	0.5	0.7	6.142857142857143	5.694753303842446
18	[3449688, 3449783)	3.7142857142857144	1.2	1.0	2.2	1.6883116883116882	4.919056009963575
19	[3490833, 3490948)	4.066666666666666	1.0	0.0	1.0	4.066666666666666	5.385735682703709
20	[3498703, 3498783)	4.5	1.3333333333333333	3.0	4.333333333333333	1.0384615384615385	5.959625550532793
21	[3498968, 3499288)	2.4444444444444446	0.8	1.5	2.3	1.06280193236715	3.237327459548678
22	[3507083, 3507508)	3.58	1.75	0.5	2.25	1.5911111111111111	4.7412132157572
23	[3507688, 3507843)	1.6571428571428573	2.272727272727273	1.2	3.4727272727272727	0.4771877337322364	2.194655758291441
24	[3508088, 3508178)	1.1538461538461537	0.75	0.2631578947368421	1.013157894736842	1.138861138861139	1.5281091155212287
25	[3508293, 3508408)	2.5238095238095237	0.3333333333333333	1.4545454545454546	1.7878787878787878	1.4116222760290558	3.3424354939496084
26	[3508678, 3508773)	3.857142857142857	1.6	2.6	4.2	0.9183673469387755	5.108250471885251
27	[3509168, 3509243)	3.2222222222222223	2.4285714285714284	0.0	2.4285714285714284	1.3267973856209152	4.267386196677802
28	[3542683, 3542768)	1.411764705882353	0.8461538461538461	0.6666666666666666	1.5128205128205128	0.9332003988035893	1.8696864472259744
29	[3896938, 3897063)	3.3333333333333335	1.0	2.25	3.25	1.0256410256410258	4.414537444839106
30	[3901888, 3901968)	4.5	0.0	0.0	0.0	0.0	5.959625550532793
31	[3933888, 3933983)	4.625	0.0	0.0	0.0	0.0	6.125170704714259
32	[3976173, 3976313)	2.75	2.2	1.4	3.6	0.7638888888888888	3.6419933919922625
33	[4049998, 4050098)	3.75	0.3	0.0	0.3	12.5	4.966354625443994
34	[4238908, 4239018)	4.333333333333333	0.5714285714285714	0.25	0.8214285714285714	5.275362318840579	5.7388986782908376
35	[4244403, 4244503)	3.857142857142857	2.0	2.0	4.0	0.9642857142857143	5.108250471885251
36	[4276523, 4276613)	4.875	1.25	0.7272727272727273	1.9772727272727273	2.4655172413793105	6.456261013077192
