Chromosome	Start	End	width	Strand	study
1	3062536	3063132	597	*	ATACseq
1	3482735	3483063	329	*	ATACseq
1	3549538	3549654	117	*	ATACseq
1	3649136	3649335	200	*	ATACseq
1	3670656	3672554	1899	*	ATACseq
1	3681603	3681788	186	*	ATACseq
1	3727308	3727426	119	*	ATACseq
1	3913579	3913749	171	*	ATACseq
1	3953686	3953931	246	*	ATACseq
1	3994686	3994867	182	*	ATACseq
1	4059179	4059354	176	*	ATACseq
1	4059415	4059733	319	*	ATACseq
1	4136578	4136801	224	*	ATACseq
1	4150817	4151181	365	*	ATACseq
1	4170441	4170553	113	*	ATACseq
1	4394771	4394882	112	*	ATACseq
1	4416830	4416967	138	*	ATACseq
1	4423761	4423870	110	*	ATACseq
1	4456675	4456792	118	*	ATACseq
1	4471572	4471780	209	*	ATACseq
1	4479256	4479732	477	*	ATACseq
1	4491822	4493728	1907	*	ATACseq
1	4497137	4497323	187	*	ATACseq
1	4571435	4572120	686	*	ATACseq
1	4660262	4660369	108	*	ATACseq
1	4688379	4688660	282	*	ATACseq
1	4688885	4689330	446	*	ATACseq
1	4722582	4722748	167	*	ATACseq
1	4785466	4785863	398	*	ATACseq
1	4802614	4802818	205	*	ATACseq
1	4807588	4808184	597	*	ATACseq
1	4857479	4858361	883	*	ATACseq
1	4947199	4947734	536	*	ATACseq
1	4970715	4970831	117	*	ATACseq
1	5018375	5018903	529	*	ATACseq
1	5019380	5019640	261	*	ATACseq
1	5020276	5020433	158	*	ATACseq
1	5022856	5023262	407	*	ATACseq
1	5046508	5046669	162	*	ATACseq
1	5070332	5070542	211	*	ATACseq
1	5083028	5083544	517	*	ATACseq
1	5158814	5158980	167	*	ATACseq
1	5159032	5159150	119	*	ATACseq
1	5170357	5170534	178	*	ATACseq
1	5183568	5183756	189	*	ATACseq
1	5188950	5189294	345	*	ATACseq
1	5207017	5207252	236	*	ATACseq
1	5227821	5228166	346	*	ATACseq
1	5233012	5233164	153	*	ATACseq
1	5261137	5261546	410	*	ATACseq
1	5588305	5588864	560	*	ATACseq
1	5916239	5917407	1169	*	ATACseq
1	5964223	5964346	124	*	ATACseq
1	6059258	6059369	112	*	ATACseq
1	6117691	6117993	303	*	ATACseq
1	6142848	6143685	838	*	ATACseq
1	6214220	6215267	1048	*	ATACseq
1	6282445	6282864	420	*	ATACseq
1	6358900	6359569	670	*	ATACseq
1	6373487	6373608	122	*	ATACseq
1	6382744	6383242	499	*	ATACseq
1	6406739	6406916	178	*	ATACseq
1	6441140	6441694	555	*	ATACseq
1	6448128	6448358	231	*	ATACseq
1	6448829	6449227	399	*	ATACseq
1	6457998	6458318	321	*	ATACseq
1	6729315	6729464	150	*	ATACseq
1	6805164	6805275	112	*	ATACseq
1	6870507	6870624	118	*	ATACseq
1	7011015	7011201	187	*	ATACseq
1	7013616	7013831	216	*	ATACseq
1	7052448	7052739	292	*	ATACseq
1	7055352	7055507	156	*	ATACseq
1	7088451	7089237	787	*	ATACseq
1	7124808	7124918	111	*	ATACseq
1	7126095	7126257	163	*	ATACseq
1	7130080	7130350	271	*	ATACseq
1	7139764	7139966	203	*	ATACseq
1	7206263	7207080	818	*	ATACseq
1	7271644	7272151	508	*	ATACseq
1	7312434	7312641	208	*	ATACseq
1	7319492	7319876	385	*	ATACseq
1	7397677	7398435	759	*	ATACseq
1	7488117	7488439	323	*	ATACseq
1	7494223	7494498	276	*	ATACseq
1	7512230	7512342	113	*	ATACseq
1	7518575	7519202	628	*	ATACseq
