	starting_nt	signal	labels
0	10000017	0.0	0
1	10000017	0.0	0
2	10000117	0.0	0
3	10000217	0.0	0
4	10000317	14.0	0
5	10000417	3.0	0
6	10000517	3.0	0
7	10000617	0.0	0
8	10000717	16.0	0
9	10000817	2.0	0
10	10000917	0.0	0
11	10001017	0.0	0
12	10001117	1.0	0
13	10001217	1.0	0
14	10001317	0.0	0
15	10001417	4.0	0
16	10001517	3.0	0
17	10001617	0.0	0
18	10001717	0.0	0
19	10001817	1.0	0
20	10001917	0.0	0
21	10002017	6.0	0
22	10002117	21.0	0
23	10002217	14.0	0
24	10002317	1.0	0
25	10002417	0.0	0
26	10002517	0.0	0
27	10002617	2.0	0
28	10002717	12.0	0
29	10002817	9.0	0
30	10002917	0.0	0
31	10003017	1.0	0
32	10003117	0.0	0
33	10003217	7.0	0
34	10003317	0.0	0
35	10003417	4.0	0
36	10003517	1.0	0
37	10003617	0.0	0
38	10003717	0.0	0
39	10003817	1.0	0
40	10003917	4.0	0
41	10004017	1.0	0
42	10004117	4.0	0
43	10004217	1.0	0
44	10004317	2.0	0
45	10004417	7.0	0
46	10004517	29.0	0
47	10004617	1.0	0
48	10004717	12.0	0
49	10004817	8.0	0
50	10004917	0.0	0
51	10005017	0.0	0
52	10005117	1.0	0
53	10005217	0.0	0
54	10005317	0.0	0
55	10005417	0.0	0
56	10005517	3.0	0
57	10005617	0.0	0
58	10005717	0.0	0
59	10005817	3.0	0
60	10005917	0.0	0
61	10006017	0.0	0
62	10006117	0.0	0
63	10006217	6.0	0
64	10006317	1.0	0
65	10006417	0.0	0
66	10006517	0.0	0
67	10006617	8.0	0
68	10006717	14.0	0
69	10006817	1.0	0
70	10006917	0.0	0
71	10007017	0.0	0
72	10007117	0.0	0
73	10007217	3.0	0
74	10007317	6.0	0
75	10007417	0.0	0
76	10007517	10.0	0
77	10007617	0.0	0
78	10007717	0.0	0
79	10007817	0.0	0
80	10007917	7.0	0
81	10008017	7.0	0
82	10008117	18.0	0
83	10008217	2.0	0
84	10008317	5.0	0
85	10008417	0.0	0
86	10008517	9.0	0
87	10008617	0.0	0
88	10008717	7.0	0
89	10008817	1.0	0
90	10008917	6.0	0
91	10009017	4.0	0
92	10009117	5.0	0
93	10009217	0.0	0
94	10009317	0.0	0
95	10009417	15.0	0
96	10009517	0.0	0
97	10009617	4.0	0
98	10009717	11.0	0
99	10009817	0.0	0
100	10009917	21.0	0
101	10010017	0.0	0
102	10010117	5.0	0
103	10010217	4.0	0
104	10010317	4.0	0
105	10010417	10.0	0
106	10010517	2.0	0
107	10010617	12.0	0
108	10010717	4.0	0
109	10010817	0.0	0
110	10010917	0.0	0
111	10011017	1.0	0
112	10011117	3.0	0
113	10011217	14.0	0
114	10011317	3.0	0
115	10011417	4.0	0
116	10011517	15.0	0
117	10011617	11.0	0
118	10011717	2.0	0
119	10011817	2.0	0
120	10011917	5.0	0
121	10012017	0.0	0
122	10012117	0.0	0
123	10012217	1.0	0
124	10012317	4.0	0
125	10012417	16.0	0
126	10012517	4.0	0
127	10012617	0.0	0
128	10012717	0.0	0
129	10012817	0.0	0
130	10012917	1.0	0
131	10013017	7.0	0
132	10013117	10.0	0
133	10013217	0.0	0
134	10013317	1.0	0
135	10013417	5.0	0
136	10013517	2.0	0
137	10013617	4.0	0
138	10013717	0.0	0
139	10013817	16.0	0
140	10013917	25.0	0
141	10014017	1.0	0
142	10014117	0.0	0
143	10014217	0.0	0
144	10014317	0.0	0
145	10014417	3.0	0
146	10014517	0.0	0
147	10014617	0.0	0
148	10014717	3.0	0
149	10014817	4.0	0
150	10014917	0.0	0
151	10015017	1.0	0
152	10015117	8.0	0
153	10015217	4.0	0
154	10015317	0.0	0
155	10015417	2.0	0
156	10015517	9.0	0
157	10015617	9.0	0
158	10015717	6.0	0
159	10015817	1.0	0
160	10015917	0.0	0
161	10016017	0.0	0
162	10016117	0.0	0
163	10016217	2.0	0
164	10016317	6.0	0
165	10016417	8.0	0
166	10016517	1.0	0
167	10016617	5.0	0
168	10016717	0.0	0
169	10016817	0.0	0
170	10016917	3.0	0
171	10017017	0.0	0
172	10017117	16.0	0
173	10017217	12.0	0
174	10017317	1.0	0
175	10017417	0.0	0
176	10017517	2.0	0
177	10017617	1.0	0
178	10017717	0.0	0
179	10017817	1.0	0
180	10017917	7.0	0
181	10018017	3.0	0
182	10018117	7.0	0
183	10018217	9.0	0
184	10018317	0.0	0
185	10018417	17.0	0
186	10018517	3.0	0
187	10018617	34.0	0
188	10018717	8.0	0
189	10018817	13.0	0
190	10018917	1.0	0
191	10019017	0.0	0
192	10019117	0.0	0
193	10019217	0.0	0
194	10019317	0.0	0
195	10019417	0.0	0
196	10019517	0.0	0
197	10019617	0.0	0
198	10019717	0.0	0
199	10019817	0.0	0
200	10019917	0.0	0
201	10020017	2.0	0
202	10020117	4.0	0
203	10020217	0.0	0
204	10020317	0.0	0
205	10020417	2.0	0
206	10020517	23.0	0
207	10020617	17.0	0
208	10020717	7.0	0
209	10020817	0.0	0
210	10020917	0.0	0
211	10021017	0.0	0
212	10021117	1.0	0
213	10021217	8.0	0
214	10021317	5.0	0
215	10021417	2.0	0
216	10021517	5.0	0
217	10021617	0.0	0
218	10021717	4.0	0
219	10021817	12.0	0
220	10021917	4.0	0
221	10022017	0.0	0
222	10022117	0.0	0
223	10022217	0.0	0
224	10022317	0.0	0
225	10022417	1.0	0
226	10022517	0.0	0
227	10022617	0.0	0
228	10022717	1.0	0
229	10022817	0.0	0
230	10022917	6.0	0
231	10023017	0.0	0
232	10023117	2.0	0
233	10023217	1.0	0
234	10023317	0.0	0
235	10023417	0.0	0
236	10023517	1.0	0
237	10023617	1.0	0
238	10023717	6.0	0
239	10023817	0.0	0
240	10023917	0.0	0
241	10024017	2.0	0
242	10024117	0.0	0
243	10024217	2.0	0
244	10024317	10.0	0
245	10024417	0.0	0
246	10024517	1.0	0
247	10024617	0.0	0
248	10024717	0.0	0
249	10024817	17.0	0
250	10024917	5.0	0
251	10025017	4.0	0
252	10025117	9.0	0
253	10025217	0.0	0
254	10025317	6.0	0
255	10025417	4.0	0
256	10025517	5.0	0
257	10025617	2.0	0
258	10025717	12.0	0
259	10025817	5.0	0
260	10025917	3.0	0
261	10026017	15.0	0
262	10026117	1.0	0
263	10026217	20.0	0
264	10026317	5.0	0
265	10026417	0.0	0
266	10026517	9.0	0
267	10026617	16.0	0
268	10026717	10.0	0
