	count	mean	std	min	25%	50%	75%	max	mode	ATACseq_overlap	ATACseq_ranges_overlap	ATACseq_Jaccard	DNAseq_overlap	DNAseq_ranges_overlap	DNAseq_Jaccard	genes_overlap	percentage_open	percentage_open_adj	model_name
Length	15211.0	152.29767931102492	119.94607491746102	100.0	100.0	100.0	200.0	2600.0	100.0	0.8122102744660894	0.02579081412414746	0.025637933860678832	0.7307460169162209	0.03815203315203315	0.03762313944608427	0.5832793749460417	0.12685558324737478	0.15179163070248153	test run
Length	13788.0	129.58043225993617	114.23334183370565	5.0	80.0	95.0	140.0	1985.0	95.0	0.7955302402088062	0.032753945221657234	0.03248050725538604	0.7072071699641997	0.04787493948188094	0.04694446090925256	0.5952380286065301	0.09783612280360805	0.1170678045207382	k-means 5 features n_clusters=2, threshold=1
Length	12836.0	128.96657837332504	111.38469283691258	5.0	80.0	95.0	140.0	1985.0	95.0	0.7831051780155245	0.03479852484120296	0.03446633599980854	0.697095469991484	0.050931639498252704	0.04982887631637581	0.5971481471413512	0.09064950157189543	0.10846850657832532	k-means 5 features n_clusters=2, threshold=1.5
Length	13167.0	128.6583883952305	113.48782740357382	5.0	80.0	95.0	140.0	1985.0	95.0	0.7897935047103765	0.034295428988013896	0.033985216799219425	0.7001463426733582	0.049988046362404774	0.048940306719250634	0.5969463621096252	0.09276485648031556	0.11099967755908889	k-means 5 features n_clusters=2, threshold=2
Length	12863.0	128.9842960429138	111.55240870144318	5.0	80.0	95.0	135.0	1985.0	95.0	0.7875368741588613	0.03491720033150004	0.03459134893841125	0.6930276397489851	0.050521208468319145	0.04941538791677892	0.5968995705567693	0.09085265887736368	0.10871159858812685	k-means 5 features n_clusters=2, threshold=2.5
0																			k-means 5 features n_clusters=2, threshold=3
Length	23857.0	193.54642243366726	188.69313726752034	5.0	95.0	125.0	230.0	5100.0	95.0	0.9194138198230041	0.014647303255030875	0.014628522731819789	0.8782544708926903	0.023004970073224607	0.02293184046671943	0.561654874771437	0.2528479943637264	0.30255041521884407	k-means 5 features n_clusters=4, threshold=1
Length	16265.0	130.43682754380572	128.7465397746813	5.0	60.0	100.0	155.0	2095.0	95.0	0.8304944195973409	0.02879585964068808	0.02862760681229452	0.7494315785992444	0.0427247938422525	0.04212307393460823	0.5918762417189278	0.11617503967727887	0.1390116088556519	k-means 5 features n_clusters=4, threshold=1.5
Length	8931.0	114.7676631956108	102.69923302407113	5.0	65.0	95.0	125.0	1480.0	95.0	0.7271244273460121	0.05218392374559752	0.051181603405727694	0.6254454356795013	0.07380267124557313	0.07067884278309097	0.6122752417096752	0.05612781847221216	0.06716088386158013	k-means 5 features n_clusters=4, threshold=2
Length	6451.0	102.68950550302279	95.92862097625816	5.0	55.0	80.0	115.0	1465.0	70.0	0.6608121151153464	0.07337912295267568	0.07071563759726855	0.5537044539433976	0.10109442222054495	0.0934775113793551	0.6300973658389313	0.03627535229311207	0.04340601129191871	k-means 5 features n_clusters=4, threshold=2.5
Length	1674.0	103.56033452807647	89.0109042065659	5.0	55.0	85.0	120.0	935.0	65.0	0.4601487201098408	0.19525265343793263	0.1588617931966659	0.37281829531455407	0.26010613751730505	0.18093468744106542	0.6909956160590678	0.009493086381664894	0.011359145773367088	k-means 5 features n_clusters=4, threshold=3
Length	20265.0	156.67530224525044	147.14940458754327	5.0	90.0	110.0	180.0	2265.0	95.0	0.8758717255067223	0.02029275360036535	0.02023456137199308	0.8193453439052824	0.03121203770049055	0.030998709677419356	0.5745737435138306	0.17386240533540367	0.2080386006523122	k-means 5 features n_clusters=8, threshold=1
Length	17326.0	135.09725268382778	128.08817560165247	5.0	75.0	100.0	155.0	2095.0	95.0	0.8361224018161798	0.026276810947175946	0.026142174051641695	0.7598988003207964	0.039265688182356095	0.03878450544048174	0.5869325136337712	0.1281750105452879	0.15337041829713588	k-means 5 features n_clusters=8, threshold=1.5
Length	10866.0	121.2355052457206	105.64374936653233	5.0	75.0	95.0	130.0	1580.0	95.0	0.7584589660281943	0.04235261074357894	0.0417889721693969	0.6599971888977999	0.06059612326307839	0.058761781654039696	0.6036778520433144	0.07213699745878138	0.08631699289810953	k-means 5 features n_clusters=8, threshold=2
Length	5110.0	108.29843444227006	94.57353452559046	5.0	65.0	90.0	115.0	1265.0	95.0	0.6287570859558733	0.08357712705884479	0.07964677965401212	0.5260233652200514	0.11496462807527941	0.10417335263257861	0.6389027927105827	0.030304115534409672	0.03626100638388448	k-means 5 features n_clusters=8, threshold=2.5
Length	2771.0	99.96210754240346	87.98459625048986	5.0	55.0	85.0	110.0	1080.0	95.0	0.5186443903698971	0.13773533818299968	0.1221239164671387	0.42627884480235473	0.18613332370620408	0.14884550761289428	0.6711529088972725	0.015168074886301727	0.01814966880187942	k-means 5 features n_clusters=8, threshold=3
Length	21451.0	173.05113980700202	161.05997998105545	5.0	95.0	115.0	200.0	2550.0	95.0	0.8960726471907668	0.017756969063500102	0.017720474277272892	0.8456456853715202	0.027552988588730967	0.027415112460125728	0.5684686917448789	0.2032733953570944	0.24323091952140885	k-means 5 features n_clusters=16, threshold=1
Length	16298.0	140.90992759847833	125.48714813249448	5.0	85.0	95.0	155.0	2105.0	95.0	0.8291078152825546	0.026557227145065424	0.026412647929666744	0.7519781064746298	0.039603318020509024	0.03909268151785392	0.5866264614312774	0.12575765764774177	0.15047788547430888	k-means 5 features n_clusters=16, threshold=1.5
Length	10138.0	119.9127046754784	104.37769087376608	5.0	75.0	95.0	125.0	1495.0	95.0	0.7451230951183372	0.045087708474715694	0.04440289560151131	0.6446105383260713	0.06413309478273387	0.0619429090802195	0.606157073230921	0.06656961113884674	0.07965522345430338	k-means 5 features n_clusters=16, threshold=2
Length	6123.0	109.51331046872448	94.54316789396158	5.0	65.0	90.0	115.0	1465.0	95.0	0.6596294231997933	0.07236298560882858	0.06975824769835018	0.5517697541939165	0.09952427112072179	0.09207975572704456	0.6280128252926702	0.03671890328348751	0.043936751259409906	k-means 5 features n_clusters=16, threshold=2.5
Length	3293.0	105.14728211357425	87.71623787215447	5.0	65.0	90.0	110.0	1115.0	95.0	0.550006117371977	0.11684909747292418	0.1066529239334444	0.45605172428048185	0.15930397111913358	0.13386807106106202	0.6640231046931407	0.018960435854011706	0.02268749552392913	k-means 5 features n_clusters=16, threshold=3
Length	23213.0	180.81686985740748	170.66960256423798	5.0	95.0	115.0	210.0	5100.0	95.0	0.9059284131537092	0.015877103911036184	0.015850970762248045	0.8579731953137273	0.02472326270542363	0.02462249198003075	0.5637745389776575	0.22984166160553082	0.27502171938650916	k-means 5 features n_clusters=32, threshold=1
Length	18187.0	149.49331940396988	132.6855495973106	5.0	95.0	95.0	165.0	2120.0	95.0	0.8469297589755441	0.02291459393453446	0.02282008501535661	0.781031674507437	0.034744660856580116	0.034409480282619254	0.578636070228609	0.14888172307622216	0.17814745673011367	k-means 5 features n_clusters=32, threshold=1.5
Length	11511.0	124.44705064720702	106.8347235913741	5.0	80.0	95.0	130.0	1985.0	95.0	0.7650929160832506	0.039288381931016185	0.038820104980721346	0.6658756996750697	0.056220898981507984	0.054678387586036464	0.6003588107587382	0.07844336163243411	0.0938630013371371	k-means 5 features n_clusters=32, threshold=2
Length	6063.0	112.32723074385618	94.07348536646457	5.0	70.0	95.0	115.0	1455.0	95.0	0.6574951400878183	0.07101785504522495	0.06848428639192337	0.5528859271263095	0.0981895336544109	0.09096634825973517	0.6260557382826266	0.037293329195714466	0.04462409227903739	k-means 5 features n_clusters=32, threshold=2.5
Length	3320.0	105.11596385542168	87.24859351057681	5.0	65.0	90.0	110.0	1110.0	95.0	0.5493264093745327	0.11579007693740419	0.10574479833148845	0.45664701651109146	0.15826181641044745	0.1331820604143206	0.6620571084717108	0.019110202762490328	0.022866702167273382	k-means 5 features n_clusters=32, threshold=3
Length	23213.0	180.81686985740748	170.66960256423798	5.0	95.0	115.0	210.0	5100.0	95.0	0.9059284131537092	0.015877103911036184	0.015850970762248045	0.8579731953137273	0.02472326270542363	0.02462249198003075	0.5637745389776575	0.22984166160553082	0.27502171938650916	k-means 5 features n_clusters=64, threshold=1
Length	18187.0	149.49331940396988	132.6855495973106	5.0	95.0	95.0	165.0	2120.0	95.0	0.8469297589755441	0.02291459393453446	0.02282008501535661	0.781031674507437	0.034744660856580116	0.034409480282619254	0.578636070228609	0.14888172307622216	0.17814745673011367	k-means 5 features n_clusters=64, threshold=1.5
Length	11511.0	124.44705064720702	106.8347235913741	5.0	80.0	95.0	130.0	1985.0	95.0	0.7650929160832506	0.039288381931016185	0.038820104980721346	0.6658756996750697	0.056220898981507984	0.054678387586036464	0.6003588107587382	0.07844336163243411	0.0938630013371371	k-means 5 features n_clusters=64, threshold=2
Length	6063.0	112.32723074385618	94.07348536646457	5.0	70.0	95.0	115.0	1455.0	95.0	0.6574951400878183	0.07101785504522495	0.06848428639192337	0.5528859271263095	0.0981895336544109	0.09096634825973517	0.6260557382826266	0.037293329195714466	0.04462409227903739	k-means 5 features n_clusters=64, threshold=2.5
Length	3210.0	106.06386292834891	88.18844717450989	5.0	65.0	90.0	110.0	1120.0	95.0	0.5447723657916559	0.11770372872395107	0.10716348622283074	0.45127285054031036	0.16031310119982964	0.1341606998448995	0.6622883409454716	0.018643652831873202	0.022308442349615976	k-means 5 features n_clusters=64, threshold=3
Length	23213.0	180.81686985740748	170.66960256423798	5.0	95.0	115.0	210.0	5100.0	95.0	0.9059284131537092	0.015877103911036184	0.015850970762248045	0.8579731953137273	0.02472326270542363	0.02462249198003075	0.5637745389776575	0.22984166160553082	0.27502171938650916	k-means 5 features n_clusters=128, threshold=1
Length	18187.0	149.49331940396988	132.6855495973106	5.0	95.0	95.0	165.0	2120.0	95.0	0.8469297589755441	0.02291459393453446	0.02282008501535661	0.781031674507437	0.034744660856580116	0.034409480282619254	0.578636070228609	0.14888172307622216	0.17814745673011367	k-means 5 features n_clusters=128, threshold=1.5
Length	11511.0	124.44705064720702	106.8347235913741	5.0	80.0	95.0	130.0	1985.0	95.0	0.7650929160832506	0.039288381931016185	0.038820104980721346	0.6658756996750697	0.056220898981507984	0.054678387586036464	0.6003588107587382	0.07844336163243411	0.0938630013371371	k-means 5 features n_clusters=128, threshold=2
Length	6063.0	112.32723074385618	94.07348536646457	5.0	70.0	95.0	115.0	1455.0	95.0	0.6574951400878183	0.07101785504522495	0.06848428639192337	0.5528859271263095	0.0981895336544109	0.09096634825973517	0.6260557382826266	0.037293329195714466	0.04462409227903739	k-means 5 features n_clusters=128, threshold=2.5
Length	3210.0	106.06386292834891	88.18844717450989	5.0	65.0	90.0	110.0	1120.0	95.0	0.5447723657916559	0.11770372872395107	0.10716348622283074	0.45127285054031036	0.16031310119982964	0.1341606998448995	0.6622883409454716	0.018643652831873202	0.022308442349615976	k-means 5 features n_clusters=128, threshold=3
Length	23213.0	180.81686985740748	170.66960256423798	5.0	95.0	115.0	210.0	5100.0	95.0	0.9059284131537092	0.015877103911036184	0.015850970762248045	0.8579731953137273	0.02472326270542363	0.02462249198003075	0.5637745389776575	0.22984166160553082	0.27502171938650916	k-means 5 features n_clusters=256, threshold=1
