Chromosome	Start	End
3	3298196	3298381
3	3302836	3302926
3	3309236	3309311
3	3342761	3342861
3	3347781	3347861
3	3347991	3348096
3	3349761	3349861
3	3494536	3494636
3	3507596	3508346
3	3863786	3863866
3	3913236	3913341
3	3937026	3937111
3	3962781	3962856
3	4201271	4201366
3	4278156	4278246
3	4280501	4280596
3	4546136	4546461
3	4557951	4558046
3	4649961	4650061
3	4689656	4689736
3	4736206	4736281
3	4739011	4739126
3	4739296	4739376
3	4764591	4764676
3	4765226	4765371
3	4776571	4776671
3	4796151	4796251
3	4796891	4796986
3	5019686	5019771
3	5092156	5092251
3	5112881	5112961
3	5148451	5148531
3	5210221	5210611
3	5210726	5210806
3	5210916	5211041
3	5211206	5211296
3	5211351	5211651
3	5211716	5211806
3	5212006	5212096
3	5214776	5214926
3	5215321	5215646
3	5218331	5218421
3	5218496	5218771
3	5219271	5219456
3	5219566	5219781
3	5221516	5221726
3	5222361	5222441
3	5222956	5223056
3	5223171	5223276
3	5236531	5236706
3	5237446	5237691
3	5237926	5238206
3	5251711	5251786
3	5326611	5326701
3	5326816	5326911
3	5327081	5327216
3	5329336	5329446
3	5349126	5349206
3	5349736	5349961
3	5350096	5350211
3	5386586	5386676
3	5387811	5388041
3	5388471	5388596
3	5403876	5403971
3	5446451	5446541
3	5485686	5485781
3	5486276	5486351
3	5511676	5511771
3	5525231	5525336
3	5526171	5526266
3	5526941	5527036
3	5545531	5545611
3	5565226	5565326
3	5565421	5565546
3	5575746	5575856
3	5575961	5576726
3	5754766	5755361
3	5811336	5811436
3	5842881	5842956
3	5860306	5860866
3	5903286	5903396
3	6128246	6128331
3	6132186	6132261
3	6135356	6135431
3	6136036	6136241
3	6137426	6137756
3	6198376	6198501
3	6227261	6227341
3	6264046	6264146
3	6332916	6333001
3	6380366	6380441
3	6512051	6512146
3	6547556	6547631
3	6696331	6696591
3	6746761	6746836
3	6771631	6771726
3	6805811	6805896
3	6813661	6813736
3	6859486	6859581
3	6866046	6866136
3	6985171	6985266
3	7011586	7011686
3	7014641	7014726
3	7027956	7028141
3	7061016	7061111
3	7267956	7268036
3	7337056	7337141
3	7365731	7365826
3	7365921	7366016
3	7366276	7366361
3	7366571	7366791
3	7367056	7367156
3	7367421	7367571
3	7396351	7396426
3	7454226	7454321
3	7458501	7458626
3	7503336	7503466
3	7503656	7503776
3	7504041	7504146
3	7514696	7514786
3	7515156	7515246
3	7612001	7612091
3	7612731	7613461
3	7614581	7614676
3	7614731	7614821
3	7667941	7668021
3	7781061	7781141
3	7796091	7796166
3	7888881	7888981
3	7893791	7893896
3	8006831	8006926
3	8017101	8017296
3	8022961	8023061
3	8034841	8034916
3	8036246	8036331
3	8036796	8036906
3	8037516	8037616
3	8087461	8087556
3	8174646	8174761
3	8175116	8175196
3	8206801	8206881
3	8214146	8214266
3	8215896	8215996
3	8216116	8216291
3	8217336	8217446
3	8224871	8224981
3	8230111	8230201
3	8245271	8245351
3	8246236	8246496
3	8255046	8255131
3	8284906	8284991
3	8285171	8285326
3	8310876	8311046
3	8350086	8350181
3	8367756	8367836
3	8461971	8462056
3	8462196	8462311
3	8462646	8462866
3	8462956	8463051
3	8488566	8488651
3	8508121	8508261
3	8509181	8509796
3	8510286	8510361
3	8510491	8510616
3	8510906	8511001
3	8511131	8511451
3	8511551	8511846
3	8512801	8512896
3	8513596	8513676
3	8529671	8529911
3	8545541	8545636
3	8549706	8549796
3	8551601	8551676
3	8552686	8552786
3	8554941	8555116
3	8561756	8561856
3	8563211	8563381
3	8563986	8564066
3	8564541	8564661
3	8594756	8594966
3	8598841	8598936
3	8599061	8599161
3	8600156	8600246
3	8607476	8607591
3	8615766	8615861
3	8616271	8616351
3	8618866	8618956
3	8625186	8625331
3	8629416	8629491
3	8629651	8629731
3	8631046	8631166
3	8631261	8631356
3	8631491	8631641
3	8632096	8632186
3	8632626	8632701
3	8633886	8633976
3	8634191	8634286
3	8634391	8634516
3	8635486	8635561
3	8635711	8635786
3	8636076	8636171
3	8639241	8639431
3	8650366	8650486
3	8658156	8658256
3	8662296	8662401
3	8662671	8662751
3	8663866	8663951
3	8664596	8664871
3	8664931	8665056
3	8665131	8665221
3	8665421	8665541
3	8665636	8665741
3	8666211	8666361
3	8666491	8666971
3	8667456	8667766
3	8667871	8668196
3	8668621	8668741
3	8673536	8673616
3	8677126	8677281
3	8685146	8685576
3	8690301	8690396
3	8698391	8698561
3	8698721	8698821
3	8699116	8699226
3	8699346	8699466
3	8703536	8703621
3	8705811	8705931
3	8709116	8709226
3	8712631	8712771
3	8712831	8712956
3	8714586	8714666
3	8716031	8716121
3	8716586	8716941
3	8717271	8718076
3	8718586	8718691
3	8718821	8718916
3	8719356	8719461
3	8720831	8720956
3	8722956	8723041
3	8723226	8723366
3	8723456	8723536
3	8723671	8723991
3	8726056	8726166
3	8731121	8731211
3	8731411	8731661
3	8734916	8735066
3	8736166	8736601
3	8736811	8737001
3	8737456	8737571
3	8738251	8738346
3	8738411	8738486
3	8738966	8739056
3	8739351	8739646
3	8743806	8743946
3	8745181	8745261
3	8750551	8750631
3	8753406	8753646
3	8755961	8756341
3	8762111	8762191
3	8766161	8766301
3	8766621	8767231
3	8767551	8767691
3	8767761	8767861
3	8768066	8768181
3	8769831	8769926
3	8770041	8770146
3	8773101	8773191
3	8777541	8777621
3	8782051	8782201
3	8794996	8795086
3	8804431	8804556
3	8806616	8806711
3	8817691	8817786
3	8819401	8819516
3	8824446	8824561
3	8826221	8826331
3	8826641	8826731
3	8830996	8831131
3	8841826	8841946
3	8842631	8842721
3	8846776	8846891
3	8848131	8848216
3	8850831	8851111
3	8855631	8855741
3	8857216	8857381
3	8862996	8863361
3	8863436	8863561
3	8866046	8866156
3	8866231	8866601
3	8866896	8867026
3	8867166	8867251
3	8881321	8881516
3	8887681	8887801
3	8888056	8888151
3	8891301	8891456
3	8902386	8902526
3	8904836	8904911
3	8913906	8914081
3	8919716	8919811
3	8922456	8922586
3	8923151	8923261
3	8923381	8923566
3	8923711	8924051
3	8936656	8936776
3	8938186	8938421
3	8939731	8939831
3	8941366	8941461
3	8944221	8944326
3	8944501	8944591
3	8944986	8945241
3	8947866	8947956
3	8948591	8948701
3	8949471	8949551
3	8951886	8951966
3	8952446	8952546
3	8953251	8953331
3	8953616	8953786
3	8954086	8954191
3	8954281	8954461
3	8956256	8956366
3	8956801	8956931
3	8957146	8957311
3	8957746	8957951
3	8959126	8959306
3	8961901	8962036
3	8962601	8962806
3	8963926	8964501
3	8964916	8965016
3	8966926	8967021
3	8967286	8967371
3	8968756	8968976
3	8969046	8969146
3	8969781	8969856
3	8970746	8970981
3	8971756	8971911
3	8974426	8974506
3	8974816	8974906
3	8976096	8976271
3	8977616	8977701
3	8977876	8977971
3	8978616	8978701
3	8981831	8982006
3	8982381	8982481
3	8982586	8982736
3	8983341	8983426
3	8985816	8985931
3	8985986	8986101
3	8990731	8990906
3	8993031	8993286
3	8996216	8996306
3	9000476	9000561
3	9001306	9001401
3	9001696	9001991
3	9003266	9003366
3	9003711	9004316
3	9004566	9004691
3	9007141	9007236
3	9014881	9014981
3	9018291	9018381
3	9019761	9019846
3	9019921	9020001
3	9022466	9022561
3	9026486	9026571
3	9027496	9027706
3	9027946	9028046
3	9028536	9028616
3	9033611	9034231
3	9034581	9034726
3	9036806	9036901
3	9037996	9038091
3	9038176	9038286
3	9038391	9038661
3	9047616	9047726
3	9053821	9054056
3	9055281	9055396
3	9055486	9055566
3	9061421	9061506
3	9061686	9061776
3	9061976	9062081
3	9064461	9064571
3	9064816	9065306
3	9066071	9066146
3	9066431	9066551
3	9067166	9067361
3	9071466	9071561
3	9072626	9072721
3	9072876	9073096
3	9076821	9077001
3	9079626	9079741
3	9080171	9080281
3	9082171	9082256
3	9084411	9084596
3	9085366	9085456
3	9086356	9086446
3	9086636	9086726
3	9098181	9098271
3	9100711	9100796
3	9103256	9103361
3	9104591	9104686
3	9105696	9105876
3	9107866	9107956
3	9109786	9110021
3	9110871	9111031
3	9111126	9111221
3	9112306	9112386
3	9115901	9116006
3	9116551	9116641
3	9116876	9116961
3	9120216	9120346
3	9120421	9120616
3	9123321	9123541
3	9124476	9124566
3	9126106	9126211
3	9127926	9128016
3	9128346	9128441
3	9129481	9129586
3	9131851	9132106
3	9132481	9132556
3	9132651	9132726
3	9134176	9134416
3	9142326	9142411
3	9143746	9143846
3	9146171	9146261
3	9146516	9146671
3	9148786	9148926
3	9153821	9153936
3	9154236	9154351
3	9156731	9156821
3	9159196	9159356
3	9160896	9161026
3	9169111	9169276
3	9169846	9169931
3	9173716	9173826
3	9173926	9174131
3	9174231	9174526
3	9179121	9179221
3	9180611	9180706
3	9187766	9187871
3	9189726	9189916
3	9194951	9195081
3	9195536	9195631
3	9195931	9196021
3	9196651	9196746
3	9200331	9200461
3	9205911	9206021
3	9208246	9208341
3	9222981	9223111
3	9238441	9238526
3	9240486	9240586
3	9243166	9243301
3	9243531	9243616
3	9245961	9246056
3	9249776	9250121
3	9251491	9252106
3	9252516	9252601
3	9252996	9253071
3	9254976	9255066
3	9256036	9256156
3	9256556	9256661
3	9256921	9257036
3	9260316	9260396
3	9261601	9261691
3	9271946	9272041
3	9288991	9289066
3	9289411	9289526
3	9293646	9293756
3	9296891	9296966
3	9297461	9297536
3	9298031	9298106
3	9300031	9300116
3	9301841	9301931
3	9302686	9302761
3	9318946	9319061
3	9326541	9326706
3	9331211	9331306
3	9331431	9331526
3	9331826	9332036
3	9334216	9334446
3	9334956	9335066
3	9335856	9336021
3	9340821	9341211
3	9341426	9341546
3	9343536	9343966
3	9346861	9347206
3	9347461	9347826
3	9349126	9349301
3	9349616	9349711
3	9350336	9350426
3	9352376	9352586
3	9352996	9353126
3	9353776	9354031
3	9354721	9354856
3	9355881	9356156
3	9358151	9358496
3	9364551	9364666
3	9366226	9366421
3	9388736	9388811
3	9393576	9393771
3	9397981	9398056
3	9398581	9398721
3	9400586	9400886
3	9401656	9401941
3	9402041	9402191
3	9402276	9402406
3	9402961	9403051
3	9403571	9403666
3	9403846	9403966
3	9407106	9407201
3	9407681	9407771
3	9408876	9408966
3	9422721	9422796
3	9425021	9425136
3	9430941	9431066
3	9431521	9431611
3	9432306	9432396
3	9432561	9432691
3	9433781	9433896
3	9434926	9435026
3	9436431	9436571
3	9438841	9438936
3	9439076	9439226
3	9443646	9443726
3	9446021	9446116
3	9449676	9449986
3	9450641	9450801
3	9452936	9453056
3	9453381	9453491
3	9454686	9454771
3	9454891	9455041
3	9456266	9456356
3	9456551	9456651
3	9460461	9460546
3	9461691	9461881
3	9462731	9462841
3	9466441	9466536
3	9467976	9468056
3	9469521	9469641
3	9469751	9469891
3	9470881	9470976
3	9472626	9472786
3	9473811	9473911
3	9481496	9481596
3	9482086	9482241
3	9483821	9483916
3	9484441	9484666
3	9485736	9485826
3	9487916	9488011
3	9489181	9489286
3	9497041	9497136
3	9500231	9500546
3	9500716	9501016
3	9502731	9502836
3	9503856	9504191
3	9505861	9505951
3	9509196	9509286
3	9513876	9514131
3	9515681	9515786
3	9519991	9520321
3	9520436	9520701
3	9520916	9521046
3	9521156	9521391
3	9522101	9522201
3	9522306	9522421
3	9522886	9523121
3	9523191	9523286
3	9523526	9524051
3	9526336	9526456
3	9526556	9526631
3	9536666	9536761
3	9537046	9537146
3	9537461	9537561
3	9537976	9538121
3	9540356	9540431
3	9540911	9540996
3	9541081	9541161
3	9541626	9541721
3	9541791	9541871
3	9543126	9543201
3	9543591	9543686
3	9544906	9545001
3	9546986	9547181
3	9547456	9547566
3	9548316	9548516
3	9549761	9549931
3	9551676	9551761
3	9552306	9552806
3	9553161	9553311
3	9560656	9560741
3	9561586	9561686
3	9563721	9563836
3	9566156	9566261
3	9568106	9568206
3	9568311	9568446
3	9568536	9568676
3	9574271	9574391
3	9574526	9574981
3	9575271	9575366
3	9575446	9575531
3	9575986	9576081
3	9578071	9578236
3	9580051	9580146
3	9592191	9592286
3	9593456	9593546
3	9594061	9594246
3	9598636	9598736
3	9600756	9600846
3	9603491	9603586
3	9605061	9605151
3	9606171	9606331
3	9606641	9606751
3	9607131	9607281
3	9607831	9608006
3	9608721	9608891
3	9609001	9609141
3	9609276	9609351
3	9610181	9610566
3	9614356	9614451
3	9614946	9615031
3	9615396	9615591
3	9617386	9617486
3	9617946	9618076
3	9619351	9619446
3	9624101	9624321
3	9625161	9625251
3	9629786	9630336
3	9642221	9642376
3	9645181	9645261
3	9648486	9648581
3	9649051	9649151
3	9653996	9654091
3	9654186	9654271
3	9658006	9658106
3	9661251	9661466
3	9662236	9662321
3	9663101	9663231
3	9663616	9663731
3	9671436	9671661
3	9674411	9674501
3	9676546	9676626
3	9679456	9679581
3	9681201	9681281
3	9690846	9690941
3	9692111	9692336
3	9693716	9693811
3	9694016	9694091
3	9694366	9694471
3	9695181	9695301
3	9695956	9696056
3	9696801	9696896
3	9699626	9699761
3	9699976	9700141
3	9701896	9702011
3	9704926	9705316
3	9705456	9705571
3	9706156	9706276
3	9706376	9706471
3	9706971	9707066
3	9707926	9708026
3	9708151	9708246
3	9708641	9708746
3	9709016	9709121
3	9711311	9711416
3	9712051	9712156
3	9712451	9712561
3	9712851	9712996
3	9713206	9713296
3	9713531	9713631
3	9713776	9713986
3	9715596	9715856
3	9716161	9716291
3	9719326	9719436
3	9721796	9721946
3	9723301	9723396
3	9724381	9724506
3	9724866	9725016
3	9725366	9725441
3	9725901	9726001
3	9740571	9740681
3	9749921	9750006
3	9750361	9750461
3	9750836	9751041
3	9751216	9751366
3	9751681	9751811
3	9752276	9752601
3	9754241	9754361
3	9756111	9756221
3	9756541	9756716
3	9757121	9757206
3	9757306	9757506
3	9758051	9758191
3	9758491	9758596
3	9759556	9759821
3	9764446	9764526
3	9765051	9765141
3	9767066	9767176
3	9769981	9770076
3	9775506	9775746
3	9776696	9776826
3	9779746	9779926
3	9782041	9782181
3	9783056	9783461
3	9784311	9784396
3	9794786	9794906
3	9795191	9795286
3	9795511	9795621
3	9796126	9796271
3	9806661	9806946
3	9807046	9807156
3	9814906	9814981
3	9815226	9815316
3	9821046	9821156
3	9821581	9821676
3	9826031	9826106
3	9826346	9826441
3	9826666	9826786
3	9827041	9827121
3	9829191	9829286
3	9830631	9830721
3	9831016	9831101
3	9832761	9833421
3	9833506	9833621
3	9833701	9833846
3	9840031	9840121
3	9841956	9842046
3	9845276	9845396
3	9846626	9846706
3	9853941	9854081
3	9855831	9855916
3	9861371	9861461
3	9862456	9862536
3	9862771	9862866
3	9863731	9863846
3	9864871	9865046
3	9876301	9876571
3	9876666	9876751
3	9885706	9885906
3	9892961	9893036
3	9894821	9894901
3	9903671	9903756
3	9908901	9908976
3	9921676	9921756
3	9929711	9929846
3	9931771	9931856
3	9942976	9943066
3	9943266	9943401
3	9945626	9945706
3	9946986	9947101
3	9947761	9947971
3	9948466	9948556
3	9949321	9949436
3	9958796	9958906
3	9959401	9959496
3	9960276	9960521
3	9960781	9960861
3	9968286	9968431
3	9970411	9970706
3	9970791	9970896
3	9971056	9971166
3	9971321	9971426
3	9971656	9971791
3	9973201	9973301
3	9973836	9973981
3	9974256	9974766
3	9975101	9975241
3	9982706	9982796
3	9983801	9983886
3	10009471	10009811
3	10010666	10010771
3	10012031	10012126
3	10012296	10012666
3	10012756	10013331
3	10013411	10013571
3	10013651	10013771
3	10013886	10014126
3	10017461	10017541
3	10021291	10021461
3	10022526	10022621
3	10041531	10041621
3	10042491	10042591
3	10051781	10051866
3	10054891	10055041
3	10058931	10059011
3	10059851	10059976
3	10064731	10064821
3	10077186	10077261
3	10077461	10077546
3	10081956	10082076
3	10082216	10082501
3	10084696	10084806
3	10085516	10085656
3	10091706	10091911
3	10092681	10092776
3	10097686	10097801
3	10106751	10106856
3	10140356	10140496
3	10142286	10142511
3	10144151	10144231
3	10160876	10160966
3	10174051	10174196
3	10178081	10178231
3	10180221	10180296
3	10210841	10210976
3	10211516	10211616
3	10211716	10211901
3	10213781	10213861
3	10214001	10214091
3	10214246	10214351
3	10215011	10215101
3	10231221	10231346
3	10233201	10233291
3	10237421	10237571
3	10237686	10237771
3	10238016	10238121
3	10239991	10240126
3	10241096	10241251
3	10249116	10249211
3	10249531	10249661
3	10258626	10258706
3	10261841	10261921
3	10273211	10273501
3	10288576	10288651
3	10288981	10289056
3	10290686	10290761
3	10292851	10293081
3	10294616	10294716
3	10296141	10296221
3	10297771	10297996
3	10298156	10298276
3	10300936	10301036
3	10301131	10301346
3	10301986	10302096
3	10307056	10307196
3	10307671	10307906
3	10310701	10310796
3	10315891	10316021
3	10328906	10329006
3	10329801	10329896
3	10330956	10331521
3	10334781	10334876
3	10342401	10342931
3	10344031	10344121
3	10345851	10346206
3	10346886	10346971
3	10350846	10351316
3	10351411	10351561
3	10366731	10367396
3	10368461	10368631
3	10374596	10374671
3	10380836	10380911
3	10381296	10381391
3	10381626	10381706
3	10394616	10394711
3	10402996	10403091
3	10405556	10405636
3	10419956	10420051
3	10437841	10437936
3	10439511	10439641
3	10439951	10440206
3	10440291	10440406
3	10446386	10446746
3	10446821	10446936
3	10452966	10453066
3	10457891	10457981
3	10549966	10550061
3	10602986	10603086
3	10629271	10629361
3	10685221	10685401
3	10746381	10746491
3	10766041	10766156
3	10776416	10776556
3	10776856	10776936
3	10779326	10779576
3	10781866	10781961
3	10785191	10785281
3	10999181	10999256
3	11024091	11024166
3	11024556	11024731
3	11094326	11094406
3	11163031	11163116
3	11200496	11200586
3	11212516	11212651
3	11212971	11213091
3	11323881	11323996
3	11378876	11378971
3	11388056	11388161
3	11415011	11415101
3	11635656	11635761
3	11659226	11659316
3	11763061	11763141
3	11771256	11771356
3	12134286	12134366
