S0_R1	S0_R2	S1_R1	S1_R2	S2_R1	S2_R2	Chromosome	Source	Feature	Start	End	Score	Strand	Frame	gene_type	gene_name	level	mgi_id	havana_gene	transcript_id	transcript_type	transcript_name	transcript_support_level	tag	havana_transcript	exon_number	exon_id	protein_id	ccdsid	ont	total	gene_id
2360.24002110876	2744.60796287896	1928.72457921125	1707.26816520739	931.565149221605	742.877882155259	6	HAVANA	gene	115805504.0	115808747.0	.	-	.	protein_coding	Rpl32	2	MGI:98038	OTTMUSG00000022927.2					ncRNA_host							10415.283759783224	ENSMUSG00000057841
2468.38732102886	2525.98220418245	1807.19827928324	1663.55753247591	635.436413296543	406.083481612094	6	HAVANA	gene	125161714.0	125166467.0	.	-	.	protein_coding	Gapdh	2	MGI:95640	OTTMUSG00000027118.9												9506.645231879098	ENSMUSG00000057666
1858.92576516487	1822.63610944004	1721.83391989599	1669.12146429055	1195.47105088584	812.343596786609	10	HAVANA	gene	81176630.0	81182498.0	.	+	.	protein_coding	Eef2	2	MGI:95288	OTTMUSG00000065058.1					ncRNA_host							9080.3319064639	ENSMUSG00000034994
1939.50331237269	2415.13616390582	1541.3250169193	1447.52223741064	743.744839461943	723.418577814775	17	HAVANA	gene	33951998.0	33956001.0	.	-	.	protein_coding	Rps18	2	MGI:98146	OTTMUSG00000037085.3												8810.650147885168	ENSMUSG00000008668
1664.28240836683	1669.27398816318	1568.95629713712	1331.49887709256	856.574690244102	647.831162712015	10	HAVANA	gene	80292452.0	80294114.0	.	+	.	protein_coding	Rps15	2	MGI:98117	OTTMUSG00000000015.1												7738.417423715807	ENSMUSG00000063457
1198.18351054818	1512.96108862604	1291.45533217951	1017.46775885525	722.493855569969	720.991612908183	10	HAVANA	gene	128548113.0	128549305.0	.	-	.	protein_coding	Rpl41	2	MGI:1915195	OTTMUSG00000042126.1												6463.553158687133	ENSMUSG00000093674
721.151104096456	1048.39592213806	1178.49896705059	1251.97899527996	1035.09084465146	883.6649008797	17	HAVANA	gene	35833920.0	35838306.0	.	-	.	protein_coding	Tubb5	2	MGI:107812	OTTMUSG00000026311.5												6118.780734096227	ENSMUSG00000001525
1300.56057352411	1568.13415717651	926.219297746471	794.778605083353	396.276278770157	337.470347064824	17	HAVANA	gene	24718115.0	24721929.0	.	+	.	protein_coding	Rps2	2	MGI:105110	OTTMUSG00000029228.3					ncRNA_host							5323.439259365425	ENSMUSG00000044533
988.790378559913	1182.22018506644	997.333925247482	847.791766370558	505.015794670941	440.687225800328	10	HAVANA	gene	128624533.0	128626747.0	.	-	.	protein_coding	Rps26	2	MGI:1351628	OTTMUSG00000065011.1												4961.839275715662	ENSMUSG00000025362
1048.23154440619	1284.92062905044	822.254719470444	763.090097147018	429.75879335877	421.86240151076	2	HAVANA	gene	180257376.0	180258445.0	.	+	.	protein_coding	Rps21	2	MGI:1913731	OTTMUSG00000016278.1					ncRNA_host							4770.1181849436225	ENSMUSG00000039001
