Chromosome	Start	End
2	3050261	3050391
2	3104931	3104971
2	3118001	3118096
2	3118221	3118316
2	3134451	3134551
2	3134696	3134796
2	3135111	3135221
2	3137201	3137301
2	3139736	3139801
2	3140721	3140841
2	3158021	3158171
2	3161176	3161271
2	3168901	3168996
2	3170661	3170771
2	3171981	3172046
2	3179221	3179316
2	3180686	3180756
2	3184891	3184981
2	3188996	3189011
2	3191736	3191831
2	3195621	3195701
2	3195756	3195811
2	3200126	3200206
2	3220326	3220346
2	3224116	3224176
2	3224841	3224936
2	3228546	3228661
2	3228751	3228856
2	3229186	3229341
2	3243671	3243731
2	3248911	3248986
2	3249191	3249211
2	3263646	3263741
2	3267741	3267781
2	3283621	3283986
2	3284606	3284741
2	3284821	3284991
2	3285426	3285466
2	3327471	3327596
2	3331971	3332066
2	3332276	3332676
2	3332686	3332866
2	3332931	3333126
2	3335821	3335921
2	3336026	3336266
2	3339926	3340011
2	3349106	3349236
2	3414416	3414466
2	3416576	3416686
2	3418746	3418821
2	3418976	3419206
2	3423956	3424271
2	3424346	3424581
2	3424726	3424796
2	3431206	3431286
2	3435456	3435491
2	3435501	3435546
2	3435921	3435986
2	3443931	3444056
2	3444341	3444451
2	3449736	3449826
2	3474551	3474701
2	3475186	3475296
2	3475716	3475801
2	3499101	3499131
2	3512126	3512236
2	3512326	3512421
2	3512506	3513336
2	3525886	3525961
2	3527796	3527871
2	3531306	3531376
2	3536161	3536221
2	3546741	3546881
2	3570351	3570551
2	3573491	3573516
2	3589091	3589146
2	3608086	3608161
2	3609091	3609171
2	3633176	3633401
2	3658851	3658936
2	3664406	3664501
2	3668796	3668896
2	3680396	3680476
2	3683516	3683586
2	3684011	3684121
2	3684166	3684176
2	3684181	3684241
2	3700481	3700576
2	3713296	3713461
2	3713486	3713751
2	3713946	3714111
2	3715771	3715881
2	3726826	3726901
2	3730916	3730986
2	3731116	3731186
2	3731811	3731871
2	3737631	3737661
2	3738416	3738461
2	3740366	3740441
2	3742496	3742621
2	3746251	3746351
2	3748311	3748396
2	3748911	3748991
2	3749356	3749491
2	3753526	3753671
2	3753756	3753796
2	3753956	3754061
2	3755846	3755921
2	3759681	3759696
2	3762776	3762856
2	3764101	3764196
2	3769396	3769491
2	3770416	3770541
2	3771931	3771946
2	3772336	3772431
2	3787931	3788251
2	3795286	3795341
2	3795516	3795561
2	3799401	3799501
2	3799996	3800076
2	3800146	3800261
2	3800451	3800491
2	3803056	3803151
2	3811076	3811146
2	3816276	3816321
2	3816656	3816736
2	3820131	3820191
2	3822671	3822751
2	3823456	3823556
2	3840141	3840191
2	3865186	3865306
2	3871876	3871976
2	3872321	3872326
2	3873436	3873506
2	3873846	3873906
2	3887151	3887246
2	3887851	3888106
2	3888176	3888291
2	3910061	3910151
2	3911621	3911681
2	3915146	3915211
2	3927646	3927731
2	3972131	3972191
2	3981651	3981726
2	4018046	4018131
2	4018421	4018801
2	4018806	4018891
2	4019326	4019426
2	4027791	4027816
2	4040711	4040746
2	4042161	4042366
2	4045271	4045336
2	4057881	4057976
2	4060726	4060811
2	4071776	4072006
2	4082091	4082156
2	4082721	4082786
2	4087716	4087781
2	4087891	4088021
2	4089536	4089606
2	4106166	4106261
2	4119811	4119856
2	4147111	4147126
2	4148791	4148816
2	4152616	4152711
2	4152856	4153086
2	4153221	4153561
2	4154231	4154331
2	4154396	4154621
2	4154636	4154651
2	4163041	4163136
2	4167331	4167446
2	4178356	4178411
2	4185361	4185446
2	4209371	4209716
2	4221871	4221976
2	4222286	4222451
2	4227361	4227446
2	4227811	4227896
2	4228586	4228841
2	4230436	4230481
2	4232756	4233261
2	4237751	4237811
2	4237936	4238026
2	4248261	4248341
2	4249791	4249861
2	4252746	4252771
2	4253136	4253266
2	4253536	4253676
2	4260756	4261006
2	4267041	4267081
2	4281221	4281306
2	4282956	4283051
2	4285226	4285231
2	4286331	4286641
2	4286906	4287011
2	4296246	4296296
2	4297181	4297286
2	4297791	4297861
2	4298326	4298416
2	4298616	4298691
2	4298906	4299081
2	4300391	4300486
2	4300561	4300651
2	4301361	4301516
2	4313746	4313771
2	4316731	4316796
2	4318481	4318531
2	4328046	4328081
2	4332976	4333031
2	4334346	4334526
2	4340121	4340191
2	4341936	4342021
2	4344541	4344591
2	4347891	4347946
2	4352171	4352246
2	4366421	4366486
2	4367996	4368041
2	4370641	4370701
2	4371366	4371611
2	4386716	4386766
2	4389421	4389486
2	4389536	4389636
2	4391636	4391716
2	4391931	4392031
2	4400976	4401031
2	4401461	4401711
2	4401956	4402101
2	4402196	4402306
2	4402381	4402606
2	4406696	4406761
2	4407046	4407216
2	4407316	4407406
2	4413071	4413096
2	4413371	4413396
2	4413821	4413896
2	4414031	4414106
2	4414261	4414346
2	4419576	4419631
2	4420751	4421041
2	4433251	4433361
2	4433621	4433691
2	4435671	4435716
2	4436431	4436561
2	4436626	4436641
2	4436931	4437286
2	4439306	4439331
2	4440091	4440181
2	4440856	4440951
2	4441796	4441831
2	4445871	4445901
2	4452511	4452586
2	4452806	4452916
2	4453066	4453181
2	4455546	4455606
2	4458691	4458776
2	4460896	4460986
2	4461561	4461646
2	4461826	4461896
2	4462041	4462136
2	4462416	4462481
2	4474321	4474396
2	4476231	4476286
2	4477521	4477601
2	4481196	4481371
2	4483766	4483836
2	4485691	4485731
2	4489426	4489486
2	4490286	4490411
2	4490981	4491081
2	4491526	4491591
2	4491666	4491831
2	4492471	4492581
2	4492666	4492781
2	4499416	4499486
2	4500131	4500196
2	4506531	4506626
2	4509986	4510086
2	4510181	4510276
2	4510746	4510811
2	4512296	4512351
2	4512451	4512541
2	4512811	4512901
2	4517641	4517886
2	4523121	4523221
2	4529496	4529511
2	4541956	4542071
2	4542176	4542266
2	4542466	4542561
2	4542641	4542791
2	4542946	4543036
2	4543161	4543296
2	4543571	4543621
2	4551921	4551961
2	4554796	4554866
2	4555291	4555536
2	4556271	4556441
2	4557121	4557276
2	4557561	4557656
2	4558531	4558651
2	4558886	4559141
2	4559351	4559476
2	4559656	4559871
2	4560031	4560111
2	4561321	4561461
2	4562826	4562921
2	4566191	4566241
2	4572346	4572556
2	4574636	4574676
2	4583276	4583361
2	4589331	4589496
2	4592486	4592561
2	4592901	4592931
2	4593591	4593676
2	4595231	4595316
2	4599716	4599776
2	4603731	4603956
2	4604101	4604191
2	4609346	4609471
2	4611311	4611486
2	4620586	4620671
2	4621281	4621356
2	4628376	4628501
2	4634061	4634121
2	4651616	4652171
2	4659026	4659076
2	4669881	4669971
2	4711416	4711506
2	4717451	4717511
2	4721021	4721091
2	4721841	4721886
2	4724726	4724881
2	4725321	4725401
2	4740431	4740556
2	4755376	4755471
2	4760911	4760946
2	4763101	4763171
2	4775856	4775941
2	4782131	4782221
2	4782636	4782686
2	4783281	4783296
2	4785431	4785541
2	4791731	4791771
2	4791806	4791891
2	4792081	4792096
2	4792931	4793016
2	4794211	4794281
2	4800991	4801081
2	4817396	4817486
2	4817861	4817916
2	4824026	4824171
2	4824236	4824386
2	4830346	4830426
2	4834101	4834196
2	4843626	4843701
2	4847316	4847476
2	4848511	4848571
2	4848831	4848886
2	4850061	4850146
2	4857431	4857476
2	4857556	4857636
2	4858151	4858226
2	4858771	4858991
2	4864561	4864676
2	4865756	4865846
2	4870761	4870796
2	4878126	4878146
2	4878331	4878386
2	4879556	4879651
2	4881156	4881291
2	4882511	4882601
2	4883081	4883246
2	4883376	4883506
2	4883806	4883896
2	4891496	4891526
2	4893826	4893876
2	4896101	4896156
2	4905021	4905081
2	4905496	4905511
2	4905531	4905546
2	4906521	4906596
2	4909321	4909416
2	4910146	4910196
2	4913926	4914081
2	4917751	4917891
2	4918776	4919476
2	4923126	4923171
2	4941041	4941146
2	4953506	4953601
2	4973616	4973671
2	4974956	4975051
2	4976596	4976691
2	4978011	4978106
2	4978271	4978326
2	4981496	4981551
2	4982046	4982071
2	4982116	4982236
2	4982941	4982986
2	4984041	4984491
2	4986501	4986586
2	4986821	4986901
2	4991316	4991401
2	4996511	4996516
2	4998411	4998491
2	4999461	4999511
2	4999846	4999921
2	5001256	5001336
2	5001946	5002076
2	5002496	5002576
2	5003516	5003596
2	5003991	5004031
2	5004866	5004951
2	5012091	5012176
2	5012501	5012601
2	5012656	5013011
2	5021521	5021571
2	5021896	5022071
2	5030451	5030516
2	5033461	5033541
2	5033681	5033716
2	5042786	5042856
2	5046026	5046116
2	5059796	5059816
2	5061236	5061296
2	5062866	5062981
2	5063196	5063291
2	5063616	5063691
2	5063746	5063871
2	5063876	5064016
2	5064126	5064201
2	5080156	5080311
2	5080461	5080571
2	5083771	5083781
2	5101731	5101796
2	5111861	5111961
2	5112981	5113046
2	5113221	5113311
2	5116946	5117196
2	5125671	5125746
2	5127661	5127716
2	5127861	5127946
2	5131386	5131446
2	5135506	5135601
2	5135916	5135946
2	5137681	5137736
2	5138081	5138411
2	5140031	5140151
2	5140621	5140696
2	5142641	5142726
2	5150726	5150796
2	5156756	5156836
2	5157461	5157556
2	5158406	5158461
2	5160976	5161061
2	5161226	5161326
