	ranges_bin	norm_signal	pre_signal	post_signal	surround_signal	enrichment_factor1	enrichment_factor2
0	[3005608, 3005998)	39.391304347826086	2.3333333333333335	0.0	2.3333333333333335	16.88198757763975	52.16831641335952
1	[3117998, 3118293)	7.346153846153846	3.142857142857143	2.2	5.342857142857143	1.3749485808309336	9.72896136881849
2	[3336673, 3336773)	4.846153846153846	0.75	2.357142857142857	3.107142857142857	1.559681697612732	6.418058285189161
3	[3383448, 3383543)	7.3	0.5714285714285714	1.1	1.6714285714285715	4.367521367521367	9.667837004197642
4	[3507358, 3507478)	5.636363636363637	2.3	2.5714285714285716	4.871428571428572	1.1570247933884297	7.464581497637034
5	[3976193, 3976283)	4.153846153846154	2.0	0.0	2.0	2.076923076923077	5.501192815876425
6	[4050008, 4050088)	6.0	0.2727272727272727	0.0	0.2727272727272727	22.0	7.94616740071039
7	[4097853, 4097943)	3.857142857142857	1.4285714285714286	1.375	2.803571428571429	1.375796178343949	5.108250471885251
8	[4238923, 4239018)	4.125	1.2857142857142858	0.25	1.5357142857142858	2.686046511627907	5.462990087988393
9	[4244378, 4244543)	2.857142857142857	1.8	1.8571428571428572	3.6571428571428575	0.78125	3.7838892384335194
10	[4276523, 4276628)	3.727272727272727	1.25	1.0	2.25	1.6565656565656566	4.936255506501909
11	[4278508, 4278598)	3.111111111111111	2.4444444444444446	0.14285714285714285	2.5873015873015874	1.2024539877300613	4.120234948516499
12	[4352803, 4352993)	3.7083333333333335	3.4	0.5625	3.9625	0.9358569926393271	4.911172907383506
13	[4353173, 4353688)	3.2	0.1111111111111111	0.4444444444444444	0.5555555555555556	5.76	4.237955947045542
14	[4369273, 4369378)	5.0	4.0	3.5	7.5	0.6666666666666666	6.621806167258659
15	[4370858, 4370933)	3.0	1.25	3.3333333333333335	4.583333333333334	0.6545454545454544	3.973083700355195
16	[4375503, 4375683)	3.6	1.1666666666666667	1.6363636363636365	2.803030303030303	1.2843243243243243	4.767700440426235
17	[4375783, 4376003)	2.176470588235294	1.6363636363636365	0.0	1.6363636363636365	1.330065359477124	2.88243327280671
18	[4401803, 4401913)	5.142857142857143	1.0	1.0	2.0	2.5714285714285716	6.811000629180335
