	Length
count	6127.0
mean	119.12844785376204
std	74.44088679675757
min	75.0
25%	85.0
50%	100.0
75%	130.0
max	3955.0
mode	95.0
ATACseq_overlap	0.15693630174429996
ATACseq_ranges_overlap	0.15692834634881492
ATACseq_Jaccard	0.0851473475362041
DNAseq_overlap	0.17288309427729529
DNAseq_ranges_overlap	0.29283326483079875
DNAseq_Jaccard	0.12196359220807974
genes_overlap	0.7407658583367585
percentage_open	0.007684187494974985
percentage_open_adj	0.007934793499852821
model_name	k-means processed
boxplot_json	"{""mean"":119.1284478538,""iqr"":45.0,""cilo"":99.0974147625,""cihi"":100.9025852375,""whishi"":195,""whislo"":75,""fliers"":[215,235,210,200,225,240,320,210,220,205,240,205,215,200,435,205,225,210,225,210,210,260,500,240,205,270,355,385,215,360,200,205,210,270,260,285,230,205,200,245,200,210,205,315,200,310,210,250,215,460,245,285,205,245,230,240,255,250,340,310,220,225,265,280,210,310,205,235,220,340,205,215,215,230,290,210,210,250,385,315,230,225,245,225,215,245,275,240,210,230,210,235,210,230,215,315,240,210,245,280,200,270,215,265,330,200,345,205,205,215,240,230,240,265,220,265,265,295,235,215,210,300,255,735,245,205,655,410,290,230,285,205,295,290,280,245,335,410,215,265,260,225,210,215,205,200,220,260,295,255,260,345,210,260,215,225,245,275,235,220,240,225,210,245,200,305,215,235,235,225,390,330,215,205,250,210,275,250,240,355,340,305,205,210,210,225,200,265,255,305,205,230,260,405,240,270,360,230,200,310,235,200,345,245,310,205,215,440,285,240,210,220,255,225,300,245,295,305,205,260,245,370,200,245,270,210,225,290,215,245,270,255,205,250,210,240,200,200,250,225,325,230,250,265,380,375,235,200,230,305,370,295,200,205,265,320,265,260,430,210,255,245,365,335,210,255,470,245,210,205,205,305,205,270,220,275,235,220,265,210,245,215,220,320,235,295,200,205,285,265,330,215,335,220,290,270,260,250,275,235,250,240,295,330,265,215,235,215,205,260,390,220,340,535,305,210,270,315,445,245,370,245,330,250,240,285,270,3955,1470,210,200,310,205,390,320,330,450,270,225,220,290,300,255,310,285,230,245,260,255,215,220,290,460,290,280,250,235,245,250,375,285,240,205,210,335,205,205,270,240,215,215,205,240,210,210,225,445,265,360,200,245,220,230,260,225,265,200,270,220,210,285,220,300,265,325,210,240,210,215,245,255,220,315,305,325,220,210,200,265,215,255,295,295,435,220,290,245,210,230,295,220,335,215,315,285,240,300,230,305,285,245,230,210,230,545,210,280,260,255,205,280,335,410,250,280,205,210,215,320,210,260,320,305,210,230,230,230,225,240,210,205,240,210,290,280,240,245,345,305,210,270,430,480,205,235,300,260,210,230,215,380,215,435,240,215,205,275,215,360,210,295],""q1"":85.0,""med"":100.0,""q3"":130.0}"
