Chromosome	Start	End
18	3005613	3005998
18	3010038	3010118
18	3113503	3113578
18	3117953	3118148
18	3118588	3118653
18	3280753	3280873
18	3281153	3281288
18	3336643	3337248
18	3337483	3337613
18	3337758	3337883
18	3337993	3338118
18	3382923	3383248
18	3383428	3383558
18	3383643	3383953
18	3428278	3428328
18	3441328	3441358
18	3444583	3444643
18	3490823	3490883
18	3495593	3495603
18	3497883	3497968
18	3499083	3499218
18	3506898	3507533
18	3507578	3508013
18	3508098	3508173
18	3508313	3508578
18	3508673	3508778
18	3509178	3509268
18	3533793	3533868
18	3542708	3542778
18	3597178	3597228
18	3602578	3602673
18	3616618	3616753
18	3665068	3665103
18	3666873	3666968
18	3667448	3667613
18	3667738	3667833
18	3668748	3668843
18	3760913	3760983
18	3765218	3765293
18	3837883	3837893
18	3839793	3839898
18	3839973	3840048
18	3840748	3840813
18	3900168	3900293
18	3915633	3915708
18	3969988	3970043
18	3976203	3976303
18	3987928	3988023
18	3991068	3991138
18	4050008	4050068
18	4101218	4101313
18	4121828	4121918
18	4122048	4122083
18	4123043	4123158
18	4126003	4126083
18	4147693	4147763
18	4177103	4177198
18	4186653	4186733
18	4186973	4187013
18	4265738	4265833
18	4266393	4266488
18	4278463	4278513
18	4313873	4313928
18	4332158	4332193
18	4333633	4333683
18	4334673	4334743
18	4336673	4336698
18	4352833	4353103
18	4353193	4353698
18	4364013	4364083
18	4369243	4369388
18	4370813	4370923
18	4375493	4375993
18	4401788	4401913
18	4442353	4442423
18	4443403	4443483
18	4505273	4505338
18	4505853	4505948
18	4515668	4515733
18	4518033	4518083
18	4522723	4522778
18	4567638	4567728
18	4592098	4592183
18	4596018	4596093
18	4602633	4602713
18	4617168	4617228
18	4618788	4618823
18	4622043	4622133
18	4623173	4623208
18	4634813	4635053
18	4635183	4635253
18	4635428	4635518
18	4635563	4635783
18	4636373	4636383
18	4636443	4636518
18	4637333	4637413
18	4651393	4651463
18	4652338	4652458
18	4653748	4653863
18	4656603	4656623
18	4656973	4657108
18	4674328	4674403
18	4689733	4689923
18	4705698	4705788
18	4706318	4706358
18	4709643	4709738
18	4710543	4710593
18	4713493	4713608
18	4713793	4713818
18	4743038	4743128
18	4762448	4762518
18	4764418	4764478
18	4774583	4774648
18	4802798	4802873
18	4805958	4806048
18	4813803	4813863
18	4847673	4847683
18	4854218	4854298
18	4863183	4863258
18	4898833	4898903
18	4916278	4916348
18	4918128	4918213
18	4919133	4919193
18	4920173	4920613
18	4920693	4921143
18	4921233	4922063
18	4922183	4922283
18	4922468	4922598
18	4924983	4925078
18	4926673	4926778
18	4939898	4939993
18	4940158	4940348
18	4947828	4947923
18	4957878	4957963
18	4965608	4965678
18	4968178	4968228
18	4971188	4971283
18	4976778	4976843
18	4987783	4987908
18	4989553	4989613
18	4993763	4993923
18	4994468	4994683
18	5004833	5004898
18	5008728	5008773
18	5010088	5010183
18	5013578	5013603
18	5014023	5014118
18	5015063	5015243
18	5015693	5015743
18	5020528	5020623
18	5021758	5021823
18	5028123	5028193
18	5028773	5028883
18	5043728	5043823
18	5048038	5048218
18	5049428	5049523
18	5059608	5059698
18	5059988	5060058
18	5063363	5063458
18	5063528	5063623
18	5064463	5064598
18	5073648	5073743
18	5076673	5076768
18	5082218	5082283
18	5085108	5085203
18	5085548	5085628
18	5090743	5090823
18	5093128	5093183
18	5098563	5098643
18	5103568	5103653
18	5103953	5104053
18	5117043	5117088
18	5124738	5124858
18	5132313	5132378
18	5139083	5139193
18	5143003	5143113
18	5148353	5148428
18	5149303	5149433
18	5149468	5149473
18	5149628	5149763
18	5155563	5155713
18	5159723	5159883
18	5160038	5160298
18	5160708	5160808
18	5162098	5162748
18	5163073	5163308
18	5163373	5163798
18	5166038	5166153
18	5166603	5166678
18	5167323	5167328
18	5181123	5181158
18	5182858	5182923
18	5185333	5185398
18	5186388	5186488
18	5186638	5186808
18	5193518	5193578
18	5196648	5196673
18	5203628	5203698
18	5207848	5207883
18	5213933	5213993
18	5214638	5214703
18	5221388	5221468
18	5228883	5228933
18	5281993	5282058
18	5333888	5333973
18	5334088	5334363
18	5334433	5334648
18	5334728	5335078
18	5351323	5351373
18	5372038	5372128
18	5390263	5390358
18	5397583	5397748
18	5401228	5401248
18	5404548	5404573
18	5405623	5405728
18	5410123	5410183
18	5414168	5414228
18	5414488	5414683
18	5425693	5425763
18	5427788	5428118
18	5428333	5428458
18	5428468	5428503
18	5429113	5429183
18	5432008	5432133
18	5434928	5434968
18	5451848	5451923
18	5452148	5452233
18	5458213	5458273
18	5464478	5464573
18	5472858	5472873
18	5480268	5480348
18	5488073	5488113
18	5505273	5505363
18	5534023	5534083
18	5539673	5539753
18	5567418	5567458
18	5573928	5573973
18	5574283	5574323
18	5583603	5583673
18	5584043	5584098
18	5591143	5591543
18	5591638	5591793
18	5592633	5592778
18	5593093	5593358
18	5593443	5593553
18	5593808	5593898
18	5597283	5597373
18	5618158	5618313
18	5619718	5619803
18	5620118	5620188
18	5712908	5712978
18	5741063	5741123
18	5760158	5760253
18	5760523	5760543
18	5765163	5765243
18	5786808	5786878
18	5803243	5803333
18	5805538	5805573
18	5805918	5806003
18	5806103	5806213
18	5806478	5806663
18	5807278	5807403
18	5809433	5809458
18	5817123	5817168
18	5817273	5817373
18	5818103	5818178
18	5819173	5819223
18	5819738	5820023
