	Length	Length	Length	Length	Length	Length	Length
count	7301.0	6456.0	7301.0	7301.0	7301.0	7301.0	6456.0
mean	188.59060402684563	177.85006195786866	188.59060402684563	188.59060402684563	188.59060402684563	188.59060402684563	177.85006195786866
std	174.99886391625537	157.25795159559408	174.99886391625537	174.99886391625537	174.99886391625537	174.99886391625537	157.25795159559408
min	100.0	100.0	100.0	100.0	100.0	100.0	100.0
25%	100.0	100.0	100.0	100.0	100.0	100.0	100.0
50%	100.0	100.0	100.0	100.0	100.0	100.0	100.0
75%	200.0	200.0	200.0	200.0	200.0	200.0	200.0
max	2400.0	2000.0	2400.0	2400.0	2400.0	2400.0	2000.0
ATACseq_overlap	0.6979494087711421	0.6682757072294566	0.6979494087711421	0.6979494087711421	0.6979494087711421	0.6979494087711421	0.6682757072294566
DNAseq_overlap	0.5953294223826715	0.5538131768953068	0.5953294223826715	0.5953294223826715	0.5953294223826715	0.5953294223826715	0.5538131768953068
genes_overlap	0.544832594959692	0.5508090924925971	0.544832594959692	0.544832594959692	0.544832594959692	0.544832594959692	0.5508090924925971
percentage_open	0.14169145160828905	0.11815681947609666	0.14169145160828905	0.14169145160828905	0.14169145160828905	0.14169145160828905	0.11815681947609666
percentage_open_adj	0.20496921963429168	0.17092429223915587	0.20496921963429168	0.20496921963429168	0.20496921963429168	0.20496921963429168	0.17092429223915587
model_name		k-means 5 features scale=1	k-means 5 features scale=2	k-means 5 features scale=4	k-means 5 features scale=8	k-means 5 features scale=16	k-means 5 features scale=32
min_open_signal	17.0	19.0	17.0	17.0	17.0	17.0	19.0
max_open_signal	393.0	393.0	393.0	393.0	393.0	393.0	393.0
min_closed_signal	0.0	0.0	0.0	0.0	0.0	0.0	0.0
max_closed_signal	16.0	18.0	16.0	16.0	16.0	16.0	18.0
