Chromosome	Start	End
18	3005068	3005313
18	3005588	3006003
18	3010158	3010298
18	3010708	3010803
18	3117968	3118488
18	3118543	3118793
18	3222103	3222193
18	3222378	3222478
18	3257943	3258023
18	3280738	3281068
18	3336653	3337203
18	3337483	3337613
18	3360073	3360268
18	3382673	3382748
18	3382913	3383083
18	3383448	3383548
18	3383793	3383903
18	3441088	3441203
18	3449688	3449783
18	3490833	3490948
18	3498703	3498783
18	3498968	3499288
18	3507083	3507508
18	3507688	3507843
18	3508088	3508178
18	3508293	3508408
18	3508678	3508773
18	3509168	3509243
18	3542683	3542768
18	3896938	3897063
18	3901888	3901968
18	3933888	3933983
18	3976173	3976313
18	4049998	4050098
18	4238908	4239018
18	4244403	4244503
18	4276523	4276613
18	4278508	4278603
18	4352803	4352993
18	4353188	4353318
18	4353388	4353683
18	4369273	4369388
18	4370853	4370938
18	4375508	4375693
18	4375778	4376003
18	4401803	4401903
18	4440918	4441028
18	4504888	4504978
18	4523003	4523093
18	4592078	4592213
18	4634773	4635033
18	4635143	4635258
18	4635603	4635723
18	4656983	4657108
18	4679398	4679503
18	4689748	4689923
18	4709788	4709883
18	4757993	4758168
18	4798043	4798188
18	4812198	4812308
18	4813793	4813888
18	4825883	4825998
18	4880898	4880978
18	4920108	4920608
18	4920713	4920813
18	4921008	4921143
18	4921258	4921378
18	4921468	4922033
18	4939878	4939988
18	4940183	4940408
18	4957903	4957993
18	4959713	4959798
18	4971183	4971298
18	5011488	5011743
18	5012113	5012193
18	5012363	5012478
18	5014023	5014118
18	5015733	5015913
18	5020488	5020568
18	5027403	5027503
18	5027888	5027973
18	5043753	5043908
18	5047993	5048213
18	5054338	5054433
18	5058728	5058843
18	5059818	5059903
18	5063393	5063478
18	5085098	5085183
18	5090803	5090883
18	5098843	5098928
18	5103513	5103643
18	5103953	5104068
18	5104188	5104303
18	5124743	5124843
18	5126428	5126503
18	5139083	5139183
18	5143023	5143143
18	5149688	5149763
18	5155523	5155713
18	5159753	5159833
18	5159923	5160293
18	5162163	5162303
18	5162383	5162753
18	5163103	5163303
18	5163418	5163788
18	5166568	5166658
18	5210618	5210703
18	5334063	5334388
18	5334478	5334603
18	5334778	5334923
18	5334988	5335093
18	5340893	5340968
18	5351263	5351358
18	5368933	5369013
18	5400708	5400783
18	5402468	5402558
18	5427853	5428113
18	5431818	5432128
18	5482803	5482953
18	5487803	5487883
18	5509923	5509998
18	5565013	5565133
18	5591178	5591553
18	5592658	5592738
18	5593138	5593343
18	5609013	5609123
18	5772473	5772563
18	5785188	5785288
18	5817278	5817383
18	5819123	5819373
18	5819748	5820023
18	5829898	5830073
18	5864018	5864098
18	5884588	5884713
18	5910593	5910673
18	5930193	5930293
18	5932298	5932378
18	5932613	5932703
18	5945283	5945398
18	5975518	5975628
18	5978643	5978723
18	5979603	5979683
18	5984833	5984908
18	5986693	5986803
18	5987368	5987588
18	5989638	5990283
18	5990738	5990833
18	6055753	6055858
18	6135403	6135598
18	6135833	6136058
18	6136178	6136328
18	6136703	6136843
18	6144898	6145003
18	6148613	6148693
18	6165978	6166088
18	6194438	6194563
18	6210888	6210988
18	6240678	6240918
18	6241073	6241388
18	6241468	6241588
18	6244418	6244498
18	6275558	6275688
18	6281308	6281408
18	6281593	6281703
18	6284218	6284298
18	6289068	6289153
18	6411163	6411283
18	6431623	6431703
18	6465208	6465308
18	6465593	6465703
18	6481603	6481783
18	6489873	6490058
18	6490523	6490603
18	6490658	6490803
18	6491098	6491218
18	6492528	6492618
18	6496493	6496598
18	6497003	6497108
18	6501273	6501503
18	6516188	6516473
18	6516558	6516638
18	6524833	6524908
18	6556683	6556763
18	6627278	6627383
18	6639333	6639473
18	6721663	6721778
18	6764833	6765293
18	6829223	6829308
18	6884388	6884523
18	6885843	6885918
18	6921888	6921968
18	6942198	6942303
18	6957618	6957693
18	6968333	6968413
18	7000978	7001053
18	7001483	7001673
18	7001758	7002108
18	7002288	7002398
18	7002533	7002623
18	7003418	7003528
18	7003778	7003968
18	7004173	7004423
18	7004528	7004633
18	7004703	7005203
18	7005283	7005423
18	7005903	7006108
18	7028923	7029008
18	7044073	7044178
18	7083183	7083268
18	7088743	7088828
18	7147788	7147893
18	7240818	7240893
18	7297643	7297768
18	7297843	7298088
18	7397963	7398058
18	7416353	7416433
18	7505563	7505648
18	7565493	7565628
18	7581453	7581563
18	7584093	7584203
18	7589168	7589283
18	7616883	7617093
18	7617788	7617878
18	7620843	7620978
18	7625648	7625758
18	7626353	7626438
18	7626498	7626608
18	7626783	7627198
18	7644793	7644903
18	7654428	7654503
18	7693278	7693428
18	7702193	7702318
18	7702643	7702788
18	7708223	7708303
18	7733218	7733298
18	7756878	7757073
18	7770588	7770668
18	7771418	7771508
18	7824813	7824913
18	7868513	7868678
18	7868943	7869103
18	7932478	7932583
18	8124558	8124778
18	8194198	8194318
18	8415713	8415833
18	8466868	8466953
18	8715248	8715328
18	8736588	8736698
18	8870698	8870788
18	8871603	8871683
18	8910288	8910378
18	8911383	8911478
18	8911668	8911923
18	8935693	8935793
18	9190978	9191063
18	9210573	9210663
18	9211558	9211653
18	9211803	9211883
18	9211998	9212223
18	9212278	9212778
18	9212888	9213283
18	9213978	9214108
18	9214198	9214373
18	9214503	9214693
18	9214758	9214873
18	9216618	9216758
18	9231063	9231188
18	9280008	9280098
18	9280588	9280858
18	9282698	9282773
18	9449288	9449573
18	9450188	9450403
18	9495063	9495178
18	9554783	9554898
18	9555058	9555218
18	9572903	9572998
18	9707463	9707698
18	9708008	9708258
18	9708588	9708808
18	9708993	9709093
18	9726248	9726378
18	9726603	9726688
18	9749238	9749333
18	9810508	9810728
18	9817278	9817363
18	9817543	9817678
18	9818988	9819078
18	9830588	9830683
18	9830928	9831038
18	9831163	9831258
18	9832673	9832768
18	9834683	9834773
18	9835008	9835108
18	9845273	9845353
18	9856078	9856153
18	9858638	9858723
18	9858823	9858918
18	9858993	9859123
18	9865853	9865968
18	9866738	9866828
18	9866978	9867098
18	9867393	9867558
18	9867783	9867913
18	9872063	9872138
18	9882168	9882248
18	9932303	9932378
18	9949498	9949598
18	9954808	9954898
