Chromosome	Start	End
18	3005068	3005313
18	3005583	3006003
18	3010133	3010308
18	3010708	3010803
18	3113483	3113548
18	3113793	3113828
18	3117943	3118808
18	3222098	3222198
18	3222373	3222473
18	3257938	3258028
18	3275468	3275513
18	3280728	3280888
18	3280943	3281063
18	3336653	3337203
18	3337483	3337623
18	3337728	3337803
18	3360068	3360268
18	3382668	3382753
18	3382913	3383078
18	3383443	3383548
18	3383793	3383913
18	3415623	3415668
18	3428288	3428318
18	3441093	3441203
18	3449693	3449778
18	3470818	3470848
18	3481438	3481513
18	3490828	3490948
18	3495343	3495418
18	3498698	3498788
18	3498963	3499288
18	3507083	3507518
18	3507683	3507858
18	3508083	3508178
18	3508288	3508413
18	3508673	3508778
18	3509158	3509243
18	3542683	3542768
18	3690628	3690678
18	3794848	3794853
18	3858278	3858358
18	3896933	3897063
18	3901893	3901968
18	3933888	3933983
18	3958058	3958123
18	3976168	3976313
18	3987183	3987248
18	3992383	3992453
18	4049998	4050098
18	4097848	4097923
18	4110888	4110918
18	4120168	4120238
18	4128003	4128068
18	4128228	4128303
18	4238908	4239018
18	4244403	4244513
18	4276523	4276618
18	4278503	4278608
18	4318603	4318668
18	4352808	4352993
18	4353193	4353343
18	4353383	4353683
18	4369263	4369393
18	4370848	4370933
18	4375508	4375703
18	4375773	4376003
18	4382618	4382648
18	4401803	4401913
18	4404128	4404213
18	4440918	4441028
18	4445868	4445888
18	4466768	4466788
18	4504893	4504973
18	4505843	4505888
18	4523003	4523088
18	4541968	4541988
18	4566938	4567013
18	4592073	4592223
18	4634768	4635033
18	4635128	4635263
18	4635598	4635728
18	4642468	4642543
18	4652363	4652438
18	4653738	4653823
18	4656983	4657113
18	4679393	4679508
18	4681438	4681503
18	4689743	4689923
18	4709793	4709878
18	4737763	4737818
18	4743253	4743313
18	4757993	4758168
18	4764828	4764903
18	4769278	4769343
18	4797868	4797888
18	4798038	4798188
18	4805978	4806003
18	4810773	4810833
18	4812198	4812313
18	4813793	4813888
18	4825883	4826003
18	4834283	4834348
18	4844568	4844623
18	4849758	4849763
18	4868753	4868768
18	4880903	4880983
18	4882448	4882478
18	4920108	4920613
18	4920708	4920823
