	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length
count	6883.0	6456.0	7301.0	7301.0	6456.0	7301.0	6883.0	7301.0	6456.0	7301.0	7301.0	6456.0
mean	182.304227807642	177.85006195786866	188.59060402684563	188.59060402684563	177.85006195786866	188.59060402684563	182.304227807642	188.59060402684563	177.85006195786866	188.59060402684563	188.59060402684563	177.85006195786866
std	163.69243374835315	157.25795159559544	174.99886391624824	174.99886391624824	157.25795159559544	174.99886391624824	163.69243374835315	174.99886391624824	157.25795159559544	174.99886391624824	174.99886391624824	157.25795159559544
min	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
25%	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
50%	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
75%	200.0	200.0	200.0	200.0	200.0	200.0	200.0	200.0	200.0	200.0	200.0	200.0
max	2000.0	2000.0	2400.0	2400.0	2000.0	2400.0	2000.0	2400.0	2000.0	2400.0	2400.0	2000.0
ATACseq_overlap	0.6793518934291274	0.6682757072294566	0.6979494087711421	0.6979494087711421	0.6682757072294566	0.6979494087711421	0.6793518934291274	0.6979494087711421	0.6682757072294566	0.6979494087711421	0.6979494087711421	0.6682757072294566
DNAseq_overlap	0.5764703670276775	0.5538131768953068	0.5953294223826715	0.5953294223826715	0.5538131768953068	0.5953294223826715	0.5764703670276775	0.5953294223826715	0.5538131768953068	0.5953294223826715	0.5953294223826715	0.5538131768953068
genes_overlap	0.5467285623206886	0.5508090924925971	0.544832594959692	0.544832594959692	0.5508090924925971	0.544832594959692	0.5467285623206886	0.544832594959692	0.5508090924925971	0.544832594959692	0.544832594959692	0.5508090924925971
percentage_open	0.129126613027875	0.11815681947609666	0.14169145160828905	0.14169145160828905	0.11815681947609666	0.14169145160828905	0.129126613027875	0.14169145160828905	0.11815681947609666	0.14169145160828905	0.14169145160828905	0.11815681947609666
percentage_open_adj	0.1867930690660972	0.17092429223915587	0.20496921963429168	0.20496921963429168	0.17092429223915587	0.20496921963429168	0.1867930690660972	0.20496921963429168	0.17092429223915587	0.20496921963429168	0.20496921963429168	0.17092429223915587
model_name	test run	k-means 5 features scale=1	k-means 5 features scale=2	k-means 5 features scale=4	k-means 5 features scale=8	k-means 5 features scale=16	k-means 5 features scale=32	k-means 5 features scale=64	k-means 5 features scale=128	k-means 5 features scale=256	k-means 5 features scale=512	k-prototypes 5 features gamma=1
min_open_signal	18.0	19.0	17.0	17.0	19.0	17.0	18.0	17.0	19.0	17.0	17.0	19.0
max_open_signal	393.0	393.0	393.0	393.0	393.0	393.0	393.0	393.0	393.0	393.0	393.0	393.0
min_closed_signal	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
max_closed_signal	17.0	18.0	16.0	16.0	18.0	16.0	17.0	16.0	18.0	16.0	16.0	18.0
