S0_R1	S0_R2	S1_R1	S1_R2	S2_R1	S2_R2	Chromosome	Source	Feature	Start	End	Score	Strand	Frame	gene_type	gene_name	level	mgi_id	havana_gene	transcript_id	transcript_type	transcript_name	transcript_support_level	tag	havana_transcript	exon_number	exon_id	protein_id	ccdsid	ont	total	gene_id
0.0	0.0	0.0	0.0	0.0	0.0	2	HAVANA	gene	62474529.0	62483650.0	.	-	.	protein_coding	Gcg	2	MGI:95674	OTTMUSG00000012783.2												0.0	ENSMUSG00000000394
0.0	0.0	0.0	0.0	0.0	0.0	10	HAVANA	gene	107482907.0	107486134.0	.	-	.	protein_coding	Myf5	2	MGI:97252	OTTMUSG00000064081.1												0.0	ENSMUSG00000000435
0.0	0.0	0.0	0.0	0.0	0.0	3	HAVANA	gene	105870857.0	105908926.0	.	+	.	protein_coding	Adora3	2	MGI:104847	OTTMUSG00000052379.3					overlapping_locus							0.0	ENSMUSG00000000562
0.0	0.0	0.0	0.0	0.0	0.0	12	HAVANA	gene	105176343.0	105181145.0	.	+	.	protein_coding	Tcl1b5	2	MGI:1351635	OTTMUSG00000066221.1												0.0	ENSMUSG00000000701
0.0	0.0	0.0	0.0	0.0	0.0	3	HAVANA	gene	90608522.0	90611780.0	.	+	.	protein_coding	S100a5	2	MGI:1338915	OTTMUSG00000022120.1												0.0	ENSMUSG00000001023
0.0	0.0	0.0	0.0	0.0	0.0	12	HAVANA	gene	31390870.0	31473917.0	.	+	.	protein_coding	Slc26a3	2	MGI:107181	OTTMUSG00000035459.4												0.0	ENSMUSG00000001225
0.0	0.0	0.0	0.0	0.0	0.0	3	HAVANA	gene	20215619.0	20242181.0	.	-	.	protein_coding	Cpa3	2	MGI:88479	OTTMUSG00000051236.1					ncRNA_host							0.0	ENSMUSG00000001865
0.0	0.0	0.0	0.0	0.0	0.0	12	HAVANA	gene	40059768.0	40134228.0	.	-	.	protein_coding	Scin	2	MGI:1306794	OTTMUSG00000027556.1												0.0	ENSMUSG00000002565
0.0	0.0	0.0	0.0	0.0	0.0	6	HAVANA	gene	5168089.0	5193946.0	.	-	.	protein_coding	Pon1	1	MGI:103295	OTTMUSG00000042263.4												0.0	ENSMUSG00000002588
0.0	0.0	0.0	0.0	0.0	0.0	6	HAVANA	gene	55170625.0	55175043.0	.	-	.	protein_coding	Inmt	2	MGI:102963	OTTMUSG00000026997.1												0.0	ENSMUSG00000003477
0.0	0.0	0.0	0.0	0.0	0.0	6	HAVANA	gene	55376294.0	55388530.0	.	+	.	protein_coding	Ghrhr	2	MGI:95710	OTTMUSG00000057887.1												0.0	ENSMUSG00000004654
0.0	0.0	0.0	0.0	0.0	0.0	17	HAVANA	gene	57358690.0	57483527.0	.	+	.	protein_coding	Adgre1	2	MGI:106912	OTTMUSG00000072432.1												0.0	ENSMUSG00000004730
0.0	0.0	0.0	0.0	0.0	0.0	10	HAVANA	gene	78711990.0	78718294.0	.	-	.	protein_coding	Casp14	2	MGI:1335092	OTTMUSG00000064350.1												0.0	ENSMUSG00000005355
0.0	0.0	0.0	0.0	0.0	0.0	17	HAVANA	gene	57189491.0	57194177.0	.	-	.	protein_coding	Tnfsf14	2	MGI:1355317	OTTMUSG00000072430.1												0.0	ENSMUSG00000005824
0.0	0.0	0.0	0.0	0.0	0.0	6	HAVANA	gene	124304655.0	124330527.0	.	+	.	protein_coding	Cd163	2	MGI:2135946	OTTMUSG00000056662.1												0.0	ENSMUSG00000008845
0.0	0.0	0.0	0.0	0.0	0.0	10	HAVANA	gene	74957476.0	75032586.0	.	-	.	protein_coding	Rsph14	2	MGI:1918486	OTTMUSG00000032463.7												0.0	ENSMUSG00000009070
0.0	0.0	0.0	0.0	0.0	0.0	10	HAVANA	gene	75814942.0	75822543.0	.	-	.	protein_coding	Gstt4	2	MGI:1923136	OTTMUSG00000027939.3												0.0	ENSMUSG00000009093
0.0	0.0	0.0	0.0	0.0	0.0	3	HAVANA	gene	146149832.0	146195513.0	.	+	.	protein_coding	Mcoln2	2	MGI:1915529	OTTMUSG00000035947.1												0.0	ENSMUSG00000011008
0.0	0.0	0.0	0.0	0.0	0.0	3	HAVANA	gene	20248263.0	20275733.0	.	-	.	protein_coding	Cpb1	2	MGI:1923953	OTTMUSG00000024346.1												0.0	ENSMUSG00000011463
