Chromosome	Start	End
18	3005613	3005998
18	3117938	3118148
18	3118578	3118653
18	3280743	3280873
18	3281153	3281288
18	3336643	3337218
18	3337493	3337613
18	3337768	3337888
18	3337993	3338133
18	3382923	3383238
18	3383438	3383548
18	3383648	3383968
18	3428268	3428348
18	3499088	3499228
18	3506903	3507513
18	3507588	3508008
18	3508098	3508173
18	3508318	3508568
18	3508673	3508773
18	3509183	3509278
18	3533793	3533868
18	3616613	3616748
18	3666873	3666968
18	3667438	3667613
18	3667738	3667833
18	3668728	3668843
18	3839793	3839898
18	3839973	3840053
18	3840743	3840823
18	3900178	3900288
18	3915638	3915718
18	3969973	3970048
18	3987913	3988023
18	3991063	3991143
18	4101218	4101313
18	4121828	4121918
18	4123043	4123158
18	4125988	4126088
18	4128243	4128318
18	4147688	4147763
18	4177103	4177198
18	4186648	4186738
18	4186963	4187038
18	4215428	4215503
18	4265738	4265833
18	4266398	4266488
18	4352838	4353103
18	4353193	4353698
18	4364003	4364093
18	4369238	4369403
18	4370793	4370938
18	4375493	4376003
18	4401768	4401918
18	4443393	4443483
18	4505853	4505948
18	4515663	4515743
18	4567638	4567728
18	4592083	4592188
18	4595998	4596093
18	4602633	4602723
18	4622038	4622153
18	4634808	4635053
18	4635428	4635783
18	4636443	4636523
18	4637318	4637438
18	4651383	4651463
18	4652338	4652453
18	4653753	4653858
18	4656958	4657108
18	4657523	4657598
18	4674328	4674418
18	4689733	4689928
18	4705693	4705788
18	4709643	4709738
18	4713483	4713618
18	4713753	4713848
18	4743033	4743123
18	4748208	4748288
18	4758023	4758103
18	4762438	4762523
18	4764003	4764083
18	4799613	4799688
18	4802803	4802878
18	4805953	4806048
18	4854208	4854298
18	4918128	4918223
18	4919123	4919218
18	4920178	4920618
18	4920693	4921143
18	4921228	4922083
18	4922168	4922303
18	4922468	4922663
18	4924983	4925078
18	4926673	4926783
18	4939883	4940003
18	4940158	4940378
18	4947828	4947923
18	4957873	4957963
18	4965588	4965678
18	4968148	4968243
18	4971188	4971283
18	4987778	4987913
18	4989543	4989623
18	4993753	4993923
18	4994463	4994728
18	5004833	5004908
18	5010083	5010193
18	5013538	5013628
18	5014023	5014123
18	5014303	5014383
18	5015043	5015243
18	5015673	5015763
18	5020528	5020628
18	5021758	5021838
18	5028108	5028203
18	5028758	5028883
18	5037138	5037318
18	5043718	5043833
18	5048013	5048223
18	5049428	5049523
18	5059608	5059703
18	5059958	5060043
18	5063363	5063628
18	5064398	5064603
18	5073643	5073763
18	5076673	5076768
18	5082193	5082288
18	5085108	5085323
18	5085548	5085643
18	5090733	5090828
18	5098548	5098643
18	5103568	5103663
18	5103948	5104058
18	5117013	5117098
18	5124738	5124868
18	5132303	5132388
18	5139088	5139203
18	5143003	5143118
18	5148338	5148443
18	5149303	5149523
18	5149603	5149748
18	5155543	5155713
18	5159718	5159908
18	5160018	5160313
18	5160713	5160808
18	5162063	5162748
18	5163073	5163308
18	5163373	5163813
18	5166018	5166163
18	5166598	5166708
18	5181108	5181183
18	5182853	5182938
18	5185323	5185398
18	5186383	5186493
18	5186638	5186813
18	5196633	5196718
18	5197563	5197643
18	5203628	5203708
18	5207813	5207908
18	5214618	5214708
18	5221373	5221468
18	5281968	5282063
18	5333883	5333973
18	5334083	5334368
18	5334458	5334648
18	5334718	5335083
18	5349263	5349353
18	5372033	5372128
18	5390263	5390358
18	5397568	5397758
18	5401198	5401283
18	5405623	5405728
18	5410123	5410218
18	5412613	5412693
18	5414163	5414258
18	5414488	5414693
18	5425398	5425493
18	5425683	5425763
18	5427773	5428123
18	5428333	5428518
18	5429093	5429198
18	5432003	5432133
18	5452148	5452233
18	5458188	5458283
18	5464458	5464588
18	5472823	5472908
18	5480253	5480348
18	5505273	5505368
18	5539668	5539758
18	5564928	5565003
18	5567398	5567478
18	5583598	5583673
18	5584023	5584133
18	5591133	5591533
18	5591618	5591798
18	5592643	5592778
18	5593093	5593358
18	5593443	5593563
18	5593818	5593903
18	5597273	5597373
18	5618148	5618328
18	5619713	5619813
18	5620108	5620228
18	5631878	5631968
18	5712908	5712988
18	5741043	5741133
18	5760158	5760253
18	5765153	5765238
18	5786798	5786878
18	5801493	5801573
18	5803248	5803343
18	5805918	5806013
18	5806098	5806213
18	5806433	5806673
18	5807273	5807403
18	5817283	5817373
18	5818098	5818198
18	5819148	5819233
18	5819733	5820028
18	5820398	5820503
18	5820638	5820763
18	5844893	5844968
18	5858533	5858623
18	5885338	5885413
18	5892798	5892973
18	5900633	5900713
18	5901808	5901988
18	5911628	5911763
18	5915523	5915608
18	5930148	5930303
18	5931923	5931998
18	5932453	5932533
18	5945498	5945603
18	5964913	5965043
18	5975538	5975623
18	5978638	5978743
18	5983463	5983558
18	5986703	5986798
18	5987448	5987578
18	5989608	5990298
18	5990738	5990858
18	6005103	6005213
18	6014053	6014128
18	6055768	6055878
18	6111733	6111808
18	6135278	6135598
18	6135673	6135783
18	6135873	6136358
18	6136468	6136843
18	6148733	6148843
18	6166533	6166628
18	6182118	6182243
18	6185588	6185668
18	6192503	6192578
18	6205928	6206013
18	6240668	6241378
18	6241458	6241703
18	6275578	6276168
18	6276233	6276353
18	6280373	6280473
18	6308463	6308698
18	6394038	6394118
18	6407888	6407973
18	6411158	6411253
18	6437758	6437858
18	6450603	6450688
18	6455363	6455438
18	6464968	6465108
18	6489763	6490113
18	6490468	6490798
18	6491088	6491273
18	6492163	6492243
18	6494033	6494273
18	6496508	6496593
18	6501343	6501503
18	6512233	6512323
18	6516018	6516658
18	6519913	6520008
18	6531458	6531548
18	6622673	6622778
18	6627223	6627388
18	6700663	6700743
18	6764833	6765278
18	6765378	6765483
18	6815988	6816063
18	6838153	6838238
18	6884403	6884548
18	6898093	6898178
18	6961583	6961658
18	6989328	6989428
18	7001203	7001338
18	7001478	7001658
18	7001743	7002138
18	7002248	7002668
18	7003343	7003558
18	7003778	7003883
18	7004138	7004423
18	7004538	7004993
18	7005073	7005368
18	7005523	7005658
18	7005898	7006263
18	7067293	7067423
18	7087988	7088063
18	7095233	7095318
18	7124913	7125003
18	7216918	7216993
18	7297828	7298048
18	7565493	7565633
18	7614788	7614883
18	7616838	7617078
18	7620868	7620963
18	7625458	7625543
18	7625633	7625738
18	7626158	7626268
18	7626348	7626443
18	7626503	7626638
18	7626763	7627203
18	7640668	7640763
18	7692918	7693033
18	7693333	7693428
18	7708213	7708308
18	7756863	7757053
18	7799728	7799813
18	7824798	7824928
18	7868423	7868663
18	7868958	7869153
18	7869833	7869933
18	7870038	7870123
