Chromosome	Start	End
18	3005068	3005313
18	3005598	3006003
18	3010148	3010338
18	3010713	3010803
18	3117958	3118483
18	3118543	3118793
18	3222093	3222188
18	3222378	3222468
18	3257933	3258023
18	3280743	3280878
18	3280953	3281048
18	3336648	3337198
18	3337488	3337618
18	3360068	3360268
18	3382673	3382758
18	3382913	3383068
18	3383443	3383543
18	3383808	3383903
18	3441103	3441188
18	3490823	3490953
18	3495338	3495418
18	3498963	3499288
18	3507083	3507508
18	3507618	3507838
18	3508093	3508168
18	3508293	3508443
18	3508673	3508763
18	3509163	3509253
18	3542688	3542768
18	3858273	3858363
18	3896938	3897053
18	3901893	3901968
18	3933888	3933983
18	3976168	3976313
18	4050008	4050083
18	4097853	4097938
18	4238923	4239018
18	4244398	4244533
18	4276518	4276628
18	4278503	4278593
18	4352823	4352983
18	4353188	4353683
18	4369273	4369373
18	4370848	4370938
18	4375518	4375683
18	4375778	4376003
18	4401803	4401903
18	4404143	4404218
18	4440933	4441028
18	4466568	4466643
18	4505823	4505898
18	4523023	4523103
18	4566938	4567023
18	4592083	4592263
18	4634768	4635038
18	4635153	4635253
18	4635623	4635733
18	4642468	4642558
18	4652378	4652453
18	4653743	4653838
18	4656983	4657108
18	4679413	4679503
18	4689743	4689923
18	4737743	4737818
18	4758008	4758158
18	4798043	4798183
18	4812213	4812308
18	4813803	4813883
18	4825893	4825988
18	4844558	4844638
18	4849708	4849793
18	4920118	4920613
18	4920708	4920823
18	4921023	4921143
18	4921253	4921373
18	4921458	4922053
18	4939883	4940003
18	4940193	4940383
18	4959698	4959793
18	4971188	4971283
18	5011493	5011748
18	5012363	5012458
18	5014023	5014118
18	5015078	5015153
18	5015718	5015913
18	5027403	5027508
18	5043753	5043908
18	5047998	5048223
18	5054338	5054433
18	5058743	5058838
18	5059808	5059893
18	5064453	5064553
18	5085108	5085188
18	5098853	5098938
18	5103508	5103638
18	5103953	5104063
18	5104208	5104308
18	5124738	5124838
18	5139083	5139183
18	5143023	5143148
18	5155533	5155708
18	5159748	5159833
18	5159943	5160283
18	5162163	5162303
18	5162388	5162468
18	5162563	5162753
18	5163108	5163303
18	5163428	5163783
18	5166568	5166653
18	5210608	5210688
18	5227048	5227123
18	5228838	5228943
18	5265638	5265733
18	5334063	5334603
18	5334758	5335083
18	5351253	5351368
18	5364433	5364513
18	5368933	5369018
18	5402468	5402553
18	5427858	5428133
18	5428463	5428553
18	5431813	5432128
18	5447468	5447543
18	5482823	5482948
18	5487768	5487868
18	5545148	5545223
18	5565023	5565138
18	5591228	5591548
18	5592648	5592743
18	5593143	5593348
18	5609028	5609123
18	5765168	5765243
18	5772468	5772553
18	5785193	5785293
18	5817273	5817368
18	5819143	5819358
18	5819748	5820023
18	5829903	5830158
18	5864008	5864088
18	5884603	5884763
18	5910583	5910673
18	5932618	5932703
18	5945278	5945383
18	5975398	5975628
18	5978648	5978733
18	5984843	5984928
18	5986708	5986798
18	5987353	5987573
18	5989643	5990263
18	5990373	5990453
18	5990738	5990833
18	6055753	6055853
18	6135428	6135588
18	6135843	6136048
18	6136178	6136333
18	6136703	6136843
18	6144908	6144993
18	6165978	6166073
18	6194433	6194543
18	6210893	6210968
18	6215193	6215268
18	6240673	6240758
18	6240813	6240923
18	6241068	6241583
18	6244408	6244493
18	6275558	6275668
18	6281313	6281413
18	6281613	6281693
18	6288348	6288428
18	6289068	6289153
18	6411158	6411278
18	6465093	6465323
18	6465603	6465703
18	6481618	6481768
18	6489873	6490048
18	6490653	6490798
18	6491098	6491228
18	6492163	6492258
18	6492528	6492628
18	6493168	6493243
18	6497013	6497108
18	6501273	6501503
18	6516188	6516458
18	6516553	6516643
18	6524833	6524913
18	6556673	6556753
18	6622453	6622533
18	6627288	6627383
18	6639323	6639473
18	6721663	6721768
18	6764833	6765283
18	6773528	6773608
18	6817773	6817848
18	6884398	6884543
18	6885843	6885933
18	6921888	6921973
18	6942208	6942303
18	6968333	6968413
18	7001483	7001663
18	7001743	7002123
18	7002293	7002388
18	7002518	7002668
18	7003398	7003538
18	7003778	7003958
18	7004168	7004428
18	7004528	7004648
18	7004708	7004963
18	7005038	7005213
18	7005293	7005418
18	7005913	7006128
18	7028923	7029008
18	7044068	7044163
18	7088738	7088828
18	7147788	7147878
18	7297643	7297748
18	7297838	7298083
18	7397958	7398058
18	7416338	7416438
18	7505563	7505648
18	7506633	7506713
18	7549138	7549218
18	7565493	7565628
18	7581453	7581548
18	7584103	7584213
18	7589168	7589268
18	7616883	7617103
18	7617233	7617313
18	7617798	7617878
18	7620838	7620968
18	7625633	7625743
18	7626348	7626438
18	7626503	7626618
18	7626788	7627198
18	7640408	7640518
18	7644793	7644898
18	7654423	7654508
18	7693278	7693428
18	7702198	7702318
18	7702643	7702783
18	7708218	7708313
18	7756873	7757073
18	7771413	7771513
18	7824808	7824918
18	7868528	7868663
18	7868938	7869103
18	7932473	7932573
18	8124558	8124783
18	8188873	8188948
18	8194218	8194333
18	8380848	8380968
18	8415708	8415848
18	8460918	8461018
18	8466863	8466953
18	8715238	8715338
18	8736608	8736693
18	8871613	8871693
18	8911388	8911463
18	8911648	8911783
18	8911838	8911928
18	8935708	8935783
18	9190978	9191068
18	9210573	9210668
18	9211138	9211243
18	9211543	9211658
18	9211788	9211883
18	9212003	9212763
18	9212883	9213353
18	9213658	9213753
18	9213978	9214108
18	9214198	9214363
18	9214508	9214688
18	9214758	9214863
18	9216618	9216753
18	9231053	9231178
18	9280008	9280088
18	9280573	9280853
18	9401758	9401833
18	9449303	9449563
18	9450193	9450413
18	9495053	9495168
18	9554793	9554888
18	9555053	9555233
18	9572908	9572988
18	9707463	9707693
18	9708013	9708248
18	9708583	9708818
18	9709003	9709083
18	9726238	9726408
18	9749238	9749333
18	9810513	9810728
18	9817268	9817358
18	9817518	9817673
18	9827968	9828048
18	9830588	9830668
18	9830938	9831048
18	9831163	9831238
18	9832658	9832768
18	9834688	9834768
18	9835018	9835123
18	9845263	9845363
