	ranges_bin	norm_signal	pre_signal	post_signal	surround_signal	enrichment_factor1	enrichment_factor2
0	[3005068, 3005163)	7.666666666666667	0.0	1.25	1.25	6.133333333333334	10.153436123129943
1	[3005223, 3005313)	8.25	3.1666666666666665	1.4	4.566666666666666	1.8065693430656935	10.925980175976786
2	[3005598, 3006003)	39.391304347826086	2.0	0.0	2.0	19.695652173913043	52.16831641335952
3	[3010163, 3010293)	4.5	1.25	4.4	5.65	0.7964601769911503	5.959625550532793
4	[3010713, 3010798)	5.4	2.0	0.6666666666666666	2.6666666666666665	2.0250000000000004	7.1515506606393515
5	[3117968, 3118303)	6.612903225806452	1.625	2.6666666666666665	4.291666666666666	1.5408706545568434	8.757872672825968
6	[3118358, 3118473)	3.8461538461538463	2.625	1.5454545454545454	4.170454545454545	0.9222385244183611	5.09369705173743
7	[3118563, 3118758)	3.1	0.9	1.9090909090909092	2.809090909090909	1.103559870550162	4.1055198237003685
8	[3257938, 3258018)	5.0	1.0	1.5	2.5	2.0	6.621806167258659
9	[3280743, 3280873)	5.9	1.75	1.1	2.85	2.0701754385964914	7.813731277365218
10	[3280953, 3281048)	3.3333333333333335	1.7	1.3333333333333333	3.033333333333333	1.098901098901099	4.414537444839106
11	[3336653, 3337193)	2.6447368421052633	0.75	0.36	1.1099999999999999	2.3826458036984355	3.5025869463657644
12	[3337493, 3337603)	1.6666666666666667	0.391304347826087	1.2142857142857142	1.605590062111801	1.0380399742101871	2.207268722419553
13	[3360088, 3360268)	3.2222222222222223	1.0	1.5714285714285714	2.571428571428571	1.2530864197530867	4.267386196677802
14	[3382673, 3382753)	6.6	0.0	1.2	1.2	5.5	8.740784140781429
15	[3382918, 3383068)	3.3333333333333335	0.7142857142857143	0.47058823529411764	1.184873949579832	2.8132387706855795	4.414537444839106
16	[3383448, 3383543)	7.3	0.5714285714285714	1.1	1.6714285714285715	4.367521367521367	9.667837004197642
17	[3383813, 3383903)	3.6666666666666665	2.1666666666666665	1.4	3.5666666666666664	1.0280373831775702	4.855991189323016
18	[3441113, 3441188)	4.857142857142857	2.0	0.4	2.4	2.0238095238095237	6.432611705336982
19	[3490833, 3490943)	4.066666666666666	1.0	0.0	1.0	4.066666666666666	5.385735682703709
20	[3498958, 3499288)	2.4130434782608696	0.75	1.5	2.25	1.0724637681159421	3.1957412372422223
21	[3507098, 3507508)	3.5833333333333335	1.9166666666666667	0.5	2.416666666666667	1.482758620689655	4.745627753202039
22	[3507698, 3507828)	1.9310344827586208	1.7857142857142858	0.7142857142857143	2.5	0.7724137931034483	2.557387209424034
23	[3508298, 3508398)	2.8666666666666667	0.3888888888888889	1.7692307692307692	2.158119658119658	1.3283168316831684	3.796502202561631
24	[3508683, 3508758)	3.857142857142857	1.6	2.75	4.35	0.8866995073891627	5.108250471885251
25	[3509168, 3509243)	3.2222222222222223	2.4285714285714284	0.0	2.4285714285714284	1.3267973856209152	4.267386196677802
26	[3896943, 3897043)	4.083333333333333	0.8571428571428571	1.5	2.357142857142857	1.732323232323232	5.4078083699279045
27	[3933888, 3933978)	5.285714285714286	0.0	0.0	0.0	0.0	7.00019509110201
28	[3976178, 3976313)	2.8947368421052633	1.8333333333333333	1.4	3.2333333333333334	0.8952794357026588	3.8336772547286975
29	[4238923, 4239018)	4.125	1.2857142857142858	0.25	1.5357142857142858	2.686046511627907	5.462990087988393
30	[4244418, 4244503)	5.0	2.0	2.0	4.0	1.25	6.621806167258659
31	[4276533, 4276613)	4.875	1.2727272727272727	0.7272727272727273	2.0	2.4375	6.456261013077192
32	[4352833, 4352978)	3.869565217391304	2.8333333333333335	0.6428571428571429	3.4761904761904763	1.1131625967838	5.1247021642262665
33	[4353198, 4353318)	3.5294117647058822	0.625	1.5333333333333334	2.158333333333333	1.6352486940722235	4.674216118064935
34	[4353398, 4353668)	3.676470588235294	1.6923076923076923	0.0	1.6923076923076923	2.1724598930481283	4.868975122984308
35	[4369273, 4369363)	5.0	4.0	3.5	7.5	0.6666666666666666	6.621806167258659
36	[4370853, 4370928)	2.6666666666666665	1.0	3.3333333333333335	4.333333333333334	0.6153846153846153	3.5316299558712845
37	[4375528, 4375678)	3.9130434782608696	1.0	1.5	2.5	1.565217391304348	5.18228308741982
38	[4375783, 4375998)	2.176470588235294	1.6363636363636365	0.0	1.6363636363636365	1.330065359477124	2.88243327280671
