Chromosome	Start	End
18	3005068	3005313
18	3005588	3006003
18	3010158	3010298
18	3010708	3010803
18	3113483	3113548
18	3117968	3118308
18	3118358	3118488
18	3118543	3118793
18	3222103	3222193
18	3222378	3222478
18	3257943	3258023
18	3280738	3280893
18	3280943	3281068
18	3336653	3337203
18	3337483	3337613
18	3360073	3360268
18	3382673	3382748
18	3382913	3383083
18	3383448	3383548
18	3383793	3383903
18	3415623	3415683
18	3441088	3441203
18	3449688	3449783
18	3481458	3481508
18	3490833	3490948
18	3495348	3495418
18	3498703	3498783
18	3498968	3499288
18	3507083	3507508
18	3507688	3507843
18	3508088	3508178
18	3508293	3508408
18	3508678	3508773
18	3509168	3509243
18	3542683	3542768
18	3858283	3858353
18	3896938	3897063
18	3901888	3901968
18	3933888	3933983
18	3958063	3958118
18	3976173	3976313
18	3987183	3987248
18	3992383	3992453
18	4049998	4050098
18	4097853	4097913
18	4120178	4120228
18	4128008	4128053
18	4238908	4239018
18	4244403	4244503
18	4276523	4276613
18	4278508	4278603
18	4318603	4318668
18	4352803	4352993
18	4353188	4353318
18	4353388	4353683
18	4369273	4369388
18	4370853	4370938
18	4375508	4375693
18	4375778	4376003
18	4382618	4382653
18	4401803	4401903
18	4404143	4404208
18	4440918	4441028
18	4445858	4445898
18	4504888	4504978
18	4523003	4523093
18	4566943	4567008
18	4592078	4592213
18	4634773	4635033
18	4635143	4635258
18	4635603	4635723
18	4642473	4642538
18	4652403	4652428
18	4653783	4653803
18	4656983	4657108
18	4679398	4679503
18	4681443	4681483
18	4689748	4689923
18	4709788	4709883
18	4757993	4758168
18	4764828	4764898
18	4769283	4769328
18	4798043	4798188
18	4805978	4806003
18	4810773	4810833
18	4812198	4812308
18	4813793	4813888
18	4825883	4825998
18	4834283	4834348
18	4844578	4844618
18	4868753	4868788
18	4880898	4880978
18	4882448	4882478
18	4920108	4920608
18	4920713	4920813
18	4921008	4921143
18	4921258	4921378
18	4921468	4922033
18	4939878	4939988
18	4940183	4940408
18	4940463	4940493
18	4957903	4957993
18	4959713	4959798
18	4971183	4971298
18	4993833	4993903
18	5008888	5008943
18	5011488	5011743
18	5012113	5012193
18	5012363	5012478
18	5014023	5014118
18	5015733	5015913
18	5020488	5020568
18	5027403	5027503
18	5027698	5027748
18	5027888	5027973
18	5043753	5043908
18	5047993	5048213
18	5054338	5054433
18	5058728	5058843
18	5059818	5059903
18	5063393	5063478
18	5064208	5064278
18	5085098	5085183
18	5090803	5090883
18	5098843	5098928
18	5103513	5103643
18	5103953	5104068
18	5104188	5104303
18	5117988	5118053
18	5124743	5124843
18	5126428	5126503
18	5139083	5139183
18	5143023	5143143
18	5149688	5149763
18	5155523	5155713
18	5159753	5159833
18	5159923	5160293
18	5162163	5162303
18	5162383	5162753
18	5163103	5163303
18	5163418	5163788
18	5166568	5166658
18	5210618	5210703
18	5227063	5227123
18	5228853	5228923
18	5265643	5265703
18	5298583	5298628
18	5334063	5334388
18	5334478	5334603
18	5334778	5334923
18	5334988	5335093
18	5340893	5340968
18	5351263	5351358
18	5364443	5364513
18	5368578	5368633
18	5368933	5369013
18	5396143	5396208
18	5400708	5400783
18	5402468	5402558
18	5427678	5427743
18	5427853	5428113
18	5428478	5428543
18	5431818	5432128
18	5447468	5447538
18	5451883	5451923
18	5482803	5482953
18	5487803	5487883
18	5509923	5509998
18	5545153	5545208
18	5565013	5565133
18	5572223	5572293
18	5572433	5572503
18	5591123	5591158
18	5591178	5591553
18	5592658	5592738
18	5593138	5593343
18	5603883	5603933
18	5609013	5609123
18	5748803	5748873
18	5750463	5750513
18	5765183	5765228
18	5770058	5770098
18	5772473	5772563
18	5785188	5785288
18	5807293	5807363
18	5817278	5817383
18	5819123	5819373
18	5819748	5820023
18	5829898	5830073
18	5864018	5864098
18	5884588	5884713
18	5884728	5884743
18	5910593	5910673
18	5930193	5930293
18	5932298	5932378
18	5932613	5932703
18	5945283	5945398
18	5945528	5945553
18	5975403	5975468
18	5975518	5975628
18	5978643	5978723
18	5979603	5979683
18	5981008	5981078
18	5984833	5984908
18	5986693	5986803
18	5987368	5987588
18	5989638	5990283
18	5990383	5990443
18	5990738	5990833
18	6055753	6055858
18	6129558	6129608
18	6135403	6135598
18	6135833	6136058
18	6136178	6136328
18	6136703	6136843
18	6144898	6145003
18	6148613	6148693
18	6163843	6163908
18	6165978	6166088
18	6180813	6180883
18	6189023	6189088
18	6194438	6194563
18	6210888	6210988
18	6215198	6215253
18	6240678	6240918
18	6241073	6241388
18	6241468	6241588
18	6244418	6244498
18	6275558	6275688
18	6280638	6280683
18	6281308	6281408
18	6281593	6281703
18	6284218	6284298
18	6288353	6288423
18	6289068	6289153
18	6312183	6312228
18	6411163	6411283
18	6431623	6431703
18	6435103	6435148
18	6465123	6465158
18	6465208	6465308
18	6465593	6465703
18	6468338	6468373
18	6473638	6473648
18	6476383	6476443
18	6481603	6481783
18	6489873	6490058
18	6490523	6490603
18	6490658	6490803
18	6491098	6491218
18	6492183	6492243
18	6492528	6492618
18	6496493	6496598
18	6497003	6497108
18	6501273	6501503
18	6516188	6516473
18	6516558	6516638
18	6524833	6524908
18	6554258	6554303
18	6556683	6556763
18	6622468	6622533
18	6627278	6627383
18	6639333	6639473
18	6721663	6721778
18	6764833	6765293
18	6773538	6773608
18	6817783	6817833
18	6829223	6829308
18	6884388	6884523
18	6885843	6885918
18	6900743	6900798
18	6921888	6921968
18	6942198	6942303
18	6957618	6957693
18	6961588	6961653
18	6968333	6968413
18	6992183	6992218
18	7000978	7001053
18	7001303	7001328
18	7001483	7001673
18	7001758	7002108
18	7002288	7002398
18	7002533	7002623
18	7003418	7003528
18	7003778	7003968
18	7004173	7004423
18	7004528	7004633
18	7004703	7004963
18	7005013	7005203
18	7005283	7005423
18	7005903	7006108
18	7025943	7026003
18	7028923	7029008
18	7044073	7044178
18	7083183	7083268
18	7088743	7088828
18	7147788	7147893
18	7154153	7154188
18	7240818	7240893
18	7297643	7297768
18	7297843	7298088
18	7397963	7398058
18	7416353	7416433
18	7502558	7502603
18	7505563	7505648
18	7506633	7506693
18	7549148	7549208
18	7565493	7565628
