Chromosome	Start	End
18	3005068	3005163
18	3005218	3005313
18	3005478	3005493
18	3005598	3006003
18	3006183	3006253
18	3010138	3010338
18	3010708	3010803
18	3113488	3113548
18	3113773	3113853
18	3115758	3115823
18	3117953	3118818
18	3172478	3172533
18	3201828	3201878
18	3222098	3222193
18	3222383	3222468
18	3257928	3258023
18	3275468	3275518
18	3280728	3280888
18	3280953	3281048
18	3281193	3281248
18	3336643	3337193
18	3337493	3337618
18	3338068	3338088
18	3352048	3352108
18	3359488	3359543
18	3360068	3360268
18	3382673	3382768
18	3382913	3383073
18	3383443	3383543
18	3383808	3383903
18	3415603	3415673
18	3428298	3428343
18	3441098	3441208
18	3441318	3441368
18	3449698	3449768
18	3481438	3481523
18	3485063	3485128
18	3490813	3490948
18	3495328	3495418
18	3498693	3498788
18	3498958	3499288
18	3506993	3507023
18	3507048	3507523
18	3507603	3507838
18	3507903	3507953
18	3508108	3508153
18	3508293	3508453
18	3508668	3508763
18	3509153	3509258
18	3512243	3512318
18	3533778	3533813
18	3542693	3542763
18	3567258	3567293
18	3579383	3579453
18	3690598	3690683
18	3714143	3714168
18	3761228	3761333
18	3803673	3803733
18	3839568	3839623
18	3847728	3847758
18	3858273	3858353
18	3896933	3897053
18	3901893	3901963
18	3933888	3933983
18	3958063	3958133
18	3976173	3976313
18	3987188	3987248
18	3992393	3992448
18	4016533	4016598
18	4050008	4050088
18	4088158	4088208
18	4097853	4097943
18	4110888	4110938
18	4120173	4120243
18	4128008	4128078
18	4128253	4128278
18	4229833	4229888
18	4233153	4233218
18	4238923	4239018
18	4244378	4244543
18	4276523	4276628
18	4278418	4278443
18	4278473	4278488
18	4278508	4278598
18	4294428	4294478
18	4318608	4318653
18	4336568	4336598
18	4338463	4338478
18	4340458	4340488
18	4352803	4352993
18	4353173	4353688
18	4369273	4369378
18	4370858	4370933
18	4375503	4375683
18	4375783	4376003
18	4382598	4382668
18	4401803	4401913
18	4404128	4404233
18	4440933	4441028
18	4442408	4442458
18	4445833	4445908
18	4466553	4466643
18	4466733	4466818
18	4504898	4504968
18	4505258	4505333
18	4505553	4505623
18	4505823	4505903
18	4514893	4515003
18	4515328	4515358
18	4523023	4523118
18	4541938	4541988
18	4566933	4567023
18	4567643	4567708
18	4592088	4592263
18	4602503	4602548
18	4605998	4606043
18	4619753	4619808
18	4622188	4622238
18	4624573	4624643
18	4634773	4635033
18	4635148	4635253
18	4635623	4635733
18	4640658	4640713
18	4642463	4642568
18	4652373	4652463
18	4653738	4653843
18	4656983	4657108
18	4679398	4679503
18	4681433	4681513
18	4689743	4689923
18	4704553	4704618
18	4709798	4709873
18	4715598	4715668
18	4737723	4737818
18	4743263	4743343
18	4758008	4758158
18	4758463	4758533
18	4764823	4764908
18	4796093	4796153
18	4797828	4797913
18	4798043	4798183
18	4803793	4803843
18	4803993	4804028
18	4805938	4806023
18	4810748	4810843
18	4812213	4812298
18	4813803	4813888
18	4821033	4821058
18	4825893	4825988
18	4834288	4834358
18	4835683	4835738
18	4844543	4844658
18	4849693	4849803
18	4853823	4853883
18	4868038	4868083
18	4868738	4868798
18	4880788	4880838
18	4880863	4880873
18	4880908	4880968
18	4882418	4882473
18	4891878	4891918
18	4920118	4920608
18	4920718	4920828
18	4921028	4921143
18	4921238	4921368
18	4921458	4922033
18	4922738	4922813
18	4937613	4937678
18	4939888	4940023
18	4940183	4940383
18	4940438	4940523
18	4953093	4953158
18	4953618	4953688
18	4957913	4957988
18	4959693	4959803
18	4964818	4964893
18	4971193	4971283
18	4993198	4993243
18	4993828	4993913
18	5008878	5008943
18	5011488	5011738
18	5012123	5012208
18	5012353	5012458
18	5014023	5014118
18	5015093	5015153
18	5015723	5015918
18	5020488	5020563
18	5027403	5027508
18	5027893	5027968
18	5041923	5041973
18	5043753	5043908
18	5048003	5048223
18	5048743	5048793
18	5054338	5054433
18	5058743	5058828
18	5059808	5059898
