	ranges_bin	norm_signal	pre_signal	post_signal	surround_signal	enrichment_factor1	enrichment_factor2
0	[3005068, 3005163)	7.666666666666667	0.0	1.25	1.25	6.133333333333334	10.153436123129943
1	[3005218, 3005313)	8.25	3.1666666666666665	1.4	4.566666666666666	1.8065693430656935	10.925980175976786
2	[3005598, 3006003)	39.391304347826086	2.0	0.0	2.0	19.695652173913043	52.16831641335952
3	[3010138, 3010338)	4.285714285714286	1.5454545454545454	1.0	2.5454545454545454	1.683673469387755	5.675833857650279
4	[3010708, 3010803)	4.5	1.8333333333333333	0.8	2.6333333333333333	1.7088607594936709	5.959625550532793
5	[3113773, 3113853)	2.6666666666666665	0.625	1.0833333333333333	1.7083333333333333	1.5609756097560976	3.5316299558712845
6	[3117953, 3118818)	4.1647058823529415	2.25	0.4444444444444444	2.6944444444444446	1.545664038811401	5.515575019316624
7	[3222098, 3222193)	3.3636363636363638	0.75	0.2222222222222222	0.9722222222222222	3.45974025974026	4.4546696034285524
8	[3222383, 3222468)	2.6363636363636362	0.8571428571428571	1.7142857142857142	2.571428571428571	1.0252525252525253	3.491497797281838
9	[3257928, 3258023)	6.0	1.0	0.125	1.125	5.333333333333333	7.94616740071039
10	[3280728, 3280888)	5.384615384615385	0.0	1.0	1.0	5.384615384615385	7.131175872432403
11	[3280953, 3281048)	3.3333333333333335	1.7	1.3333333333333333	3.033333333333333	1.098901098901099	4.414537444839106
12	[3336643, 3337193)	2.6447368421052633	0.75	0.36	1.1099999999999999	2.3826458036984355	3.5025869463657644
13	[3337493, 3337618)	1.6896551724137931	0.391304347826087	0.8888888888888888	1.2801932367149758	1.3198438516590763	2.2377138082460295
14	[3360068, 3360268)	3.2222222222222223	1.4285714285714286	1.5714285714285714	3.0	1.0740740740740742	4.267386196677802
15	[3382673, 3382768)	4.857142857142857	0.0	0.8333333333333334	0.8333333333333334	5.828571428571428	6.432611705336982
16	[3382913, 3383073)	3.3333333333333335	0.7142857142857143	0.4444444444444444	1.1587301587301586	2.8767123287671237	4.414537444839106
17	[3383443, 3383543)	7.3	0.5333333333333333	1.1	1.6333333333333333	4.469387755102041	9.667837004197642
18	[3383808, 3383903)	3.6666666666666665	2.1666666666666665	1.4	3.5666666666666664	1.0280373831775702	4.855991189323016
19	[3441098, 3441208)	3.888888888888889	1.6666666666666667	0.4444444444444444	2.111111111111111	1.8421052631578947	5.150293685645623
20	[3481438, 3481523)	4.428571428571429	1.1666666666666667	0.6	1.7666666666666666	2.506738544474394	5.865028319571955
21	[3490813, 3490948)	3.588235294117647	1.0	0.0	1.0	3.588235294117647	4.752119720032685
22	[3495328, 3495418)	4.714285714285714	0.5	0.0	0.5	9.428571428571429	6.243417243415307
23	[3498693, 3498788)	4.428571428571429	1.0	2.5	3.5	1.2653061224489797	5.865028319571955
24	[3498958, 3499288)	2.4130434782608696	0.75	1.5	2.25	1.0724637681159421	3.1957412372422223
25	[3507048, 3507523)	3.3636363636363638	1.7	0.375	2.075	1.6210295728368016	4.4546696034285524
26	[3507603, 3507838)	1.8444444444444446	2.25	1.1428571428571428	3.392857142857143	0.5436257309941521	2.4427107194776387
27	[3508293, 3508453)	2.2962962962962963	0.3333333333333333	1.25	1.5833333333333333	1.4502923976608189	3.041125795333606
28	[3508668, 3508763)	3.75	3.2	2.6	5.800000000000001	0.6465517241379309	4.966354625443994
29	[3509153, 3509258)	3.0	2.4285714285714284	0.4444444444444444	2.8730158730158726	1.0441988950276244	3.973083700355195
30	[3512243, 3512318)	2.5714285714285716	0.5384615384615384	1.4	1.9384615384615382	1.3265306122448983	3.4055003145901677
31	[3690598, 3690683)	2.375	1.8571428571428572	1.5	3.357142857142857	0.7074468085106382	3.145357929447863
32	[3761228, 3761333)	2.5	0.6	2.142857142857143	2.742857142857143	0.9114583333333334	3.3109030836293294
33	[3858273, 3858353)	2.9	0.9	0.4666666666666667	1.3666666666666667	2.1219512195121952	3.8406475770100217
34	[3896933, 3897053)	3.769230769230769	1.0	2.0	3.0	1.2564102564102564	4.991823110702681
35	[3933888, 3933983)	4.625	0.0	0.0	0.0	0.0	6.125170704714259
36	[3976173, 3976313)	2.75	2.2	1.4	3.6	0.7638888888888888	3.6419933919922625
37	[4050008, 4050088)	6.0	0.2727272727272727	0.0	0.2727272727272727	22.0	7.94616740071039
38	[4097853, 4097943)	3.857142857142857	1.4285714285714286	1.375	2.803571428571429	1.375796178343949	5.108250471885251
39	[4238923, 4239018)	4.125	1.2857142857142858	0.25	1.5357142857142858	2.686046511627907	5.462990087988393
40	[4244378, 4244543)	2.857142857142857	1.8	1.8571428571428572	3.6571428571428575	0.78125	3.7838892384335194
41	[4276523, 4276628)	3.727272727272727	1.25	1.0	2.25	1.6565656565656566	4.936255506501909
42	[4278508, 4278598)	3.111111111111111	2.4444444444444446	0.14285714285714285	2.5873015873015874	1.2024539877300613	4.120234948516499
43	[4352803, 4352993)	3.7083333333333335	3.4	0.5625	3.9625	0.9358569926393271	4.911172907383506
44	[4353173, 4353688)	3.2	0.1111111111111111	0.4444444444444444	0.5555555555555556	5.76	4.237955947045542
45	[4369273, 4369378)	5.0	4.0	3.5	7.5	0.6666666666666666	6.621806167258659
46	[4370858, 4370933)	3.0	1.25	3.3333333333333335	4.583333333333334	0.6545454545454544	3.973083700355195
47	[4375503, 4375683)	3.6	1.1666666666666667	1.6363636363636365	2.803030303030303	1.2843243243243243	4.767700440426235
48	[4375783, 4376003)	2.176470588235294	1.6363636363636365	0.0	1.6363636363636365	1.330065359477124	2.88243327280671
49	[4401803, 4401913)	5.142857142857143	1.0	1.0	2.0	2.5714285714285716	6.811000629180335
50	[4404128, 4404233)	4.0	1.1428571428571428	1.0	2.142857142857143	1.8666666666666667	5.2974449338069265
