	ranges_bin	norm_signal	pre_signal	post_signal	surround_signal	enrichment_factor1	enrichment_factor2
0	[3005068, 3005313)	6.0	0.0	1.4	1.4	4.285714285714286	7.94616740071039
1	[3005583, 3006003)	39.391304347826086	1.875	0.0	1.875	21.008695652173913	52.16831641335952
2	[3010133, 3010308)	3.6153846153846154	1.4545454545454546	3.0	4.454545454545455	0.8116169544740972	4.788075228633184
3	[3010708, 3010803)	4.5	1.8333333333333333	0.8	2.6333333333333333	1.7088607594936709	5.959625550532793
4	[3117943, 3118808)	4.176470588235294	1.875	0.5	2.375	1.758513931888545	5.531155739710174
5	[3222098, 3222198)	3.25	0.75	0.0	0.75	4.333333333333333	4.304174008718128
6	[3222373, 3222473)	2.230769230769231	0.8571428571428571	1.7142857142857142	2.571428571428571	0.8675213675213677	2.9543442900077093
7	[3257938, 3258028)	6.0	1.0	0.125	1.125	5.333333333333333	7.94616740071039
8	[3280728, 3280888)	5.384615384615385	0.0	1.0	1.0	5.384615384615385	7.131175872432403
9	[3280943, 3281063)	2.8181818181818183	2.0	1.375	3.375	0.8350168350168351	3.732290748818517
10	[3336653, 3337203)	2.6233766233766236	0.75	0.32	1.07	2.4517538536230123	3.4742983007435044
11	[3337483, 3337623)	1.5151515151515151	0.45454545454545453	0.8888888888888888	1.3434343434343434	1.1278195488721805	2.0066079294723207
12	[3337728, 3337803)	2.7777777777777777	0.9	0.8	1.7000000000000002	1.633986928104575	3.678781204032588
13	[3360068, 3360268)	3.2222222222222223	1.4285714285714286	1.5714285714285714	3.0	1.0740740740740742	4.267386196677802
14	[3382668, 3382753)	6.6	0.0	1.2	1.2	5.5	8.740784140781429
15	[3382913, 3383078)	3.1818181818181817	0.7142857142857143	0.47058823529411764	1.184873949579832	2.6853642811089617	4.213876651891874
16	[3383443, 3383548)	6.416666666666667	0.5333333333333333	0.875	1.4083333333333332	4.55621301775148	8.49798458131528
17	[3383793, 3383913)	3.4	2.125	1.4	3.525	0.9645390070921985	4.502828193735888
18	[3441093, 3441203)	4.0	1.3333333333333333	0.5	1.8333333333333333	2.181818181818182	5.2974449338069265
19	[3449693, 3449778)	3.7142857142857144	1.2	1.1428571428571428	2.3428571428571425	1.5853658536585369	4.919056009963575
20	[3481438, 3481513)	4.8	1.1666666666666667	1.4285714285714286	2.5952380952380953	1.8495412844036696	6.356933920568312
21	[3490828, 3490948)	4.066666666666666	0.8	0.0	0.8	5.083333333333333	5.385735682703709
22	[3495343, 3495418)	4.666666666666667	1.75	0.0	1.75	2.666666666666667	6.180352422774749
23	[3498698, 3498788)	4.428571428571429	1.0	2.5	3.5	1.2653061224489797	5.865028319571955
24	[3498963, 3499288)	2.4130434782608696	0.75	1.5	2.25	1.0724637681159421	3.1957412372422223
25	[3507083, 3507518)	3.480769230769231	1.75	0.3333333333333333	2.0833333333333335	1.6707692307692308	4.609795831822374
26	[3507683, 3507858)	1.605263157894737	2.0833333333333335	1.15	3.2333333333333334	0.49647314161692896	2.1259482958040956
27	[3508083, 3508178)	1.1538461538461537	0.75	0.2631578947368421	1.013157894736842	1.138861138861139	1.5281091155212287
28	[3508288, 3508413)	2.409090909090909	0.29411764705882354	2.0	2.2941176470588234	1.0501165501165501	3.19050660786099
29	[3508673, 3508778)	3.857142857142857	1.6	2.1666666666666665	3.7666666666666666	1.0240202275600505	5.108250471885251
30	[3509158, 3509243)	3.2222222222222223	2.25	0.0	2.25	1.432098765432099	4.267386196677802
31	[3542683, 3542768)	1.411764705882353	0.8461538461538461	0.6666666666666666	1.5128205128205128	0.9332003988035893	1.8696864472259744
32	[3858278, 3858358)	2.9	0.8181818181818182	0.5	1.3181818181818183	2.1999999999999997	3.8406475770100217
33	[3896933, 3897063)	3.3333333333333335	1.0	2.25	3.25	1.0256410256410258	4.414537444839106
34	[3901893, 3901968)	4.5	0.0	0.0	0.0	0.0	5.959625550532793
35	[3933888, 3933983)	4.625	0.0	0.0	0.0	0.0	6.125170704714259
36	[3976168, 3976313)	2.857142857142857	1.2	1.4	2.5999999999999996	1.098901098901099	3.7838892384335194
37	[4049998, 4050098)	3.75	0.3	0.0	0.3	12.5	4.966354625443994
38	[4097848, 4097923)	3.857142857142857	1.4285714285714286	1.0	2.428571428571429	1.588235294117647	5.108250471885251
39	[4128228, 4128303)	3.857142857142857	0.0	2.8	2.8	1.3775510204081634	5.108250471885251
40	[4238908, 4239018)	4.333333333333333	0.5714285714285714	0.25	0.8214285714285714	5.275362318840579	5.7388986782908376
41	[4244403, 4244513)	3.875	2.0	1.7	3.7	1.0472972972972971	5.131899779625461
42	[4276523, 4276618)	3.9	1.25	0.8888888888888888	2.138888888888889	1.8233766233766233	5.165008810461754
43	[4278503, 4278608)	3.111111111111111	2.4444444444444446	0.1111111111111111	2.555555555555556	1.217391304347826	4.120234948516499
44	[4352808, 4352993)	3.7083333333333335	3.4	0.5625	3.9625	0.9358569926393271	4.911172907383506
45	[4353193, 4353683)	3.253968253968254	0.4444444444444444	0.0	0.4444444444444444	7.321428571428572	4.309429410438175
46	[4369263, 4369393)	5.0	4.0	2.3333333333333335	6.333333333333334	0.7894736842105262	6.621806167258659
47	[4370848, 4370933)	2.6	0.7142857142857143	3.3333333333333335	4.0476190476190474	0.6423529411764707	3.443339206974503
48	[4375508, 4375703)	3.6296296296296298	1.0	1.2142857142857142	2.2142857142857144	1.6391875746714457	4.806940773269249
49	[4375773, 4376003)	2.176470588235294	1.5384615384615385	0.0	1.5384615384615385	1.414705882352941	2.88243327280671
50	[4401803, 4401913)	5.142857142857143	1.0	1.0	2.0	2.5714285714285716	6.811000629180335
51	[4404128, 4404213)	4.571428571428571	1.1428571428571428	1.3333333333333333	2.4761904761904763	1.846153846153846	6.05422278149363
52	[4440918, 4441028)	4.857142857142857	1.5	0.4	1.9	2.556390977443609	6.432611705336982
53	[4504893, 4504973)	3.111111111111111	0.7142857142857143	1.0	1.7142857142857144	1.8148148148148147	4.120234948516499
54	[4523003, 4523088)	3.875	1.0	1.0	2.0	1.9375	5.131899779625461
55	[4566938, 4567013)	3.5714285714285716	0.25	1.1111111111111112	1.3611111111111112	2.623906705539359	4.7298615480418995
56	[4592073, 4592223)	3.2666666666666666	1.4285714285714286	2.5555555555555554	3.984126984126984	0.8199203187250996	4.326246695942324
57	[4634768, 4635033)	2.725	0.42857142857142855	0.7619047619047619	1.1904761904761905	2.289	3.608884361155969
58	[4635128, 4635263)	1.7272727272727273	0.7272727272727273	0.4375	1.1647727272727273	1.4829268292682927	2.2875330395984457
59	[4635598, 4635728)	2.25	1.3076923076923077	1.7142857142857142	3.021978021978022	0.7445454545454545	2.9798127752663963
60	[4642468, 4642543)	3.7142857142857144	1.5	1.5	3.0	1.2380952380952381	4.919056009963575
61	[4652363, 4652438)	3.5714285714285716	1.5714285714285714	0.7	2.2714285714285714	1.5723270440251573	4.7298615480418995
62	[4653738, 4653823)	3.111111111111111	0.7777777777777778	1.8	2.577777777777778	1.206896551724138	4.120234948516499
63	[4656983, 4657113)	3.125	1.3333333333333333	1.1818181818181819	2.515151515151515	1.2424698795180722	4.138628854536662
64	[4679393, 4679508)	4.25	3.4	0.0	3.4	1.25	5.62853524216986
