Chromosome	Start	End
18	3005068	3005313
18	3005598	3006003
18	3010133	3010338
18	3010708	3010803
18	3113483	3113558
18	3113778	3113858
18	3115743	3115818
18	3117963	3118803
18	3222088	3222193
18	3222378	3222473
18	3257928	3258023
18	3280733	3280888
18	3280953	3281048
18	3336653	3337198
18	3337478	3337618
18	3337738	3337813
18	3360073	3360268
18	3382673	3382768
18	3382913	3383083
18	3383448	3383543
18	3383808	3383903
18	3415608	3415683
18	3441098	3441198
18	3449693	3449773
18	3481438	3481518
18	3490828	3490958
18	3495328	3495418
18	3498698	3498783
18	3498953	3499293
18	3507068	3507513
18	3507608	3507848
18	3508083	3508173
18	3508288	3508468
18	3508673	3508768
18	3509163	3509258
18	3542683	3542778
18	3690608	3690698
18	3761228	3761338
18	3858263	3858368
18	3896933	3897048
18	3901878	3901968
18	3933888	3933983
18	3976173	3976313
18	4050008	4050088
18	4097853	4097943
18	4120168	4120243
18	4238923	4239018
18	4244383	4244533
18	4276528	4276618
18	4278468	4278593
18	4352813	4352993
18	4353178	4353688
18	4369273	4369378
18	4370843	4370938
18	4375513	4375703
18	4375768	4376008
18	4401803	4401903
18	4404133	4404228
18	4440933	4441028
18	4466558	4466643
18	4466733	4466808
18	4514883	4514968
18	4523018	4523113
18	4566933	4567008
18	4592078	4592273
18	4634773	4635043
18	4635148	4635253
18	4635618	4635738
18	4642473	4642558
18	4652368	4652458
18	4653738	4653838
18	4656978	4657108
18	4679403	4679503
18	4689748	4689923
18	4709803	4709883
18	4757998	4758158
18	4769278	4769353
18	4797833	4797913
18	4798043	4798193
18	4810753	4810838
18	4812213	4812308
18	4813803	4813893
18	4825878	4825988
18	4834283	4834358
18	4844553	4844643
18	4849698	4849798
18	4880868	4880978
18	4920123	4920608
18	4920713	4920823
18	4921023	4921143
18	4921253	4921368
18	4921468	4922073
18	4939878	4940008
18	4940183	4940383
18	4940438	4940528
18	4957913	4957988
18	4959708	4959798
18	4971188	4971283
18	4993828	4993903
18	5011488	5011763
18	5012128	5012203
18	5012363	5012458
18	5014023	5014118
18	5015083	5015163
18	5015723	5015913
18	5020483	5020578
18	5027403	5027523
18	5027888	5027968
18	5043753	5043908
18	5047998	5048223
18	5054338	5054433
18	5058743	5058843
18	5063383	5063463
18	5064378	5064548
18	5085108	5085193
18	5090813	5090898
18	5093083	5093158
18	5098838	5098943
18	5103508	5103643
18	5103948	5104063
18	5104208	5104308
18	5117978	5118053
18	5124738	5124833
18	5139083	5139183
18	5142978	5143153
18	5149688	5149763
18	5155528	5155713
18	5159743	5159843
18	5159943	5160293
18	5162138	5162303
18	5162378	5162468
18	5162533	5162753
18	5163108	5163303
18	5163428	5163783
18	5166568	5166658
18	5210608	5210693
18	5228828	5228953
18	5265633	5265738
18	5334063	5334603
18	5334733	5335083
18	5340883	5340958
18	5351258	5351373
18	5364428	5364513
18	5368928	5369018
18	5396128	5396208
18	5402468	5402553
18	5427673	5427748
18	5427853	5428133
18	5428463	5428578
18	5431823	5432133
18	5447468	5447553
18	5451858	5451938
18	5482803	5482953
18	5487753	5487878
18	5544313	5544393
18	5565028	5565138
18	5591228	5591548
18	5592628	5592743
18	5593133	5593353
18	5597293	5597378
18	5603878	5603958
18	5609028	5609123
18	5765173	5765253
18	5770033	5770113
18	5772468	5772548
18	5772623	5772703
18	5785183	5785308
18	5817273	5817383
18	5819138	5819378
18	5819743	5820023
18	5829903	5830168
18	5864003	5864088
18	5884593	5884783
18	5910588	5910673
18	5930198	5930288
18	5932293	5932368
18	5932618	5932703
18	5945278	5945383
18	5946198	5946283
18	5975398	5975628
18	5978648	5978748
18	5984818	5984933
18	5986703	5986803
18	5987333	5987583
18	5989638	5990248
18	5990368	5990453
18	5990738	5990833
18	6055753	6055868
18	6135398	6135588
18	6135823	6136048
18	6136168	6136338
18	6136613	6136843
18	6144908	6144993
18	6163833	6163908
18	6165973	6166073
18	6194428	6194543
18	6210883	6210968
18	6215188	6215268
18	6240673	6240953
18	6241073	6241598
18	6244423	6244498
18	6275558	6275678
18	6281313	6281408
18	6281588	6281698
18	6288338	6288428
18	6289063	6289153
18	6411158	6411283
18	6431618	6431708
18	6458503	6458583
18	6465093	6465328
18	6465603	6465708
18	6481618	6481773
18	6481878	6481958
18	6489873	6490048
18	6490523	6490798
18	6491098	6491228
18	6492153	6492393
18	6492528	6492633
18	6493168	6493248
18	6496503	6496593
18	6497003	6497118
18	6501273	6501503
18	6507168	6507248
18	6516198	6516458
18	6516553	6516643
18	6524828	6524913
18	6554258	6554333
18	6556668	6556758
18	6622448	6622533
18	6627283	6627388
18	6639328	6639488
18	6721663	6721768
18	6764833	6765288
18	6773528	6773608
18	6817773	6817858
18	6829228	6829308
18	6884388	6884548
18	6885843	6885933
18	6921883	6921978
18	6942208	6942308
18	6968333	6968418
18	7000978	7001053
18	7001278	7001353
18	7001483	7001673
18	7001738	7002123
18	7002283	7002393
18	7002518	7002698
18	7003398	7003548
18	7003778	7003958
18	7004168	7004428
18	7004523	7005213
18	7005283	7005423
18	7005913	7006213
18	7028923	7029008
18	7044068	7044163
18	7083188	7083263
18	7088733	7088828
18	7147783	7147878
18	7297633	7297753
18	7297833	7298093
18	7397953	7398058
18	7416338	7416433
18	7505563	7505648
18	7506628	7506708
18	7549133	7549218
18	7565493	7565628
18	7581453	7581548
18	7584103	7584223
18	7589158	7589278
18	7608928	7609003
18	7616873	7617108
18	7617228	7617318
18	7617788	7617878
18	7620838	7620978
18	7625633	7625748
18	7626343	7626438
18	7626503	7626618
18	7626778	7627198
18	7640388	7640523
18	7644788	7644908
18	7654428	7654508
18	7693278	7693428
18	7702193	7702318
18	7702643	7702783
18	7708228	7708323
18	7756873	7757078
18	7770578	7770658
18	7771413	7771513
18	7824803	7824923
18	7838588	7838673
18	7868518	7868673
18	7868928	7869113
18	7869888	7869963
18	7932473	7932578
18	8124558	8124788
18	8188873	8188948
18	8194218	8194338
18	8323448	8323533
18	8380838	8380993
18	8415723	8415853
