Chromosome	Start	End
18	3002388	3002468
18	3005233	3005308
18	3005463	3005538
18	3005603	3005998
18	3009023	3009098
18	3010003	3010158
18	3012638	3012863
18	3012963	3013053
18	3040453	3040543
18	3051868	3051948
18	3066598	3066693
18	3113438	3113603
18	3115728	3115823
18	3117923	3118303
18	3118383	3118448
18	3118553	3118668
18	3118748	3118858
18	3160673	3160733
18	3172288	3172373
18	3201843	3201928
18	3212013	3212103
18	3222343	3222438
18	3253163	3253203
18	3257793	3257843
18	3259363	3259398
18	3260113	3260203
18	3266393	3266488
18	3266738	3266833
18	3267878	3267963
18	3268308	3268313
18	3269748	3269798
18	3270533	3270613
18	3274803	3274863
18	3280738	3281063
18	3281118	3281333
18	3281788	3281888
18	3310193	3310288
18	3336643	3337893
18	3337963	3338138
18	3340153	3340178
18	3346603	3346663
18	3347163	3347233
18	3347478	3347578
18	3351993	3352038
18	3357113	3357203
18	3360148	3360263
18	3368298	3368348
18	3368553	3368648
18	3370038	3370118
18	3374003	3374073
18	3374613	3374708
18	3379203	3379303
18	3382913	3383363
18	3383403	3384008
18	3388268	3388333
18	3389108	3389198
18	3412913	3413008
18	3415613	3415743
18	3417838	3417933
18	3424188	3424263
18	3426208	3426278
18	3428258	3428358
18	3433628	3433718
18	3434723	3434818
18	3436563	3436618
18	3437608	3437703
18	3439033	3439128
18	3441068	3441168
18	3441298	3441393
18	3442963	3442968
18	3442978	3443038
18	3444558	3444673
18	3445778	3445858
18	3449888	3449893
18	3462343	3462493
18	3466308	3466383
18	3468438	3468538
18	3469908	3469973
18	3470963	3471053
18	3478728	3478823
18	3480703	3480778
18	3480898	3480983
18	3484973	3485133
18	3486053	3486143
18	3490803	3490903
18	3491223	3491268
18	3495513	3495683
18	3497873	3497998
18	3498968	3499308
18	3506043	3506138
18	3506893	3508213
18	3508298	3508778
18	3509038	3509298
18	3511403	3511483
18	3512788	3512883
18	3514263	3514343
18	3522683	3522688
18	3522733	3522748
18	3533658	3533893
18	3539508	3539543
18	3540463	3540563
18	3540838	3540913
18	3542683	3542823
18	3553048	3553143
18	3566393	3566478
18	3567028	3567233
18	3567438	3567523
18	3572168	3572188
