Chromosome	Start	End
18	3005613	3005998
18	3010038	3010118
18	3113503	3113578
18	3117953	3118148
18	3280753	3280873
18	3281153	3281288
18	3336643	3337248
18	3337483	3337613
18	3337758	3337883
18	3337993	3338118
18	3382923	3383248
18	3383428	3383558
18	3383643	3383953
18	3497883	3497968
18	3499083	3499218
18	3506898	3508013
18	3508098	3508173
18	3508313	3508578
18	3508673	3508778
18	3509178	3509268
18	3533793	3533868
18	3602578	3602673
18	3616618	3616753
18	3666873	3666968
18	3667448	3667613
18	3667738	3667833
18	3668748	3668843
18	3765218	3765293
18	3839793	3839898
18	3839973	3840048
18	3900168	3900293
18	3915633	3915708
18	3976203	3976303
18	3987928	3988023
18	4101218	4101313
18	4121828	4121918
18	4123043	4123158
18	4126003	4126083
18	4177103	4177198
18	4186653	4186733
18	4265738	4265833
18	4266393	4266488
18	4352833	4353103
18	4353193	4353698
18	4369243	4369388
18	4370813	4370923
18	4375493	4375993
18	4401788	4401913
18	4443403	4443483
18	4505853	4505948
18	4567638	4567728
18	4592098	4592183
18	4596018	4596093
18	4602633	4602713
18	4622043	4622133
18	4634813	4635053
18	4635428	4635783
18	4636443	4636518
18	4637333	4637413
18	4652338	4652458
18	4653748	4653863
18	4656973	4657108
18	4674328	4674403
18	4689733	4689923
18	4705698	4705788
18	4709643	4709738
18	4713493	4713608
18	4743038	4743128
18	4802798	4802873
18	4805958	4806048
18	4854218	4854298
18	4863183	4863258
18	4918128	4918213
18	4920173	4920613
18	4920693	4921143
18	4921233	4922063
18	4922183	4922283
18	4922468	4922598
18	4924983	4925078
18	4926673	4926778
18	4939898	4939993
18	4940158	4940348
18	4947828	4947923
18	4957878	4957963
18	4971188	4971283
18	4987783	4987908
18	4993763	4993923
18	4994468	4994683
18	5010088	5010183
18	5014023	5014118
18	5015063	5015243
18	5020528	5020623
18	5028773	5028883
18	5043728	5043823
18	5048038	5048218
18	5049428	5049523
18	5059608	5059698
18	5063363	5063458
18	5063528	5063623
18	5064463	5064598
18	5073648	5073743
18	5076673	5076768
18	5085108	5085203
18	5085548	5085628
18	5090743	5090823
18	5098563	5098643
18	5103568	5103653
18	5103953	5104053
18	5124738	5124858
18	5139083	5139193
18	5143003	5143113
18	5148353	5148428
18	5149303	5149433
18	5149628	5149763
18	5155563	5155713
18	5159723	5159883
18	5160038	5160298
18	5160708	5160808
18	5162098	5162748
18	5163073	5163308
18	5163373	5163798
18	5166038	5166153
18	5166603	5166678
18	5186388	5186488
18	5186638	5186808
18	5221388	5221468
18	5333888	5333973
18	5334088	5334363
18	5334433	5334648
18	5334728	5335078
18	5372038	5372128
18	5390263	5390358
18	5397583	5397748
18	5405623	5405728
18	5414488	5414683
18	5427788	5428118
18	5428333	5428458
18	5432008	5432133
18	5451848	5451923
18	5452148	5452233
18	5464478	5464573
18	5480268	5480348
18	5505273	5505363
18	5539673	5539753
18	5591143	5591543
18	5591638	5591793
18	5592633	5592778
18	5593093	5593358
18	5593443	5593553
18	5593808	5593898
18	5597283	5597373
18	5618158	5618313
18	5619718	5619803
18	5760158	5760253
18	5765163	5765243
18	5803243	5803333
18	5805918	5806003
18	5806103	5806213
18	5806478	5806663
18	5807278	5807403
18	5817273	5817373
18	5818103	5818178
18	5819738	5820023
18	5820413	5820493
18	5820643	5820763
18	5858533	5858623
18	5892798	5892973
18	5901833	5901978
18	5911653	5911763
18	5930183	5930303
18	5931923	5931998
18	5945498	5945598
18	5964918	5965033
18	5983468	5983558
18	5986703	5986798
18	5987448	5987558
18	5989633	5990288
18	5990748	5990848
18	6005103	6005213
18	6014043	6014133
18	6055768	6055883
18	6111723	6111808
18	6135278	6135603
18	6135663	6136358
18	6136468	6136843
18	6148578	6148653
18	6148748	6148843
18	6166533	6166628
18	6182128	6182238
18	6185588	6185668
18	6192503	6192583
18	6205923	6206013
18	6240668	6241373
18	6241453	6241703
18	6275588	6276163
18	6280373	6280473
18	6308493	6308683
18	6371603	6371678
18	6407888	6407983
18	6411168	6411253
18	6437758	6437848
18	6450603	6450683
18	6455353	6455448
18	6464968	6465108
18	6489788	6490133
18	6490463	6490838
18	6491093	6491248
18	6492173	6492253
18	6494058	6494248
18	6496508	6496583
18	6501338	6501503
18	6512228	6512323
18	6516008	6516658
18	6519913	6520003
18	6531453	6531548
18	6554063	6554138
18	6622673	6622773
18	6627268	6627388
18	6700658	6700733
18	6764833	6765278
18	6765373	6765478
18	6815988	6816073
18	6838153	6838243
18	6884408	6884548
18	6898093	6898178
18	6961583	6961663
18	6989328	6989423
18	7000508	7000603
18	7001203	7001368
18	7001478	7001668
18	7001743	7002153
18	7002248	7002678
18	7003343	7003568
18	7003778	7003928
18	7004138	7004423
18	7004538	7004998
18	7005068	7005373
18	7005523	7005658
18	7005898	7006263
18	7044063	7044153
18	7067318	7067393
18	7087988	7088073
18	7095233	7095323
18	7124913	7125003
18	7214733	7214818
18	7216918	7216993
18	7297828	7298043
18	7516603	7516678
18	7524773	7524853
18	7561723	7561798
18	7565493	7565643
18	7581473	7581548
18	7608943	7609028
18	7614788	7614883
18	7616838	7617083
18	7620853	7620963
18	7625633	7625743
18	7626158	7626268
18	7626348	7626443
18	7626503	7626643
18	7626733	7627203
18	7640668	7640763
18	7692918	7693043
18	7693333	7693428
18	7708213	7708308
18	7756863	7757053
18	7757538	7757613
18	7799733	7799823
