Chromosome	Start	End
18	3005068	3005313
18	3005598	3006003
18	3006193	3006253
18	3010133	3010338
18	3010708	3010803
18	3113483	3113558
18	3113778	3113858
18	3115743	3115818
18	3117963	3118483
18	3118513	3118803
18	3120498	3120568
18	3201333	3201388
18	3201843	3201878
18	3222088	3222193
18	3222378	3222473
18	3257928	3258023
18	3280733	3280888
18	3280953	3281048
18	3281203	3281243
18	3336653	3337198
18	3337478	3337618
18	3337738	3337813
18	3338033	3338098
18	3352053	3352118
18	3359478	3359538
18	3360073	3360268
18	3382673	3382768
18	3382913	3383083
18	3383448	3383543
18	3383808	3383903
18	3415608	3415683
18	3428283	3428343
18	3429183	3429238
18	3441098	3441198
18	3441333	3441363
18	3449693	3449773
18	3481438	3481518
18	3485078	3485133
18	3490828	3490958
18	3495328	3495418
18	3498698	3498783
18	3498953	3499293
18	3507068	3507513
18	3507608	3507848
18	3507903	3507968
18	3508083	3508173
18	3508288	3508468
18	3508673	3508768
18	3509163	3509258
18	3512253	3512303
18	3542683	3542778
18	3579403	3579428
18	3690608	3690698
18	3714138	3714183
18	3761228	3761338
18	3769803	3769843
18	3803683	3803723
18	3839578	3839623
18	3847703	3847758
18	3858263	3858368
18	3896933	3897048
18	3901878	3901968
18	3933888	3933983
18	3958063	3958133
18	3970003	3970058
18	3976173	3976313
18	3987188	3987248
18	3992383	3992443
18	4016533	4016588
18	4050008	4050088
18	4097853	4097943
18	4110883	4110938
18	4120168	4120243
18	4128228	4128278
18	4136598	4136623
18	4162703	4162733
18	4233158	4233188
18	4238923	4239018
18	4244383	4244533
18	4276528	4276618
18	4278403	4278428
18	4278468	4278593
18	4318608	4318673
18	4336578	4336583
18	4338438	4338488
18	4340443	4340493
18	4352813	4352993
18	4353178	4353688
18	4369273	4369378
18	4370843	4370938
18	4375513	4375703
18	4375768	4376008
18	4382608	4382668
18	4401803	4401903
18	4404133	4404228
18	4440933	4441028
18	4442423	4442433
18	4445843	4445903
18	4466558	4466643
18	4466733	4466808
18	4504903	4504968
18	4505278	4505298
18	4505833	4505898
18	4514693	4514733
18	4514883	4514968
18	4523018	4523113
18	4541938	4541988
18	4566933	4567008
18	4567653	4567708
18	4569383	4569388
18	4592078	4592273
18	4622193	4622198
18	4624588	4624633
18	4634773	4635043
18	4635148	4635253
18	4635618	4635738
18	4640668	4640688
18	4642473	4642558
18	4652368	4652458
18	4653738	4653838
18	4656978	4657108
18	4679403	4679503
18	4681428	4681498
18	4689748	4689923
18	4709803	4709883
18	4715608	4715663
18	4737743	4737803
18	4743258	4743328
18	4757998	4758158
18	4758468	4758538
18	4764828	4764898
18	4769278	4769353
18	4797833	4797913
18	4798043	4798193
18	4805943	4806013
18	4810753	4810838
18	4812213	4812308
18	4813803	4813893
18	4821018	4821083
18	4825878	4825988
18	4834283	4834358
18	4835683	4835743
18	4844553	4844643
18	4849698	4849798
18	4863223	4863238
18	4868033	4868088
18	4868743	4868788
18	4880793	4880833
18	4880868	4880978
18	4882258	4882288
18	4920123	4920608
18	4920713	4920823
18	4921023	4921143
18	4921253	4921368
18	4921468	4922073
18	4922203	4922258
18	4922748	4922808
18	4937618	4937683
18	4939878	4940008
18	4940183	4940383
18	4940438	4940528
18	4957913	4957988
18	4959708	4959798
18	4964833	4964888
18	4971188	4971283
18	4993828	4993903
18	5008878	5008943
18	5011488	5011763
18	5012128	5012203
18	5012363	5012458
18	5014023	5014118
18	5015083	5015163
18	5015723	5015913
18	5020483	5020578
18	5027403	5027523
18	5027888	5027968
18	5041923	5041978
18	5043753	5043908
18	5047998	5048223
18	5048753	5048778
18	5054338	5054433
18	5058743	5058843
18	5059823	5059893
18	5062178	5062228
18	5063383	5063463
18	5064378	5064548
18	5085108	5085193
18	5088828	5088888
18	5090813	5090898
18	5093083	5093158
18	5098838	5098943
18	5099483	5099508
18	5099678	5099723
18	5103508	5103643
18	5103948	5104063
18	5104208	5104308
18	5117978	5118053
18	5124738	5124833
18	5126428	5126493
18	5133923	5133983
18	5139083	5139183
18	5142978	5143153
18	5149558	5149603
18	5149688	5149763
18	5155528	5155713
18	5157193	5157198
18	5159743	5159843
18	5159943	5160293
18	5161343	5161378
18	5162138	5162303
18	5162378	5162468
18	5162533	5162753
18	5163108	5163303
18	5163428	5163783
18	5164333	5164393
18	5166568	5166658
18	5185628	5185688
18	5210608	5210693
18	5218468	5218538
18	5227053	5227123
18	5228828	5228953
18	5265633	5265738
18	5298573	5298633
18	5301038	5301088
18	5334063	5334603
18	5334733	5335083
18	5340883	5340958
18	5351258	5351373
18	5359258	5359313
18	5364428	5364513
18	5368578	5368648
18	5368928	5369018
18	5375043	5375078
18	5390338	5390378
18	5396128	5396208
18	5400203	5400238
18	5400723	5400793
18	5402468	5402553
18	5404543	5404613
18	5427673	5427748
18	5427853	5428133
18	5428463	5428578
18	5429093	5429138
18	5431823	5432133
18	5447468	5447553
18	5451858	5451938
18	5482803	5482953
18	5487753	5487878
18	5509928	5509988
18	5544313	5544393
18	5545148	5545218
18	5565028	5565138
18	5572228	5572288
18	5572433	5572498
18	5583033	5583083
18	5585853	5585888
18	5591093	5591163
18	5591228	5591548
18	5592628	5592743
18	5593133	5593353
18	5597293	5597378
18	5603878	5603958
18	5609028	5609123
18	5610243	5610278
18	5694008	5694033
18	5699058	5699078
18	5712178	5712183
18	5748808	5748873
18	5750458	5750523
18	5765173	5765253
18	5767948	5767998
18	5770033	5770113
18	5772468	5772548
18	5772623	5772703
18	5785183	5785308
18	5805778	5805838
18	5807288	5807358
18	5817138	5817188
18	5817273	5817383
18	5819138	5819378
18	5819743	5820023
18	5820428	5820493
18	5829903	5830168
18	5832043	5832098
18	5864003	5864088
18	5884593	5884783
18	5902133	5902183
18	5910588	5910673
18	5911633	5911703
18	5911938	5911958
18	5921138	5921198
18	5930198	5930288
18	5932293	5932368
18	5932618	5932703
18	5945278	5945383
18	5945503	5945558
18	5946198	5946283
18	5974233	5974238
18	5975398	5975628
18	5978648	5978748
