Chromosome	Start	End
18	3005608	3005988
18	3118028	3118153
18	3118203	3118283
18	3118698	3118763
18	3257938	3258023
18	3280728	3281288
18	3290348	3290423
18	3336643	3337278
18	3337453	3337613
18	3337743	3337908
18	3337968	3338138
18	3382893	3383288
18	3383403	3383903
18	3389128	3389193
18	3415603	3415648
18	3433853	3433928
18	3445528	3445613
18	3462088	3462168
18	3484173	3484238
18	3490813	3490898
18	3495583	3495628
18	3499028	3499298
18	3506243	3506313
18	3506888	3508178
18	3508253	3508558
18	3508638	3508778
18	3509128	3509258
18	3510243	3510278
18	3515118	3515218
18	3540473	3540603
18	3541803	3541858
18	3542193	3542283
18	3542728	3542743
18	3545368	3545428
18	3547773	3547853
18	3573053	3573078
18	3600923	3600968
18	3616528	3616593
18	3657233	3657308
18	3666523	3666598
18	3667493	3667603
18	3667778	3667813
18	3761278	3761363
18	3769773	3769878
18	3807478	3807593
18	3839573	3839668
18	3839753	3840038
18	3840738	3840828
18	3858193	3858323
18	3860698	3860743
18	3900193	3900273
18	3901703	3901798
18	3902918	3902963
18	3933348	3933393
18	3933928	3934008
18	3937028	3937103
18	3970383	3970418
18	3973968	3974028
18	3976218	3976313
18	3982403	3982488
18	4010153	4010228
18	4010488	4010628
18	4030718	4030738
18	4076498	4076568
18	4085113	4085203
18	4097943	4098003
18	4120088	4120218
18	4121818	4121913
18	4121973	4122073
18	4124838	4124928
18	4127168	4127248
18	4127353	4127418
18	4128188	4128323
18	4136958	4137058
18	4137798	4137868
18	4148148	4148228
18	4169333	4169413
18	4177063	4177153
18	4178028	4178098
18	4186623	4186683
18	4187023	4187123
18	4222568	4222643
18	4232528	4232603
18	4232788	4232903
18	4233083	4233273
18	4244338	4244353
18	4257543	4257578
18	4266228	4266328
18	4266398	4266483
18	4267178	4267273
18	4277338	4277383
18	4278458	4278548
18	4279298	4279348
18	4292143	4292228
18	4302873	4302978
18	4313848	4313943
18	4332293	4332398
18	4333903	4333948
18	4336543	4336813
18	4338458	4338488
18	4340388	4340498
18	4351013	4351098
18	4351298	4351378
18	4351943	4352023
18	4352033	4352098
18	4352808	4353093
18	4353193	4353708
18	4354018	4354053
18	4361448	4361523
18	4364023	4364103
18	4364523	4364603
18	4367133	4367228
18	4369238	4369408
18	4370878	4370938
18	4375493	4376008
18	4394028	4394058
18	4399643	4399713
18	4401783	4401883
18	4437983	4438078
18	4440028	4440143
18	4440708	4440818
18	4442368	4442423
18	4445533	4445598
18	4445853	4445923
18	4465593	4465648
18	4493358	4493428
18	4494178	4494253
18	4504693	4504783
18	4505818	4505948
18	4509813	4509893
18	4512748	4512808
18	4513658	4513708
18	4514658	4514783
18	4515103	4515138
18	4515323	4515393
18	4515673	4515713
18	4518023	4518123
18	4523048	4523138
18	4523313	4523358
18	4545843	4545893
18	4558368	4558463
18	4559288	4559318
18	4559368	4559493
18	4566938	4567013
18	4567398	4567493
18	4567588	4567678
18	4569358	4569423
18	4570413	4570483
18	4575703	4575768
18	4577848	4577913
18	4590848	4590923
18	4592163	4592433
18	4592898	4592918
18	4596383	4596478
18	4605973	4606063
18	4622943	4623223
18	4634778	4635783
18	4636423	4636603
18	4642438	4642538
18	4643263	4643318
18	4648853	4648903
18	4649333	4649398
18	4651773	4651833
18	4652378	4652463
18	4652583	4652643
18	4652788	4652838
18	4653688	4653913
18	4655873	4655968
18	4656243	4656333
18	4656968	4657208
18	4669913	4669968
18	4672128	4672193
18	4674353	4674398
18	4675003	4675053
18	4675218	4675223
18	4675508	4675653
18	4676408	4676423
18	4679408	4679503
18	4679633	4679688
18	4680268	4680358
18	4684098	4684163
18	4684293	4684353
18	4684418	4684508
18	4684618	4684708
18	4689733	4689928
18	4690033	4690078
18	4693208	4693303
18	4693943	4693998
18	4701663	4701733
18	4709778	4709898
18	4710548	4710618
18	4711463	4711538
18	4712693	4712738
18	4715553	4715623
18	4716503	4716548
18	4734073	4734163
18	4734363	4734453
18	4737073	4737113
18	4737693	4737873
18	4737988	4738038
18	4741443	4741483
18	4743048	4743138
18	4743218	4743273
18	4746238	4746323
18	4758488	4758538
18	4762393	4762463
18	4764003	4764093
18	4764228	4764288
18	4764423	4764468
18	4769273	4769358
18	4769453	4769548
18	4785338	4785578
18	4785668	4785928
18	4801558	4801663
18	4801713	4801798
18	4813258	4813353
18	4813788	4813888
18	4818503	4818598
18	4818658	4818708
18	4821193	4821313
18	4823748	4823843
18	4825553	4825628
18	4826183	4826253
18	4829343	4829393
18	4839098	4839183
18	4839928	4840058
18	4845168	4845228
18	4852973	4853058
18	4854293	4854378
18	4879418	4879483
18	4882238	4882313
18	4882913	4882998
18	4892038	4892133
18	4908263	4908328
18	4912883	4912973
18	4916253	4916343
18	4916833	4916913
18	4920118	4921148
18	4921233	4922328
18	4922798	4922913
18	4924513	4924573
18	4924968	4925253
18	4928098	4928298
18	4929498	4929593
18	4933743	4933818
18	4937543	4937563
18	4938013	4938078
18	4939368	4939443
18	4940173	4940523
18	4945543	4945588
18	4957293	4957383
