	TT_S0	starting_nt	Chromosome	Start	End	genes	transcripts	exons	CDSs	labels
0	0.0	3000016	18	3000016	3000016	0	0	0	0	1
1	7.0	3000016	18	3000016	3000116	0	0	0	0	1
2	1.0	3000116	18	3000116	3000216	0	0	0	0	1
3	2.0	3000216	18	3000216	3000316	0	0	0	0	1
4	0.0	3000316	18	3000316	3000416	0	0	0	0	1
5	0.0	3000416	18	3000416	3000516	0	0	0	0	1
6	0.0	3000516	18	3000516	3000616	0	0	0	0	1
7	0.0	3000616	18	3000616	3000716	0	0	0	0	1
8	0.0	3000716	18	3000716	3000816	0	0	0	0	1
9	0.0	3000816	18	3000816	3000916	0	0	0	0	1
10	0.0	3000916	18	3000916	3001016	0	0	0	0	1
11	2.0	3001016	18	3001016	3001116	0	0	0	0	1
12	0.0	3001116	18	3001116	3001216	0	0	0	0	1
13	0.0	3001216	18	3001216	3001316	0	0	0	0	1
14	0.0	3001316	18	3001316	3001416	0	0	0	0	1
15	1.0	3001416	18	3001416	3001516	0	0	0	0	1
16	3.0	3001516	18	3001516	3001616	0	0	0	0	1
17	3.0	3001616	18	3001616	3001716	0	0	0	0	1
18	0.0	3001716	18	3001716	3001816	0	0	0	0	1
19	0.0	3001816	18	3001816	3001916	0	0	0	0	1
20	1.0	3001916	18	3001916	3002016	0	0	0	0	1
21	0.0	3002016	18	3002016	3002116	0	0	0	0	1
22	1.0	3002116	18	3002116	3002216	0	0	0	0	1
23	10.0	3002216	18	3002216	3002316	0	0	0	0	1
24	2.0	3002316	18	3002316	3002416	0	0	0	0	1
25	19.0	3002416	18	3002416	3002516	0	0	0	0	0
26	4.0	3002516	18	3002516	3002616	0	0	0	0	1
27	0.0	3002616	18	3002616	3002716	0	0	0	0	1
28	0.0	3002716	18	3002716	3002816	0	0	0	0	1
29	0.0	3002816	18	3002816	3002916	0	0	0	0	1
30	1.0	3002916	18	3002916	3003016	0	0	0	0	1
31	2.0	3003016	18	3003016	3003116	0	0	0	0	1
32	0.0	3003116	18	3003116	3003216	0	0	0	0	1
33	0.0	3003216	18	3003216	3003316	0	0	0	0	1
34	1.0	3003316	18	3003316	3003416	0	0	0	0	1
35	0.0	3003416	18	3003416	3003516	0	0	0	0	1
36	1.0	3003516	18	3003516	3003616	0	0	0	0	1
37	1.0	3003616	18	3003616	3003716	0	0	0	0	1
38	3.0	3003716	18	3003716	3003816	0	0	0	0	1
39	0.0	3003816	18	3003816	3003916	0	0	0	0	1
40	8.0	3003916	18	3003916	3004016	0	0	0	0	1
41	0.0	3004016	18	3004016	3004116	0	0	0	0	1
42	0.0	3004116	18	3004116	3004216	0	0	0	0	1
43	5.0	3004216	18	3004216	3004316	0	0	0	0	1
44	0.0	3004316	18	3004316	3004416	0	0	0	0	1
45	0.0	3004416	18	3004416	3004516	0	0	0	0	1
46	1.0	3004516	18	3004516	3004616	0	0	0	0	1
47	0.0	3004616	18	3004616	3004716	0	0	0	0	1
48	0.0	3004716	18	3004716	3004816	0	0	0	0	1
49	13.0	3004816	18	3004816	3004916	0	0	0	0	1
50	0.0	3004916	18	3004916	3005016	0	0	0	0	1
51	6.0	3005016	18	3005016	3005116	0	0	0	0	1
52	45.0	3005116	18	3005116	3005216	0	0	0	0	0
53	34.0	3005216	18	3005216	3005316	0	0	0	0	0
54	6.0	3005316	18	3005316	3005416	0	0	0	0	1
55	20.0	3005416	18	3005416	3005516	0	0	0	0	0
56	13.0	3005516	18	3005516	3005616	0	0	0	0	1
57	113.0	3005616	18	3005616	3005716	0	0	0	0	0
58	115.0	3005716	18	3005716	3005816	0	0	0	0	0
59	285.0	3005816	18	3005816	3005916	0	0	0	0	0
60	393.0	3005916	18	3005916	3006016	0	0	0	0	0
61	0.0	3006016	18	3006016	3006116	0	0	0	0	1
62	16.0	3006116	18	3006116	3006216	0	0	0	0	1
63	17.0	3006216	18	3006216	3006316	0	0	0	0	1
64	4.0	3006316	18	3006316	3006416	0	0	0	0	1
65	0.0	3006416	18	3006416	3006516	0	0	0	0	1
66	0.0	3006516	18	3006516	3006616	0	0	0	0	1
67	7.0	3006616	18	3006616	3006716	0	0	0	0	1
68	0.0	3006716	18	3006716	3006816	0	0	0	0	1
69	1.0	3006816	18	3006816	3006916	0	0	0	0	1
70	5.0	3006916	18	3006916	3007016	0	0	0	0	1
71	3.0	3007016	18	3007016	3007116	0	0	0	0	1
72	0.0	3007116	18	3007116	3007216	0	0	0	0	1
73	5.0	3007216	18	3007216	3007316	0	0	0	0	1
74	0.0	3007316	18	3007316	3007416	0	0	0	0	1
75	0.0	3007416	18	3007416	3007516	0	0	0	0	1
76	2.0	3007516	18	3007516	3007616	0	0	0	0	1
77	0.0	3007616	18	3007616	3007716	0	0	0	0	1
78	0.0	3007716	18	3007716	3007816	0	0	0	0	1
79	0.0	3007816	18	3007816	3007916	0	0	0	0	1
80	2.0	3007916	18	3007916	3008016	0	0	0	0	1
81	9.0	3008016	18	3008016	3008116	0	0	0	0	1
82	2.0	3008116	18	3008116	3008216	0	0	0	0	1
83	0.0	3008216	18	3008216	3008316	0	0	0	0	1
84	3.0	3008316	18	3008316	3008416	0	0	0	0	1
85	4.0	3008416	18	3008416	3008516	0	0	0	0	1
86	2.0	3008516	18	3008516	3008616	0	0	0	0	1
87	4.0	3008616	18	3008616	3008716	0	0	0	0	1
88	5.0	3008716	18	3008716	3008816	0	0	0	0	1
89	0.0	3008816	18	3008816	3008916	0	0	0	0	1
90	0.0	3008916	18	3008916	3009016	0	0	0	0	1
91	11.0	3009016	18	3009016	3009116	0	0	0	0	1
92	14.0	3009116	18	3009116	3009216	0	0	0	0	1
93	2.0	3009216	18	3009216	3009316	0	0	0	0	1
94	0.0	3009316	18	3009316	3009416	0	0	0	0	1
95	2.0	3009416	18	3009416	3009516	0	0	0	0	1
96	3.0	3009516	18	3009516	3009616	0	0	0	0	1
97	0.0	3009616	18	3009616	3009716	0	0	0	0	1
98	3.0	3009716	18	3009716	3009816	0	0	0	0	1
99	10.0	3009816	18	3009816	3009916	0	0	0	0	1
100	12.0	3009916	18	3009916	3010016	0	0	0	0	1
101	13.0	3010016	18	3010016	3010116	0	0	0	0	1
102	28.0	3010116	18	3010116	3010216	0	0	0	0	0
103	23.0	3010216	18	3010216	3010316	0	0	0	0	0
104	14.0	3010316	18	3010316	3010416	0	0	0	0	1
105	8.0	3010416	18	3010416	3010516	0	0	0	0	1
106	6.0	3010516	18	3010516	3010616	0	0	0	0	1
107	10.0	3010616	18	3010616	3010716	0	0	0	0	1
108	27.0	3010716	18	3010716	3010816	0	0	0	0	0
109	4.0	3010816	18	3010816	3010916	0	0	0	0	1
110	11.0	3010916	18	3010916	3011016	0	0	0	0	1
111	0.0	3011016	18	3011016	3011116	0	0	0	0	1
112	15.0	3011116	18	3011116	3011216	0	0	0	0	1
113	3.0	3011216	18	3011216	3011316	0	0	0	0	1
114	0.0	3011316	18	3011316	3011416	0	0	0	0	1
115	0.0	3011416	18	3011416	3011516	0	0	0	0	1
116	2.0	3011516	18	3011516	3011616	0	0	0	0	1
117	0.0	3011616	18	3011616	3011716	0	0	0	0	1
118	0.0	3011716	18	3011716	3011816	0	0	0	0	1
119	0.0	3011816	18	3011816	3011916	0	0	0	0	1
120	0.0	3011916	18	3011916	3012016	0	0	0	0	1
121	1.0	3012016	18	3012016	3012116	0	0	0	0	1
122	6.0	3012116	18	3012116	3012216	0	0	0	0	1
123	1.0	3012216	18	3012216	3012316	0	0	0	0	1
124	1.0	3012316	18	3012316	3012416	0	0	0	0	1
125	13.0	3012416	18	3012416	3012516	0	0	0	0	1
126	2.0	3012516	18	3012516	3012616	0	0	0	0	1
127	17.0	3012616	18	3012616	3012716	0	0	0	0	1
128	17.0	3012716	18	3012716	3012816	0	0	0	0	1
129	12.0	3012816	18	3012816	3012916	0	0	0	0	1
130	16.0	3012916	18	3012916	3013016	0	0	0	0	1
131	1.0	3013016	18	3013016	3013116	0	0	0	0	1
132	7.0	3013116	18	3013116	3013216	0	0	0	0	1
133	8.0	3013216	18	3013216	3013316	0	0	0	0	1
134	4.0	3013316	18	3013316	3013416	0	0	0	0	1
135	1.0	3013416	18	3013416	3013516	0	0	0	0	1
136	5.0	3013516	18	3013516	3013616	0	0	0	0	1
137	9.0	3013616	18	3013616	3013716	0	0	0	0	1
138	3.0	3013716	18	3013716	3013816	0	0	0	0	1
139	0.0	3013816	18	3013816	3013916	0	0	0	0	1
140	0.0	3013916	18	3013916	3014016	0	0	0	0	1
141	0.0	3014016	18	3014016	3014116	0	0	0	0	1
142	0.0	3014116	18	3014116	3014216	0	0	0	0	1
143	0.0	3014216	18	3014216	3014316	0	0	0	0	1
144	2.0	3014316	18	3014316	3014416	0	0	0	0	1
145	1.0	3014416	18	3014416	3014516	0	0	0	0	1
146	0.0	3014516	18	3014516	3014616	0	0	0	0	1
147	3.0	3014616	18	3014616	3014716	0	0	0	0	1
148	15.0	3014716	18	3014716	3014816	0	0	0	0	1
149	1.0	3014816	18	3014816	3014916	0	0	0	0	1
150	10.0	3014916	18	3014916	3015016	0	0	0	0	1
151	3.0	3015016	18	3015016	3015116	0	0	0	0	1
152	0.0	3015116	18	3015116	3015216	0	0	0	0	1
153	1.0	3015216	18	3015216	3015316	0	0	0	0	1
154	6.0	3015316	18	3015316	3015416	0	0	0	0	1
155	0.0	3015416	18	3015416	3015516	0	0	0	0	1
156	13.0	3015516	18	3015516	3015616	0	0	0	0	1
157	3.0	3015616	18	3015616	3015716	0	0	0	0	1
158	2.0	3015716	18	3015716	3015816	0	0	0	0	1
159	1.0	3015816	18	3015816	3015916	0	0	0	0	1
160	17.0	3015916	18	3015916	3016016	0	0	0	0	1
161	0.0	3016016	18	3016016	3016116	0	0	0	0	1
162	13.0	3016116	18	3016116	3016216	0	0	0	0	1
163	1.0	3016216	18	3016216	3016316	0	0	0	0	1
164	0.0	3016316	18	3016316	3016416	0	0	0	0	1
165	10.0	3016416	18	3016416	3016516	0	0	0	0	1
166	11.0	3016516	18	3016516	3016616	0	0	0	0	1
167	3.0	3016616	18	3016616	3016716	0	0	0	0	1
168	0.0	3016716	18	3016716	3016816	0	0	0	0	1
169	0.0	3016816	18	3016816	3016916	0	0	0	0	1
170	0.0	3016916	18	3016916	3017016	0	0	0	0	1
171	0.0	3017016	18	3017016	3017116	0	0	0	0	1
172	1.0	3017116	18	3017116	3017216	0	0	0	0	1
173	0.0	3017216	18	3017216	3017316	0	0	0	0	1
174	2.0	3017316	18	3017316	3017416	0	0	0	0	1
175	0.0	3017416	18	3017416	3017516	0	0	0	0	1
176	0.0	3017516	18	3017516	3017616	0	0	0	0	1
177	0.0	3017616	18	3017616	3017716	0	0	0	0	1
178	0.0	3017716	18	3017716	3017816	0	0	0	0	1
179	1.0	3017816	18	3017816	3017916	0	0	0	0	1
180	3.0	3017916	18	3017916	3018016	0	0	0	0	1
181	10.0	3018016	18	3018016	3018116	0	0	0	0	1
182	2.0	3018116	18	3018116	3018216	0	0	0	0	1
183	3.0	3018216	18	3018216	3018316	0	0	0	0	1
184	0.0	3018316	18	3018316	3018416	0	0	0	0	1
185	0.0	3018416	18	3018416	3018516	0	0	0	0	1
186	3.0	3018516	18	3018516	3018616	0	0	0	0	1
187	0.0	3018616	18	3018616	3018716	0	0	0	0	1
188	0.0	3018716	18	3018716	3018816	0	0	0	0	1
189	0.0	3018816	18	3018816	3018916	0	0	0	0	1
190	0.0	3018916	18	3018916	3019016	0	0	0	0	1
191	0.0	3019016	18	3019016	3019116	0	0	0	0	1
192	1.0	3019116	18	3019116	3019216	0	0	0	0	1
193	0.0	3019216	18	3019216	3019316	0	0	0	0	1
194	0.0	3019316	18	3019316	3019416	0	0	0	0	1
195	0.0	3019416	18	3019416	3019516	0	0	0	0	1
196	0.0	3019516	18	3019516	3019616	0	0	0	0	1
197	0.0	3019616	18	3019616	3019716	0	0	0	0	1
198	0.0	3019716	18	3019716	3019816	0	0	0	0	1
199	0.0	3019816	18	3019816	3019916	0	0	0	0	1
200	0.0	3019916	18	3019916	3020016	0	0	0	0	1
201	0.0	3020016	18	3020016	3020116	0	0	0	0	1
202	0.0	3020116	18	3020116	3020216	0	0	0	0	1
203	0.0	3020216	18	3020216	3020316	0	0	0	0	1
204	0.0	3020316	18	3020316	3020416	0	0	0	0	1
205	0.0	3020416	18	3020416	3020516	0	0	0	0	1
206	0.0	3020516	18	3020516	3020616	0	0	0	0	1
207	12.0	3020616	18	3020616	3020716	0	0	0	0	1
208	20.0	3020716	18	3020716	3020816	0	0	0	0	0
209	1.0	3020816	18	3020816	3020916	0	0	0	0	1
210	1.0	3020916	18	3020916	3021016	0	0	0	0	1
211	0.0	3021016	18	3021016	3021116	0	0	0	0	1
212	0.0	3021116	18	3021116	3021216	0	0	0	0	1
213	2.0	3021216	18	3021216	3021316	0	0	0	0	1
214	0.0	3021316	18	3021316	3021416	0	0	0	0	1
215	0.0	3021416	18	3021416	3021516	0	0	0	0	1
216	0.0	3021516	18	3021516	3021616	0	0	0	0	1
217	1.0	3021616	18	3021616	3021716	0	0	0	0	1
218	1.0	3021716	18	3021716	3021816	0	0	0	0	1
219	0.0	3021816	18	3021816	3021916	0	0	0	0	1
220	0.0	3021916	18	3021916	3022016	0	0	0	0	1
221	0.0	3022016	18	3022016	3022116	0	0	0	0	1
222	0.0	3022116	18	3022116	3022216	0	0	0	0	1
223	0.0	3022216	18	3022216	3022316	0	0	0	0	1
224	0.0	3022316	18	3022316	3022416	0	0	0	0	1
225	0.0	3022416	18	3022416	3022516	0	0	0	0	1
226	0.0	3022516	18	3022516	3022616	0	0	0	0	1
227	0.0	3022616	18	3022616	3022716	0	0	0	0	1
228	0.0	3022716	18	3022716	3022816	0	0	0	0	1
229	0.0	3022816	18	3022816	3022916	0	0	0	0	1
230	0.0	3022916	18	3022916	3023016	0	0	0	0	1
231	0.0	3023016	18	3023016	3023116	0	0	0	0	1
232	0.0	3023116	18	3023116	3023216	0	0	0	0	1
233	0.0	3023216	18	3023216	3023316	0	0	0	0	1
234	0.0	3023316	18	3023316	3023416	0	0	0	0	1
235	0.0	3023416	18	3023416	3023516	0	0	0	0	1
236	3.0	3023516	18	3023516	3023616	0	0	0	0	1
237	0.0	3023616	18	3023616	3023716	0	0	0	0	1
238	0.0	3023716	18	3023716	3023816	0	0	0	0	1
239	0.0	3023816	18	3023816	3023916	0	0	0	0	1
240	1.0	3023916	18	3023916	3024016	0	0	0	0	1
241	0.0	3024016	18	3024016	3024116	0	0	0	0	1
242	0.0	3024116	18	3024116	3024216	0	0	0	0	1
243	0.0	3024216	18	3024216	3024316	0	0	0	0	1
244	0.0	3024316	18	3024316	3024416	0	0	0	0	1
245	0.0	3024416	18	3024416	3024516	0	0	0	0	1
246	0.0	3024516	18	3024516	3024616	0	0	0	0	1
247	0.0	3024616	18	3024616	3024716	0	0	0	0	1
248	0.0	3024716	18	3024716	3024816	0	0	0	0	1
