Chromosome	Start	End
18	3005068	3005163
18	3005223	3005313
18	3005598	3006003
18	3010163	3010293
18	3010713	3010798
18	3117968	3118303
18	3118358	3118473
18	3118563	3118758
18	3222113	3222163
18	3222388	3222458
18	3257938	3258018
18	3280743	3280873
18	3280953	3281048
18	3336653	3336878
18	3336923	3337193
18	3337493	3337603
18	3360088	3360268
18	3382673	3382753
18	3382918	3383068
18	3383448	3383543
18	3383813	3383903
18	3441113	3441188
18	3449703	3449763
18	3490833	3490943
18	3495343	3495413
18	3498958	3499288
18	3507098	3507508
18	3507698	3507828
18	3508108	3508158
18	3508298	3508398
18	3508683	3508758
18	3509168	3509243
18	3542703	3542753
18	3858313	3858338
18	3896943	3897043
18	3901908	3901958
18	3933888	3933978
18	3958063	3958118
18	3976178	3976313
18	4050008	4050078
18	4097858	4097908
18	4238923	4239018
18	4244418	4244503
18	4276533	4276613
18	4278533	4278583
18	4352833	4352978
18	4353198	4353318
18	4353398	4353668
18	4369273	4369363
18	4370853	4370928
18	4375528	4375678
18	4375783	4375998
18	4401823	4401898
18	4404143	4404203
18	4440933	4441018
18	4504908	4504958
18	4566948	4567003
18	4592088	4592198
18	4634773	4635023
18	4635158	4635248
18	4635628	4635718
18	4642483	4642543
18	4652413	4652418
18	4656988	4657108
18	4679418	4679503
18	4689748	4689918
18	4709808	4709868
18	4737768	4737788
18	4758008	4758153
18	4764833	4764883
18	4798043	4798178
18	4812213	4812308
18	4813813	4813873
18	4825898	4825988
18	4920133	4920603
18	4920728	4920813
18	4921028	4921138
18	4921258	4921368
18	4921468	4922023
18	4922763	4922808
18	4939883	4939968
18	4940193	4940383
18	4957913	4957968
18	4959738	4959783
18	4971193	4971283
18	4993843	4993893
18	5011493	5011728
18	5012373	5012453
18	5014028	5014118
18	5015738	5015913
18	5027418	5027498
18	5043758	5043908
18	5047998	5048213
18	5054338	5054433
18	5058743	5058838
18	5059833	5059893
18	5085113	5085158
18	5098858	5098918
18	5103533	5103638
18	5103958	5104058
18	5104213	5104303
18	5124738	5124828
18	5126443	5126488
18	5139088	5139178
18	5143043	5143143
18	5155533	5155698
18	5159758	5159808
18	5159943	5160273
18	5162203	5162303
18	5162408	5162468
18	5162633	5162748
