	ranges_bin	norm_signal	pre_signal	post_signal	surround_signal	enrichment_factor1	enrichment_factor2
0	[3102497, 3102597)	5.666666666666667	1.2142857142857142	0.7333333333333333	1.9476190476190474	2.909535452322739	7.8885636069035705
1	[3191557, 3191642)	3.2142857142857144	0.25	0.0	0.25	12.857142857142858	4.474605407277235
2	[3224542, 3224647)	6.7	0.6	1.125	1.725	3.8840579710144927	9.327066382280103
3	[3273932, 3274017)	3.0	1.0	0.21052631578947367	1.2105263157894737	2.4782608695652173	4.176298380125419
4	[3308532, 3308652)	3.7142857142857144	0.9230769230769231	1.0833333333333333	2.0064102564102564	1.8512094933820173	5.170655137298138
5	[3314462, 3314557)	1.6470588235294117	0.02127659574468085	0.0	0.02127659574468085	77.41176470588235	2.292869698892387
6	[3326742, 3326882)	1.9705882352941178	0.6296296296296297	0.6956521739130435	1.3252818035426732	1.486920162961904	2.7432548183176775
7	[3350152, 3350277)	2.3	1.5	1.2	2.7	0.8518518518518517	3.2018287580961546
8	[3351827, 3351922)	3.6666666666666665	1.0	0.6	1.6	2.2916666666666665	5.104364686819957
9	[3396957, 3397067)	2.4444444444444446	2.0	1.4545454545454546	3.4545454545454546	0.7076023391812866	3.402909791213305
10	[3402347, 3402452)	2.176470588235294	4.75	2.3333333333333335	7.083333333333334	0.3072664359861591	3.0298635306792256
11	[3446842, 3446917)	2.75	5.5	2.0	7.5	0.36666666666666664	3.828273515114968
12	[3448872, 3448962)	5.111111111111111	0.0	3.75	3.75	1.362962962962963	7.115175017991454
13	[3454322, 3454407)	2.4	1.2222222222222223	1.8333333333333333	3.0555555555555554	0.7854545454545455	3.3410387041003355
14	[3486642, 3486717)	5.857142857142857	0.125	1.1111111111111112	1.2361111111111112	4.73836276083467	8.153725408816294
15	[3498227, 3498327)	4.75	0.16666666666666666	1.0909090909090908	1.2575757575757576	3.7771084337349397	6.612472435198581
16	[3510012, 3510147)	7.75	1.7142857142857142	0.0	1.7142857142857142	4.520833333333334	10.788770815324
17	[3557722, 3557937)	1.9166666666666667	0.08333333333333333	1.75	1.8333333333333333	1.0454545454545456	2.668190631746796
18	[3562547, 3562642)	2.0	2.888888888888889	1.8571428571428572	4.746031746031746	0.4214046822742475	2.784198920083613
19	[3570037, 3570122)	4.0	2.4444444444444446	0.16666666666666666	2.611111111111111	1.5319148936170213	5.568397840167226
20	[3612117, 3612207)	3.9166666666666665	2.2	0.6	2.8000000000000003	1.3988095238095237	5.452389551830408
21	[3616572, 3616652)	3.7777777777777777	1.2857142857142858	1.0588235294117647	2.3445378151260505	1.6113102349661488	5.25904240460238
22	[4498522, 4498612)	3.6666666666666665	1.0	0.9090909090909091	1.9090909090909092	1.9206349206349205	5.104364686819957
23	[4778307, 4778397)	2.2916666666666665	1.1666666666666667	0.06666666666666667	1.2333333333333334	1.858108108108108	3.190227929262473
24	[4791397, 4791477)	4.4	1.4545454545454546	1.7142857142857142	3.1688311688311686	1.3885245901639347	6.125237624183949
25	[4865007, 4865107)	3.0	2.142857142857143	0.3	2.4428571428571426	1.2280701754385965	4.176298380125419
26	[4921342, 4921427)	2.9375	0.3333333333333333	0.3333333333333333	0.6666666666666666	4.40625	4.089292163872806
27	[4948792, 4948872)	4.5	2.75	0.125	2.875	1.565217391304348	6.264447570188129
28	[4964642, 4964777)	3.4285714285714284	3.3333333333333335	3.5714285714285716	6.904761904761905	0.49655172413793097	4.772912434429051
29	[4986037, 4986122)	2.611111111111111	0.25	2.5	2.75	0.9494949494949495	3.6349263678869392
30	[5000862, 5000967)	4.071428571428571	0.8	0.5333333333333333	1.3333333333333335	3.053571428571428	5.667833515884498
31	[5004282, 5004382)	2.888888888888889	0.4444444444444444	1.7272727272727273	2.1717171717171717	1.330232558139535	4.021620662342996
32	[5009737, 5009812)	2.909090909090909	1.125	1.5	2.625	1.1082251082251082	4.049743883757983
33	[5020772, 5020867)	5.1	0.5714285714285714	0.0	0.5714285714285714	8.925	7.099707246213213
34	[5021527, 5021642)	3.142857142857143	2.5	0.6666666666666666	3.1666666666666665	0.9924812030075189	4.375169731559963
